coach,n_picks,avg_reach_score,n_reaches,avg_av_vs_peers_on_reaches
Brian Flores,12,23.083333333333332,9,-2.621626191718524
Darrell Bevell,6,20.333333333333332,4,-3.7575885371938003
Pete Carroll,8,18.625,5,-0.9686642329066517
Kellen Moore,7,18.571428571428573,3,1.5977513882016603
Aaron Glenn,5,18.2,4,0.3453841201475417
Matt Patricia,11,18.09090909090909,7,-4.112693651333469
Josh McDaniels,8,14.375,6,-8.575966424682395
Chan Gailey,12,12.833333333333334,11,-11.06492405118853
Tony Sparano,10,12.8,6,7.846301077752691
Steve Spagnuolo,19,12.68421052631579,13,-4.71482226801968
Greg Schiano,6,11.666666666666666,4,3.469117647058824
Dave Canales,12,11.083333333333334,9,-0.26496134458309406
Rod Marinelli,7,10.714285714285714,3,-9.97214854111406
Tom Cable,7,10.714285714285714,5,-2.919383244704479
Matt Nagy,10,10.6,8,1.0025775637802714
Joe Judge,5,10.4,3,-1.4160784313725483
John Fassel,5,10.2,3,20.47286324786325
Mike Singletary,9,9.222222222222221,7,4.729615983787999
Matt Eberflus,7,8.857142857142858,5,-3.762751322751323
Kyle Shanahan,45,8.777777777777779,27,-0.694041149914657
Chip Kelly,14,8,6,-10.195843315634981
DeMeco Ryans,14,7.357142857142857,8,4.264077985528933
Raheem Morris,24,7.083333333333333,14,-1.7062191739864423
Brad Childress,12,7,8,11.001110058922558
Bill Belichick,67,6.17910447761194,39,-6.664019096096848
Jim Tomsula,6,6,3,-5.735185185185185
Romeo Crennel,13,5.769230769230769,8,-7.8539967556166665
Eric Mangini,19,5.526315789473684,11,-7.3659422633560565
Gary Kubiak,36,5.416666666666667,22,-6.052114039225351
Jack Del Rio,32,5.125,15,-12.163406445424304
Jay Gruden,32,4.96875,17,0.3391025545525047
Todd Haley,5,4.8,3,-8.748593991316257
Steve Wilks,7,4.428571428571429,4,-8.297831708037824
Brian Schottenheimer,6,4.166666666666667,3,-0.5285561497326203
Norv Turner,24,3.7916666666666665,13,-3.9314103955059445
Hue Jackson,24,3.625,11,-2.576040467469039
Doug Pederson,39,3.4358974358974357,20,-2.2391493441806203
Mike Nolan,8,3.125,3,-3.1628899835796385
Frank Reich,19,2.8421052631578947,8,1.077724403856345
Dick Jauron,12,2.75,6,-1.72273233589023
Dan Quinn,27,2.6296296296296298,17,1.6064861275202889
Lane Kiffin,7,2.5714285714285716,3,-17.707027540360873
Mike Mularkey,18,2.3333333333333335,12,-5.630831338060703
Sean McDermott,41,2.048780487804878,23,6.992653046814338
Doug Marrone,27,2.037037037037037,13,-4.497827422225785
Ron Rivera,46,1.8695652173913044,28,-2.726229772510362
Arthur Smith,9,1.7777777777777777,4,1.203869047619047
Sean McVay,37,1.3783783783783783,19,3.152927500357866
