gm,n_picks,avg_reach_score,n_reaches,avg_av_vs_peers_on_reaches
James Gladstone,8,18.5,4,-0.3829787234042553
Ryan Pace,25,13.16,19,-0.7432324365470684
Marv Levy,5,13,4,10.74209197235513
Bob Quinn,27,13,16,-3.2490013368049593
Rich McKay,10,12.9,5,5.108453637865402
Buddy Nix,12,12.833333333333334,11,-11.06492405118853
Nick Caserio,24,12.583333333333334,17,0.3636977981198363
Trent Baalke,48,11.895833333333334,27,-5.88503710331509
John Spytek,14,11.785714285714286,9,-0.538146796059251
Bill O'Brien,10,10.7,7,-7.044350700327577
Billy Devaney,17,10,10,-6.8159053251613395
Ryan Cowden,7,10,5,-5.3070675798229985
John Lynch,48,9.645833333333334,29,-0.646176243023991
Scot McCloughan,28,9.214285714285714,18,3.5934728139594503
Ryan Poles,18,8.88888888888889,12,-0.5296778331928977
Scott Pioli,14,8.785714285714286,9,-7.519849357169978
Dan Morgan,17,8.411764705882353,12,-0.19872100843732055
Brian Xanders,9,8.333333333333334,5,-6.3305934065934055
Champ Kelly,9,8.333333333333334,5,1.3947955747955747
Tom Heckert,14,7.071428571428571,8,0.527222665401551
Mike Tannenbaum,22,6.863636363636363,15,-5.139784784358164
Reggie McKenzie,30,6.8,19,-3.0601232901342144
Bill Belichick,67,6.17910447761194,39,-6.664019096096848
Mark Dominik,19,5.7368421052631575,11,-1.2531318548720596
Mike Mayock,14,5.5,9,-4.44083530405989
Al Davis,19,5.368421052631579,10,-7.874180836841454
Mike Maccagnan,22,5.2272727272727275,15,-5.271332080355504
Jeff Ireland,21,4.9523809523809526,12,-2.36751293046288
Rod Graves,27,4.518518518518518,19,-2.0302673910861593
A.J. Smith,26,4.038461538461538,14,-4.2482144148745675
Jay Zygmunt,6,4,4,-15.748082562598691
Eliot Wolf,16,3.5625,10,0.5597974646602466
Marty Hurney,44,3.522727272727273,25,-1.229665731718563
Terry Fontenot,16,2.8125,8,-0.8656452081319106
Darren Mougey,11,2.727272727272727,5,0.2763072961180334
Dennis Hickey,8,2.5,5,4.030555192328648
Kevin Colbert,70,2.0142857142857142,35,-3.974536791390416
Les Snead,60,1.8166666666666667,31,2.804271370487543
Thomas Dimitroff,44,1.6363636363636365,20,8.975574561738709
Martin Mayhew,36,1.6111111111111112,17,-0.038496637585841216
Monti Ossenfort,18,1.6111111111111112,8,-0.07924662538324356
Rick Smith,50,1.56,25,-3.2599683074137267
Adam Peters,10,0.7,6,0.5792177310200566
Dave Caldwell,39,0.3333333333333333,15,-4.800556621479848
Mike Reinfeldt,20,0.05,10,-13.978369814326792
Jon-Eric Sullivan,9,0,5,0.0
Omar Khan,21,-0.19047619047619047,10,1.118005193005193
Randy Mueller,6,-0.6666666666666666,4,-9.086465141612202
Doug Whaley,16,-0.75,9,-1.174831557725457
John Dorsey,26,-0.8076923076923077,10,5.6892470929970935
Rick Spielman,94,-0.8936170212765957,46,-1.0406837625006335
Brandon Beane,48,-0.9583333333333334,25,6.433240803069191
James Harris,8,-1.125,3,-10.241891891891893
Jerry Jones,77,-1.12987012987013,36,0.7735353616507653
Mike Borgonzi,12,-1.3333333333333333,7,0.29381705507612316
Chris Grier,35,-1.3428571428571427,17,1.6480512715210196
Mickey Loomis,73,-1.36986301369863,30,1.3325229446555749
Jon Robinson,21,-1.380952380952381,11,-5.131297788927451
Chris Ballard,44,-1.7727272727272727,18,-2.0181167871955092
Jerry Reese,40,-2.15,23,-0.5587788034501524
Steve Keim,42,-2.238095238095238,20,1.002744767939561
Joe Douglas,17,-2.3529411764705883,10,-3.911355270545676
Gene Smith,10,-2.4,4,-23.982179378569672
Carl Peterson,10,-2.5,5,-3.0494865498900943
Tom Heckert Jr.,10,-2.7,5,6.122325822325822
Brett Veach,39,-2.7948717948717947,17,6.7467546562362495
Brian Gaine,5,-2.8,2,-3.1986111111111106
Sashi Brown,15,-2.8666666666666667,6,-3.338695272980987
Ozzie Newsome,60,-2.9,29,-0.07469728932870884
Phil Emery,7,-3,4,-15.676718415629704
Brian Gutekunst,43,-3.186046511627907,19,-2.670653872371863
Joe Hortiz,17,-3.2941176470588234,6,1.840277777777778
Floyd Reese,5,-3.8,1,-13.6875
Chris Polian,11,-3.8181818181818183,4,-7.637896825396826
John Schneider,81,-4.419753086419753,38,-2.0146296386508444
Ran Carthon,6,-4.5,3,-2.6328029971293727
Dave Gettleman,32,-4.5625,17,-3.233115570946707
Russ Brandon,7,-4.571428571428571,2,-26.652380952380952
Tom Telesco,43,-4.6976744186046515,17,6.1190998259312925
George Paton,15,-4.733333333333333,5,3.4670273003033367
John Elway,51,-4.803921568627451,23,-7.577464144942197
Duke Tobin,93,-4.89247311827957,44,-2.2929671760713193
Tim Ruskell,9,-5,2,-17.23611111111111
Ryan Grigson,22,-5.318181818181818,10,-6.826224275724276
Scott Fitterer,5,-5.4,3,-6.554761904761905
Brad Holmes,19,-5.421052631578948,5,3.987720400939495
Jason Licht,56,-5.75,26,0.4671222849375855
Andrew Berry,31,-5.935483870967742,11,0.6635168802030701
Phil Savage,14,-6.071428571428571,6,-6.325213675213676
Ted Thompson,55,-6.072727272727272,24,-0.1699321626487094
Joe Schoen,21,-6.190476190476191,9,1.0536367536367537
Bill Polian,8,-6.25,3,-5.2749287749287745
Vinny Cerrato,10,-6.3,6,-7.7008547008547
Bruce Allen,51,-6.431372549019608,17,3.7818408184386385
Howie Roseman,74,-6.945945945945946,30,-4.559105919568741
Ruston Webster,15,-8.4,7,-3.87141521405196
Jerry Angelo,19,-10.68421052631579,5,-3.9531482068067425
Eric DeCosta,43,-11,16,1.4925847328234099
Ron Rivera,5,-13.6,2,-2.115860849056604
Ray Farmer,12,-13.666666666666666,7,-10.989302063515305
John Idzik,6,-17,1,-15.59375
