team,n_picks,avg_reach_score,n_reaches,avg_av_vs_peers_on_reaches
LV,88,7.704545454545454,54,-3.570500417547073
SF,98,7.448979591836735,55,-2.4137471672771014
JAX,80,6.75,37,-5.985271192079855
NE,83,5.674698795180723,49,-5.1897708183913185
HOU,89,5.314606741573034,51,-2.569098475329828
CHI,69,3.8405797101449277,40,-2.5737541247315403
ATL,74,3.7432432432432434,35,5.660817078829883
DET,79,3.721518987341772,36,-1.108898268443607
LA,83,3.6506024096385543,45,-0.9826438003754298
CAR,80,3.0875,50,-1.4306932125059164
PIT,91,1.5054945054945055,45,-2.8428607948580584
BUF,88,1.4659090909090908,51,0.3569995584075579
NYJ,83,1.0240963855421688,47,-4.4549235762651165
MIA,84,0.8452380952380952,46,-0.42819666011263047
ARI,91,0.0989010989010989,48,-0.45956083290986793
MIN,94,-0.8936170212765957,46,-1.0406837625006335
DAL,77,-1.12987012987013,36,0.7735353616507653
WAS,84,-1.2142857142857142,41,1.120859208721551
NO,73,-1.36986301369863,30,1.3325229446555749
LAC,86,-1.6046511627906976,38,1.6070002319757388
KC,80,-1.675,36,2.020981207391868
TEN,86,-1.697674418604651,44,-6.122554723290997
CLE,95,-1.8105263157894738,46,-3.4333762891188724
DEN,82,-2.3780487804878048,38,-3.5059817218260796
IND,85,-3.376470588235294,35,-4.31327767294673
NYG,81,-4.185185185185185,40,-1.6542850054812974
SEA,90,-4.477777777777778,40,-2.7757037122738577
TB,85,-4.670588235294118,38,-0.014003372054541467
GB,98,-4.8061224489795915,43,-1.2749022204333587
CIN,93,-4.89247311827957,44,-2.2929671760713193
BAL,103,-6.281553398058253,45,0.4825585407698223
PHI,87,-6.344827586206897,36,-2.872008825172288
