season,player_id,display_name,carries,bucket,tier_current,tier_score_current,games_current,ppg_current,pts_current,games_next_eff,ppg_next_eff,pts_next_eff,vanished
2001,00-0007661,Priest Holmes,327,300+,League Winner,5,16.0,20.80625,332.9,14.0,31.478571428571428,440.7,False
2001,00-0020536,LaDainian Tomlinson,339,300+,Superstar,4,16.0,16.83125,269.3,16.0,24.0125,384.2,False
2001,00-0017915,Ricky Williams,313,300+,Superstar,4,16.0,16.6,265.6,16.0,22.5375,360.6,False
2001,00-0019647,Shaun Alexander,309,300+,League Winner,5,16.0,18.63125,298.1,16.0,20.53125,328.5,False
2001,00-0005092,Marshall Faulk,260,250-299,League Winner,5,14.0,29.99285714285714,419.9,14.0,20.214285714285715,283.0,False
2001,00-0006305,Ahman Green,304,300+,League Winner,5,16.0,19.88125,318.1,14.0,19.164285714285715,268.3,False
2001,00-0005883,Eddie George,315,300+,Mid/replacement,1,16.0,10.98125,175.7,16.0,16.3875,262.2,False
2001,00-0004304,Corey Dillon,340,300+,Star,3,16.0,16.14375,258.3,16.0,15.11875,241.9,False
2001,00-0010442,Curtis Martin,333,300+,Superstar,4,16.0,18.495,295.92,16.0,14.925,238.8,False
2001,00-0007180,Garrison Hearst,252,250-299,Star,3,16.0,14.01875,224.3,16.0,14.18125,226.9,False
2001,00-0015091,Antowain Smith,287,250-299,Star,3,16.0,13.99375,223.9,16.0,12.60625,201.7,False
2001,00-0004052,Stephen Davis,356,300+,Star,3,16.0,13.61875,217.9,12.0,13.266666666666666,159.2,False
2001,00-0015165,Emmitt Smith,261,250-299,Mid/replacement,1,14.0,10.478571428571428,146.7,16.0,9.4,150.4,False
2001,00-0015242,Lamar Smith,313,300+,Starter,2,16.0,11.7625,188.2,11.0,13.490909090909092,148.4,False
2001,00-0020403,Anthony Thomas,278,250-299,Star,3,14.0,14.45,202.3,12.0,11.866666666666667,142.4,False
2002,00-0007661,Priest Holmes,313,300+,League Winner,5,14.0,31.478571428571428,440.7,16.0,27.8125,445.0,False
2002,00-0020536,LaDainian Tomlinson,372,300+,League Winner,5,16.0,24.0125,384.2,16.0,27.74,443.84,False
2002,00-0006305,Ahman Green,286,250-299,League Winner,5,14.0,19.164285714285715,268.3,16.0,24.0625,385.0,False
