season,player_id,display_name,touches,bucket,age,games_current,ppg_current,pts_current,games_next_eff,ppg_next_eff,pts_next_eff,vanished
2023,00-0038389,Israel Abanikanda,29,<150,21,6.0,3.0500000000000003,18.3,0,0.0,0.0,True
2015,00-0032104,Ameer Abdullah,168,150-199,22,16.0,7.3125,117.0,0,0.0,0.0,True
2004,00-0000007,Rabih Abdullah,14,<150,29,6.0,1.5333333333333332,9.2,0,0.0,0.0,True
2024,00-0039040,De'Von Achane,281,250-299,23,17.0,17.50588235294118,297.6,16.0,20.13125,322.1,False
2020,00-0034457,Josh Adams,35,<150,24,6.0,6.1000000000000005,36.6,0,0.0,0.0,True
2011,00-0024245,Joseph Addai,133,<150,28,12.0,6.133333333333333,73.6,0,0.0,0.0,True
2014,00-0030653,Ray Agnew,5,<150,23,9.0,0.5222222222222223,4.7,0,0.0,0.0,True
2023,00-0036020,Salvon Ahmed,38,<150,25,7.0,6.128571428571428,42.9,0,0.0,0.0,True
2018,00-0031590,Jay Ajayi,50,<150,25,4.0,10.9,43.6,0,0.0,0.0,True
2024,00-0036414,Cam Akers,118,<150,25,15.0,6.213333333333334,93.2,0,0.0,0.0,True
2008,00-0019647,Shaun Alexander,12,<150,31,4.0,1.075,4.3,0,0.0,0.0,True
2008,00-0024763,Charles Ali,4,<150,24,4.0,1.325,5.3,0,0.0,0.0,True
2024,00-0039796,Rasheen Ali,10,<150,23,4.0,0.775,3.1,8.0,3.025,24.2,False
2012,00-0028163,Anthony Allen,18,<150,24,6.0,2.5500000000000003,15.3,0,0.0,0.0,True
2012,00-0028565,Armando Allen,29,<150,23,9.0,2.4444444444444446,22.0,0,0.0,0.0,True
2024,00-0039794,Braelon Allen,111,<150,20,17.0,5.011764705882353,85.2,4.0,3.825,15.3,False
2003,00-0020058,David Allen,10,<150,25,4.0,4.7,18.8,0,0.0,0.0,True
2002,00-0000210,James Allen,202,200-249,27,16.0,8.33125,133.3,0,0.0,0.0,True
2018,00-0031577,Javorius Allen,76,<150,27,11.0,8.581818181818182,94.4,0,0.0,0.0,True
2001,00-0000232,Terry Allen,185,150-199,33,11.0,9.6,105.6,0,0.0,0.0,True
2024,00-0037263,Tyler Allgeier,150,150-199,24,17.0,6.258823529411765,106.4,17.0,7.235294117647059,123.0,False
2018,00-0029854,C.J. Anderson,72,<150,27,9.0,7.48888888888889,67.4,0,0.0,0.0,True
2003,00-0021048,Damien Anderson,24,<150,24,11.0,1.4909090909090907,16.4,0,0.0,0.0,True
2007,00-0019594,Mike Anderson,19,<150,34,6.0,1.8,10.8,0,0.0,0.0,True
2015,00-0030789,Antonio Andrews,164,150-199,23,14.0,8.002857142857144,112.04,0,0.0,0.0,True
2014,00-0031392,Dri Archer,17,<150,23,10.0,1.33,13.3,0,0.0,0.0,True
2021,00-0033296,Alex Armah,6,<150,27,5.0,1.84,9.2,0,0.0,0.0,True
2019,00-0035268,Ryquell Armstead,49,<150,23,14.0,3.6571428571428575,51.2,0,0.0,0.0,True
2008,00-0023479,J.J. Arrington,60,<150,25,11.0,8.381818181818183,92.2,0,0.0,0.0,True
2015,00-0031599,Cameron Artis-Payne,50,<150,25,6.0,5.8500000000000005,35.1,0,0.0,0.0,True
2016,00-0028198,Matt Asiata,153,150-199,29,16.0,8.28125,132.5,0,0.0,0.0,True
2001,00-0000552,Obafemi Ayanbadejo,70,<150,26,14.0,4.5285714285714285,63.4,0,0.0,0.0,True
2012,00-0026432,Lance Ball,49,<150,27,10.0,3.86,38.6,0,0.0,0.0,True
2014,00-0030522,Montee Ball,64,<150,24,5.0,7.279999999999999,36.4,0,0.0,0.0,True
2021,00-0034799,Kalen Ballage,14,<150,26,8.0,0.8,6.4,0,0.0,0.0,True
2012,00-0029547,Vick Ballard,228,200-249,22,16.0,8.225,131.6,0,0.0,0.0,True
2014,00-0029048,Joe Banyard,30,<150,26,7.0,3.4285714285714284,24.0,0,0.0,0.0,True
2006,00-0000745,Tiki Barber,385,350+,31,16.0,18.66875,298.7,0,0.0,0.0,True
2021,00-0032741,Peyton Barber,65,<150,27,9.0,5.544444444444444,49.9,0,0.0,0.0,True
2011,00-0023544,Marion Barber,119,<150,28,11.0,7.836363636363637,86.2,0,0.0,0.0,True
2019,00-0034844,Saquon Barkley,269,250-299,22,13.0,18.77692307692308,244.1,0,0.0,0.0,True
2006,00-0020474,Kevan Barlow,138,<150,27,12.0,6.841666666666666,82.1,0,0.0,0.0,True
2019,00-0030465,Kenjon Barner,10,<150,30,8.0,2.14,17.12,0,0.0,0.0,True
2012,00-0028170,Baron Batch,29,<150,25,8.0,2.25,18.0,0,0.0,0.0,True
2014,00-0025701,Jackie Battle,10,<150,31,6.0,2.45,14.7,0,0.0,0.0,True
