season,ppg_team,ppg_value,ypg_team,ypg_value,epa_team,epa_value
2000,LA,33.75,LA,442.6875,LA,0.1618315372980316
2001,LA,31.4375,LA,418.4375,LA,0.1332082972408932
2002,KC,29.1875,LV,390.25,KC,0.1594994397736685
2003,KC,30.25,MIN,393.9375,KC,0.1208537538536063
2004,IND,32.625,KC,419.0,IND,0.2399538396301677
2005,SEA,28.25,KC,388.125,IND,0.186968236396098
2006,LAC,30.75,NO,393.6875,IND,0.1531830325926878
2007,NE,36.8125,NE,412.6875,NE,0.2570744127052732
2008,NO,28.9375,NO,411.25,LAC,0.1277430409818362
2009,NO,31.875,NO,404.75,LAC,0.143649243270734
2010,NE,32.375,LAC,396.4375,NE,0.1896881556659249
2011,GB,35.0,NO,472.3125,GB,0.2292249865054907
2012,NE,34.8125,NE,428.4375,NE,0.1749948110594404
2013,DEN,37.875,DEN,458.8125,DEN,0.204144020222192
2014,GB,30.375,PIT,412.5625,GB,0.1417445818292373
2015,CAR,31.25,ARI,410.125,ARI,0.1331392580202464
2016,ATL,33.75,NO,427.0,ATL,0.1916236448244034
2017,LA,29.875,NE,395.3125,NE,0.1381885163452509
2018,KC,35.3125,KC,426.5,KC,0.2361579537709367
2019,BAL,33.1875,DAL,432.375,BAL,0.2013821684297413
2020,GB,31.8125,KC,417.4375,GB,0.2219000569816157
2021,DAL,31.176470588235293,DAL,409.05882352941177,TB,0.1416785098442593
2022,KC,29.176470588235293,KC,414.7647058823529,KC,0.1788307748121533
2023,DAL,29.94117647058824,MIA,402.4117647058824,SF,0.1790685695971294
2024,DET,33.1764705882353,BAL,424.4117647058824,BAL,0.1973075140357365
2025,LA,30.47058823529412,LA,396.4705882352941,NE,0.1570634279224753
