team,plays,total_epa,mean_epa,total_yards,games_est,season
ARI,973,-126.77205249617855,-0.1302898792355381,4528.0,16,2000
ATL,981,-189.15964562674287,-0.19282328810065533,3998.0,16,2000
BAL,1105,-60.32244333612793,-0.05459044645803433,5018.0,16,2000
BUF,1071,-64.18468329118407,-0.05992967627561538,5246.0,15,2000
CAR,1041,-58.84628437851957,-0.05652861131462014,4663.0,16,2000
CHI,1021,-148.31372770411986,-0.14526320049375108,4541.0,16,2000
CIN,1045,-163.55120438335157,-0.15650832955344648,4247.0,16,2000
CLE,892,-193.9650052569609,-0.21744955746296063,3530.0,16,2000
DAL,1003,-73.51167500021062,-0.0732917996014064,4479.0,16,2000
DEN,1171,100.00068862989693,0.08539768456865664,6571.0,16,2000
DET,1044,-145.4896721197194,-0.13935792348632126,4430.0,16,2000
GB,1089,-9.191329471635498,-0.008440155621336546,5325.0,16,2000
IND,1077,132.51387313510517,0.12303980792488874,6145.0,16,2000
JAX,1113,11.253630251488364,0.010111078393071305,5692.0,16,2000
KC,970,20.442792796620484,0.021075044120227305,5265.0,15,2000
LA,1059,171.3795979986155,0.16183153729803165,7083.0,16,2000
LAC,969,-164.04600569453686,-0.16929412352377385,4113.0,15,2000
LV,1068,101.07637550031909,0.09464080103026132,5779.0,16,2000
MIA,915,-30.391801135838794,-0.03321508320856699,4207.0,15,2000
MIN,999,104.08870513432979,0.10419289803236215,5965.0,16,2000
NE,1088,-86.3694354221382,-0.07938367226299467,4573.0,16,2000
NO,1082,7.34653727335576,0.006789775668535823,5404.0,16,2000
NYG,1096,15.004723700829077,0.013690441332873246,5376.0,16,2000
NYJ,1122,-81.1073049906344,-0.07228815061553868,5403.0,16,2000
PHI,1062,-2.8914744917271724,-0.002722669012925774,5015.0,16,2000
PIT,1064,-50.52682133090984,-0.04748761403281,4768.0,16,2000
SEA,996,-53.08448132772253,-0.05329767201578567,4680.0,16,2000
SF,1069,93.49197241174872,0.08745741104934399,6046.0,16,2000
TB,994,-14.97095340083243,-0.015061321328805262,4658.0,16,2000
TEN,1073,-34.84850345401687,-0.03247763602424685,5350.0,16,2000
WAS,1086,-31.578039369495198,-0.02907738431813554,5396.0,16,2000
ARI,989,-26.3205977510716,-0.02661334454102285,4906.0,16,2001
ATL,1032,-62.53473097645684,-0.060595669550830275,5073.0,16,2001
BAL,1124,-102.53268493697603,-0.09122124994392884,5126.0,16,2001
BUF,1058,-70.42027906422395,-0.06655981007960676,5139.0,16,2001
CAR,1015,-200.93779765827472,-0.19796827355495047,4256.0,16,2001
CHI,1061,-66.58088165294022,-0.06275295160503319,4698.0,16,2001
CIN,1115,-99.63531870696825,-0.08935903023046479,4802.0,16,2001
CLE,974,-108.5390971746636,-0.11143644473784764,4154.0,16,2001
DAL,981,-123.73206342645719,-0.12612850502187278,4402.0,16,2001
DEN,1085,-45.8376066643988,-0.0422466420870035,4823.0,16,2001
DET,1083,-111.25940945634078,-0.1027326033761226,4999.0,16,2001
GB,981,52.548787770650236,0.05356655226365977,5467.0,16,2001
IND,1059,6.1067939990692,0.005766566571359018,5962.0,16,2001
JAX,1001,-281.8510127024819,-0.2815694432592227,4842.0,16,2001
KC,1058,13.943609581642042,0.013179215105521778,5679.0,16,2001
LA,1035,137.87058764432456,0.13320829724089328,6695.0,16,2001
LAC,1048,-16.293260141919,-0.015547003952212786,5200.0,16,2001
LV,1062,74.68925980985264,0.0703288698774507,5364.0,16,2001
MIA,982,-21.592756585115552,-0.02198855049400769,4823.0,16,2001
MIN,1018,-50.287973354251555,-0.04939879504346911,5191.0,16,2001
NE,1035,-18.946903379502984,-0.018306186840099502,4883.0,16,2001
NO,1063,-73.94738213533473,-0.06956479975102045,5228.0,16,2001
NYG,1065,-49.318344549646824,-0.046308304741452415,5339.0,16,2001
NYJ,957,-31.27040854084764,-0.03267545302073944,4785.0,16,2001
PHI,1003,-35.74620080989129,-0.03563928296100827,4924.0,16,2001
PIT,1103,64.64729125562496,0.058610418182796886,5888.0,16,2001
SEA,1016,-17.404326504213447,-0.01713024262225733,4774.0,16,2001
SF,1069,102.31070134509464,0.09570692361561707,5692.0,16,2001
TB,1078,-24.961282473649003,-0.023155178546984234,4706.0,16,2001
TEN,1069,-9.999088738302172,-0.00935368450729857,5358.0,16,2001
WAS,993,-100.84589905701269,-0.10155679663344681,4439.0,16,2001
ARI,1042,-95.87362036413107,-0.09200923259513538,4566.0,16,2002
ATL,1072,38.867330811502825,0.036256838443566065,5549.0,16,2002
BAL,967,-54.732857234260514,-0.05660067966314428,4655.0,16,2002
BUF,1103,20.915021127709583,0.018961941185593457,5595.0,16,2002
CAR,986,-173.274028024712,-0.17573430834149292,4298.0,16,2002
CHI,1004,-131.15448462643954,-0.13063195679924258,4398.0,16,2002
CIN,1081,-70.01142484848461,-0.06476542539175265,5215.0,16,2002
CLE,1046,7.139342917638225,0.006825375638277462,5038.0,16,2002
DAL,976,-184.88810384838254,-0.18943453263153948,4365.0,16,2002
DEN,1117,70.78974214814203,0.06337488106369027,6101.0,16,2002
DET,1002,-148.87018574212073,-0.14857303966279514,4477.0,16,2002
GB,1090,10.297408023211785,0.009447163324047509,5567.0,16,2002
HOU,987,-220.95738316311702,-0.22386766277924722,3577.0,16,2002
IND,1071,17.395316417251973,0.016242125506304363,5630.0,16,2002
