season,team,games,total_points,ppg
2000,ARI,16,210.0,13.125
2000,ATL,16,252.0,15.75
2000,BAL,16,333.0,20.8125
2000,BUF,16,315.0,19.6875
2000,CAR,16,310.0,19.375
2000,CHI,16,216.0,13.5
2000,CIN,16,185.0,11.5625
2000,CLE,16,161.0,10.0625
2000,DAL,16,294.0,18.375
2000,DEN,16,485.0,30.3125
2000,DET,16,307.0,19.1875
2000,GB,16,353.0,22.0625
2000,IND,16,429.0,26.8125
2000,JAX,16,367.0,22.9375
2000,KC,16,355.0,22.1875
2000,MIA,16,323.0,20.1875
2000,MIN,16,397.0,24.8125
2000,NE,16,276.0,17.25
2000,NO,16,354.0,22.125
2000,NYG,16,328.0,20.5
2000,NYJ,16,321.0,20.0625
2000,LV,16,479.0,29.9375
2000,PHI,16,351.0,21.9375
2000,PIT,16,321.0,20.0625
2000,LAC,16,269.0,16.8125
2000,SEA,16,320.0,20.0
2000,SF,16,388.0,24.25
2000,LA,16,540.0,33.75
2000,TB,16,388.0,24.25
2000,TEN,16,346.0,21.625
2000,WAS,16,281.0,17.5625
2001,ARI,16,295.0,18.4375
2001,ATL,16,291.0,18.1875
2001,BAL,16,303.0,18.9375
2001,BUF,16,265.0,16.5625
2001,CAR,16,253.0,15.8125
2001,CHI,16,338.0,21.125
2001,CIN,16,226.0,14.125
2001,CLE,16,285.0,17.8125
2001,DAL,16,246.0,15.375
2001,DEN,16,340.0,21.25
2001,DET,16,270.0,16.875
2001,GB,16,390.0,24.375
2001,IND,16,413.0,25.8125
2001,JAX,16,294.0,18.375
2001,KC,16,320.0,20.0
2001,MIA,16,344.0,21.5
2001,MIN,16,290.0,18.125
2001,NE,16,371.0,23.1875
2001,NO,16,333.0,20.8125
2001,NYG,16,294.0,18.375
2001,NYJ,16,308.0,19.25
2001,LV,16,399.0,24.9375
2001,PHI,16,343.0,21.4375
2001,PIT,16,352.0,22.0
2001,LAC,16,332.0,20.75
2001,SEA,16,301.0,18.8125
2001,SF,16,409.0,25.5625
