coach_name,n_distinct_skill_players,avg_overperformance_vs_draft_tier_expected,p_value,n_seasons_as_OC,n_seasons_as_HC
Rob Boras,19,-0.369,0.0016653747607084845,2,0
Klint Kubiak,38,0.649,0.00768307938589967,3,0
Dick Jauron,60,-0.215,0.011340100492717192,0,8
Kyle Shanahan,120,0.262,0.011873383488707758,9,9
Chip Kelly,33,0.463,0.015831763326020376,0,3
Aaron Kromer,26,0.906,0.016056418542109444,2,1
Mike Sherman,37,0.467,0.017727545766425087,3,1
Ted Tollner,13,-0.515,0.01876726892915662,1,0
Kellen Moore,67,0.36,0.01891603360481712,6,1
Mike Groh,18,0.679,0.023148018519915336,2,0
Adam Gase,72,0.319,0.02457864029813746,3,5
Dan Campbell,42,0.406,0.02536793009507932,0,6
Steve Wilks,26,-0.33,0.026363563350183895,0,2
Scott Linehan,90,0.242,0.026981858413372212,13,0
David Culley,17,-0.398,0.03829074946654478,0,1
Tom Coughlin,67,0.298,0.04118752500082057,0,12
Joe Judge,26,-0.215,0.04420269899494614,0,2
Liam Coen,42,0.405,0.04428812780161381,2,1
John Morton,23,0.572,0.047086916909668215,2,0
Bill O'Brien,70,0.352,0.0473110920317416,2,7
Sean Payton,107,0.202,0.049069363054159786,2,18
Shane Steichen,58,0.319,0.04926570892770805,4,3
Frank Reich,60,0.304,0.052935803713471244,4,4
Pat Shurmur,113,0.192,0.054283021184391704,9,5
Mike Miller,18,-0.244,0.056272665514595,2,0
Ben Johnson,30,0.441,0.05794804320244206,3,1
Lane Kiffin,20,-0.303,0.06076876513588804,0,2
Jim E. Mora,11,1.212,0.06245544222283382,0,1
Doug Marrone,78,0.213,0.06259777305782924,3,7
Kevin Gilbride,43,0.341,0.07059561687132568,8,0
Chris Tabor,14,-0.441,0.07491589569235374,0,1
Frank Reich; fired on November 27,14,-0.441,0.07491589569235374,0,1
Ken Zampese,13,0.596,0.07902156547751649,1,0
Joe Vitt,12,1.101,0.08076094920901557,0,1
Sean Payton†,12,1.101,0.08076094920901557,0,1
Jeff Davidson,36,-0.204,0.08396764923663494,5,0
Joe Philbin,52,0.272,0.08535137884714711,5,4
Jack Del Rio,62,-0.178,0.09459572415789337,0,11
Edgar Bennett,20,0.342,0.09577955714541449,3,0
Gary Kubiak,111,0.188,0.09581743085705688,7,10
Klay Kubiak,12,0.899,0.09910540262203132,1,0
Rod Marinelli,29,-0.241,0.10521083082469138,0,3
Chan Gailey,83,0.188,0.10687481745895361,5,3
Tony Dungy,34,0.223,0.10870258276309105,0,5
"Brian Callahan (fired October 13, 1–5 record)",12,-0.293,0.11016904436863455,0,1
"Todd Haley (fired Dec 12, 2011)",13,-0.364,0.11026011570432305,0,1
Josh McDaniels,125,0.169,0.1119267387174127,15,2
Bobby Slowik,17,0.492,0.11524033291315232,2,0
Grant Udinski,26,0.335,0.115373482759961,2,0
Nick Holz,20,-0.214,0.11614079231525881,2,0
Tom Moore,34,0.283,0.11633730656376108,6,0
George Godsey,36,0.301,0.12011628865887337,3,0
Harold Goodwin,31,-0.257,0.12208004242675076,5,0
John DeFilippo,27,0.397,0.12424790803070711,2,0
Jordan Traylor,12,-0.221,0.12992764740566756,1,0
Mick Lombardi,12,0.712,0.1308790321166418,1,0
Mike Shanahan,33,0.27,0.13630222944262851,0,4
Dave Campo,12,-0.226,0.13733685370070062,0,1
Bruce Coslet,12,-0.226,0.13733685370070062,1,0
Steve Sarkisian,18,0.353,0.14101582767690352,2,0
Mike McDaniel,43,0.328,0.14295869991855345,1,4
Kliff Kingsbury,52,0.186,0.1466277990216877,2,4
Jedd Fisch,31,0.291,0.14778984286965874,3,0
Butch Davis,14,-0.398,0.15210782011662205,0,1
Emmitt Thomas,12,-0.343,0.157293832324407,0,1
Anthony Lynn,55,0.218,0.1613669907746116,1,5
John Harbaugh,99,-0.14,0.16145240611898928,0,18
Mike Shula,41,0.241,0.16610155124800735,7,0
"Pete Carmichael, Jr.",26,0.386,0.16746832793694968,5,0
Bill Cowher,27,-0.216,0.16762079268810334,0,6
Terry Shea,12,-0.357,0.17219643709892665,1,0
Lovie Smith,83,-0.135,0.174351419426007,0,12
Jason Michael,23,-0.289,0.17500849843886015,2,0
Joe Philbin {{small|(fired on October 5)}},12,0.486,0.17693942768832652,0,1
John Fox,98,0.139,0.17851245103819757,0,16
Dick LeBeau,17,-0.236,0.18200506462515018,0,2
Rick Dennison,78,0.157,0.18321740490976937,10,0
Darren Rizzi,18,0.475,0.18440830891555354,0,1
Dennis Allen (fired on November 4),18,0.475,0.18440830891555354,0,1
Bobby Jackson,9,0.76,0.18522866528595303,1,0
George Sefcik,11,-0.295,0.19012546546432973,1,0
Thomas Brown,25,-0.231,0.1982353756282225,1,1
Jason Garrett,65,0.145,0.1986735069984535,3,10
Norm Chow,24,-0.185,0.20054410681387053,3,0
Todd Bowles,75,0.135,0.20507275225178206,0,9
Nick Sirianni,52,0.19,0.20873042561204683,3,5
Matt Cavanaugh,53,-0.133,0.21245541086537567,6,0
Dan Quinn,54,0.167,0.21820773532558407,0,8
Clyde Christensen,44,0.175,0.21844926300990436,5,0
Brandon Staley; fired on December 15,14,0.475,0.2196973915295429,0,1
Giff Smith,14,0.475,0.2196973915295429,0,1
Steve Loney,13,-0.403,0.22113819895133785,1,0
Brian Billick,42,-0.136,0.22233415796835415,0,7
Brian Johnson,11,0.531,0.22651820868025258,1,0
Dennis Erickson,11,0.36,0.22849318698086132,0,1
Bill Muir,51,-0.153,0.23105578165617355,8,0
Jeff Fisher (Fired Week 14),13,-0.178,0.23174087282168246,0,1
John Fassel,13,-0.178,0.23174087282168246,0,1
Jim Harbaugh,51,-0.147,0.23236353123086495,0,6
Steve Fairchild,14,-0.214,0.23254600614308682,2,0
Marty Schottenheimer,23,0.291,0.23530485101132007,0,5
Zac Taylor,55,0.161,0.23674991515866325,1,7
Kevin O'Connell,53,0.17,0.2368530482686679,3,4
Mike Holmgren,21,0.26,0.24049348831384598,0,4
Norv Turner,122,0.124,0.25120895629825335,10,8
Todd Downing,39,-0.177,0.25216368152722307,3,0
Jim Caldwell,57,0.144,0.2546693206019512,2,7
Dirk Koetter,89,0.117,0.26127412651521825,10,3
Wade Phillips,13,-0.157,0.26129759989729007,0,1
Pete Mangurian,13,-0.157,0.26129759989729007,1,0
