coach_name,position,draft_tier,n_distinct_players,coach_avg_tier_score,league_baseline_tier_score,overperformance,p_value
Steve Mariucci,RB,Day3+UDFA,5,0.0,0.315,-0.315,0.0
Bill Cowher,WR,Day3+UDFA,6,0.0,0.234,-0.234,0.0
Tony Dungy,WR,Day3+UDFA,6,0.0,0.234,-0.234,0.0
Bill Callahan,WR,Day3+UDFA,5,0.0,0.234,-0.234,0.0
Dennis Green,RB,Day3+UDFA,5,0.0,0.315,-0.315,0.0
Romeo Crennel,RB,Day3+UDFA,5,0.0,0.315,-0.315,0.0
Rod Marinelli,TE,Day3+UDFA,5,0.0,0.281,-0.281,0.0
Eric Mangini,TE,Day3+UDFA,6,0.0,0.281,-0.281,0.0
Josh McDaniels,RB,Day3+UDFA,5,0.0,0.315,-0.315,0.0
Jim Schwartz,WR,Day3+UDFA,5,0.0,0.234,-0.234,0.0
Raheem Morris,TE,Day3+UDFA,6,0.0,0.281,-0.281,0.0
Ron Rivera,WR,Day3+UDFA,24,0.0,0.234,-0.234,0.0
Jim Harbaugh,WR,Day3+UDFA,8,0.0,0.234,-0.234,0.0
Mike Munchak,RB,Day3+UDFA,5,0.0,0.315,-0.315,0.0
Gus Bradley,RB,Day3+UDFA,6,0.0,0.315,-0.315,0.0
Dan Campbell,TE,Day3+UDFA,6,0.0,0.281,-0.281,0.0
Ben McAdoo,WR,Day3+UDFA,5,0.0,0.234,-0.234,0.0
Sean McDermott,RB,Day3+UDFA,9,0.0,0.315,-0.315,0.0
Vance Joseph,TE,Day3+UDFA,5,0.0,0.281,-0.281,0.0
Vance Joseph,WR,Day3+UDFA,5,0.0,0.234,-0.234,0.0
Matt Patricia,RB,Day3+UDFA,7,0.0,0.315,-0.315,0.0
Matt Patricia,TE,Day3+UDFA,5,0.0,0.281,-0.281,0.0
Zac Taylor,WR,Day3+UDFA,10,0.0,0.234,-0.234,0.0
Joe Judge,WR,Day3+UDFA,7,0.0,0.234,-0.234,0.0
Nick Sirianni,WR,Day3+UDFA,6,0.0,0.234,-0.234,0.0
Aaron Glenn,WR,Day3+UDFA,5,0.0,0.234,-0.234,0.0
Jack Del Rio,TE,Day3+UDFA,9,0.028,0.281,-0.253,1.6759953599391376e-05
John Harbaugh,WR,Day1,14,0.326,1.299,-0.973,0.00010229012763054013
Mike Mularkey,WR,Day2,10,0.1,0.63,-0.53,0.0004948829669077429
Marvin Lewis,TE,Day3+UDFA,10,0.05,0.281,-0.231,0.0012467619806716301
