coach_name,position,draft_tier,n_distinct_players,coach_avg_tier_score,rest_of_league_avg_tier_score,overperformance,p_value
Ron Rivera,WR,Day3+UDFA,24,0.0,0.238,-0.238,6.730940267179063e-25
Bill Belichick,WR,Day2,16,0.301,0.63,-0.33,0.015080596173957987
Bill Belichick,WR,Day3+UDFA,25,0.64,0.221,0.419,0.029663827723283534
Bill Belichick,RB,Day3+UDFA,19,0.592,0.309,0.283,0.11192481476298767
Andy Reid,RB,Day3+UDFA,24,0.191,0.32,-0.129,0.17473280880292777
Sean Payton,WR,Day3+UDFA,23,0.408,0.227,0.181,0.23116053848587562
John Fox,RB,Day3+UDFA,16,0.583,0.308,0.275,0.2941167901513832
Mike McCarthy,WR,Day3+UDFA,16,0.146,0.235,-0.089,0.3201972040657111
Sean McDermott,WR,Day3+UDFA,16,0.451,0.228,0.223,0.3554096438115083
Andy Reid,TE,Day3+UDFA,16,0.175,0.286,-0.111,0.41043795882771444
John Fox,TE,Day3+UDFA,15,0.468,0.27,0.198,0.4213725262159502
John Harbaugh,RB,Day3+UDFA,16,0.442,0.307,0.134,0.46452830960441327
John Harbaugh,WR,Day3+UDFA,21,0.159,0.231,-0.072,0.48380880044358177
Jack Del Rio,RB,Day3+UDFA,15,0.2,0.318,-0.118,0.5000497297914338
Sean Payton,RB,Day3+UDFA,18,0.451,0.311,0.14,0.5242118552236099
Mike Tomlin,RB,Day3+UDFA,21,0.242,0.318,-0.076,0.5325073648292055
Lovie Smith,WR,Day3+UDFA,15,0.444,0.231,0.214,0.5334173897629817
Andy Reid,WR,Day2,17,0.806,0.609,0.197,0.5500617001647248
Mike Tomlin,WR,Day2,19,0.733,0.609,0.124,0.5632327672911981
Mike Tomlin,WR,Day3+UDFA,20,0.336,0.228,0.108,0.5958361905423368
Mike Vrabel,WR,Day3+UDFA,17,0.176,0.232,-0.055,0.6767746752263089
Todd Bowles,WR,Day3+UDFA,23,0.29,0.228,0.062,0.6816726231562633
Marvin Lewis,WR,Day3+UDFA,15,0.302,0.232,0.07,0.7543858485339817
Raheem Morris,WR,Day3+UDFA,16,0.281,0.235,0.046,0.7745369259615006
Mike McCarthy,RB,Day3+UDFA,17,0.275,0.309,-0.035,0.7827455980306126
Mike McCarthy,TE,Day3+UDFA,16,0.328,0.28,0.048,0.8019580312165667
John Fox,WR,Day3+UDFA,18,0.222,0.231,-0.009,0.9390672946660003
Andy Reid,WR,Day3+UDFA,21,0.234,0.233,0.001,0.9958275296133868
