coach_name,position,draft_tier,n_distinct_players,coach_avg_tier_score,league_baseline_tier_score,overperformance,p_value
Mike Heimerdinger,RB,Day3+UDFA,7,0.0,0.315,-0.315,0.0
Chan Gailey,TE,Day3+UDFA,6,0.0,0.281,-0.281,0.0
Bob Bratkowski,TE,Day3+UDFA,6,0.0,0.281,-0.281,0.0
Cam Cameron,RB,Day3+UDFA,5,0.0,0.315,-0.315,0.0
Bill Musgrave,TE,Day3+UDFA,9,0.0,0.281,-0.281,0.0
Rob Chudzinski,WR,Day3+UDFA,9,0.0,0.234,-0.234,0.0
Tom Clements,RB,Day3+UDFA,5,0.0,0.315,-0.315,0.0
Tom Clements,TE,Day3+UDFA,6,0.0,0.281,-0.281,0.0
Mike Martz,TE,Day3+UDFA,6,0.0,0.281,-0.281,0.0
Jeff Davidson,RB,Day3+UDFA,5,0.0,0.315,-0.315,0.0
Jeff Davidson,WR,Day3+UDFA,6,0.0,0.234,-0.234,0.0
Hue Jackson,TE,Day3+UDFA,5,0.0,0.281,-0.281,0.0
Alex Van Pelt,TE,Day3+UDFA,5,0.0,0.281,-0.281,0.0
Brian Daboll,TE,Day3+UDFA,10,0.0,0.281,-0.281,0.0
Jay Gruden,TE,Day3+UDFA,5,0.0,0.281,-0.281,0.0
Jim Bob Cooter,TE,Day3+UDFA,11,0.0,0.281,-0.281,0.0
Doug Pederson,WR,Day3+UDFA,6,0.0,0.234,-0.234,0.0
Jedd Fisch,RB,Day3+UDFA,5,0.0,0.315,-0.315,0.0
Joe Lombardi,TE,Day3+UDFA,6,0.0,0.281,-0.281,0.0
Jason Michael,RB,Day3+UDFA,5,0.0,0.315,-0.315,0.0
Jason Michael,WR,Day2,5,0.0,0.63,-0.63,0.0
Matt LaFleur,WR,Day3+UDFA,7,0.0,0.234,-0.234,0.0
Todd Downing,WR,Day3+UDFA,8,0.0,0.234,-0.234,0.0
Shane Steichen,WR,Day3+UDFA,10,0.0,0.234,-0.234,0.0
Arthur Smith,WR,Day3+UDFA,10,0.0,0.234,-0.234,0.0
Brian Callahan,WR,Day3+UDFA,9,0.0,0.234,-0.234,0.0
Kevin O'Connell,WR,Day3+UDFA,5,0.0,0.234,-0.234,0.0
Jason Garrett (fired after week 11),WR,Day3+UDFA,5,0.0,0.234,-0.234,0.0
Press Taylor,WR,Day3+UDFA,5,0.0,0.234,-0.234,0.0
