coach_name,position,draft_tier,n_distinct_players,coach_avg_tier_score,rest_of_league_avg_tier_score,overperformance,p_value
Greg Roman,WR,Day3+UDFA,15,0.022,0.234,-0.211,9.77895822571646e-09
Dirk Koetter,WR,Day3+UDFA,20,0.083,0.237,-0.153,0.021822623109510678
Josh McDaniels,WR,Day3+UDFA,26,0.632,0.216,0.416,0.03171341483931263
Scott Linehan,WR,Day3+UDFA,18,0.097,0.233,-0.135,0.06986537750190007
Marty Mornhinweg,WR,Day3+UDFA,16,0.109,0.237,-0.127,0.09311452524586908
Josh McDaniels,RB,Day3+UDFA,17,0.632,0.308,0.325,0.09315848789045315
Greg Olson,RB,Day3+UDFA,24,0.149,0.31,-0.16,0.10727213003704314
Rick Dennison,RB,Day3+UDFA,17,0.765,0.303,0.461,0.160677716669526
Brian Schottenheimer,RB,Day3+UDFA,16,0.641,0.307,0.333,0.16330410610923832
Dowell Loggains,WR,Day3+UDFA,19,0.474,0.231,0.242,0.19100725305068278
Kyle Shanahan,WR,Day3+UDFA,16,0.469,0.23,0.239,0.21952575927115572
Greg Olson,TE,Day3+UDFA,19,0.553,0.273,0.28,0.28396997851172723
Pat Shurmur,WR,Day3+UDFA,20,0.408,0.227,0.181,0.32031442127264237
Brian Daboll,WR,Day3+UDFA,20,0.446,0.224,0.222,0.35082912625804497
Chan Gailey,WR,Day3+UDFA,16,0.406,0.229,0.177,0.39307665469798975
Darrell Bevell,WR,Day3+UDFA,18,0.376,0.23,0.146,0.3955274585391722
Marty Mornhinweg,RB,Day3+UDFA,16,0.219,0.313,-0.094,0.4256695674719171
Greg Olson,WR,Day3+UDFA,29,0.322,0.228,0.094,0.43823276984441895
Nathaniel Hackett,TE,Day3+UDFA,16,0.385,0.275,0.111,0.549866157584862
Darrell Bevell,TE,Day3+UDFA,15,0.213,0.281,-0.067,0.5523694250104708
Norv Turner,WR,Day3+UDFA,19,0.325,0.223,0.102,0.555724811890632
Nathaniel Hackett,RB,Day3+UDFA,17,0.471,0.313,0.158,0.5898168346749566
Dirk Koetter,RB,Day3+UDFA,15,0.244,0.311,-0.067,0.5981250369390003
Greg Olson,WR,Day2,18,0.722,0.613,0.109,0.6212657469320771
Greg Roman,RB,Day3+UDFA,17,0.382,0.308,0.075,0.6214291078244295
Dowell Loggains,RB,Day3+UDFA,15,0.233,0.315,-0.082,0.6515766018360933
Brian Schottenheimer,WR,Day3+UDFA,21,0.283,0.226,0.056,0.6710114776597811
Nathaniel Hackett,WR,Day3+UDFA,19,0.27,0.23,0.04,0.7164531834793968
Darrell Bevell,RB,Day3+UDFA,19,0.254,0.304,-0.049,0.7230839511206288
