coach_name,position,draft_tier,n_distinct_players,coach_avg_tier_score,league_baseline_tier_score,overperformance,p_value
Geep Chryst,TE,Day3+UDFA,5,0.0,0.281,-0.281,0.0
Dave Atkins,RB,Day3+UDFA,5,0.0,0.315,-0.315,0.0
Ted Williams,RB,Day3+UDFA,12,0.0,0.315,-0.315,0.0
Wilbert Montgomery,RB,Day3+UDFA,5,0.0,0.315,-0.315,0.0
Tony Sparano,TE,Day3+UDFA,5,0.0,0.281,-0.281,0.0
Wes Chandler,WR,Day3+UDFA,5,0.0,0.234,-0.234,0.0
Mike Wilson,WR,Day3+UDFA,7,0.0,0.234,-0.234,0.0
Freddie Kitchens,TE,Day3+UDFA,7,0.0,0.281,-0.281,0.0
Pat Carter,TE,Day3+UDFA,5,0.0,0.281,-0.281,0.0
Charlie Coiner,TE,Day3+UDFA,7,0.0,0.281,-0.281,0.0
Mike DeBord,TE,Day3+UDFA,5,0.0,0.281,-0.281,0.0
Tommie Robinson,RB,Day3+UDFA,6,0.0,0.315,-0.315,0.0
Jerry Fontenot,TE,Day3+UDFA,6,0.0,0.281,-0.281,0.0
Johnny Cox,WR,Day3+UDFA,5,0.0,0.234,-0.234,0.0
Ricky Proehl,WR,Day3+UDFA,5,0.0,0.234,-0.234,0.0
Kyle Caskey,RB,Day3+UDFA,7,0.0,0.315,-0.315,0.0
Bobby Engram,WR,Day1,5,0.0,1.299,-1.299,0.0
Ronald Curry,WR,Day3+UDFA,7,0.0,0.234,-0.234,0.0
Dan Pitcher,WR,Day3+UDFA,5,0.0,0.234,-0.234,0.0
Greg Lewis,WR,Day2,5,0.0,0.63,-0.63,0.0
Lance Taylor,WR,Day3+UDFA,5,0.0,0.234,-0.234,0.0
Chris White,TE,Day3+UDFA,5,0.0,0.281,-0.281,0.0
Troy Walters,WR,Day3+UDFA,7,0.0,0.234,-0.234,0.0
Chris Beatty,WR,Day3+UDFA,6,0.0,0.234,-0.234,0.0
Drew Terrell,WR,Day3+UDFA,7,0.0,0.234,-0.234,0.0
T. J. Yates,WR,Day3+UDFA,5,0.0,0.234,-0.234,0.0
Bryan McClendon,WR,Day3+UDFA,5,0.0,0.234,-0.234,0.0
Alfredo Roberts,TE,Day3+UDFA,14,0.024,0.281,-0.257,7.228085889825373e-08
Zach Azzanni,WR,Day3+UDFA,19,0.026,0.234,-0.208,2.9975967877638873e-07
Sherman Smith,RB,Day3+UDFA,12,0.042,0.315,-0.273,4.13156912188136e-05
Sylvester Croom,RB,Day3+UDFA,16,0.062,0.315,-0.252,0.001082339537849085
Jonathan Hayes,TE,Day3+UDFA,11,0.061,0.281,-0.221,0.004536588623318086
Justin Peelle,TE,Day2,5,2.433,0.837,1.597,0.005732334192257229
Michael Pitre,RB,Day3+UDFA,5,0.05,0.315,-0.265,0.006119175451876805
Derek Dooley,WR,Day3+UDFA,8,0.05,0.234,-0.184,0.007885300548414622
Tim Spencer,RB,Day3+UDFA,12,0.146,0.315,-0.169,0.010057430916562318
Todd McNair,RB,Day2,6,0.222,1.096,-0.873,0.01106225462758592
James Daniel,TE,Day2,6,0.278,0.837,-0.559,0.011068435951411042
Ivan Fears,RB,Day1,5,0.667,1.9,-1.233,0.01149239890643232
Ray Sherman,WR,Day2,13,0.308,0.63,-0.322,0.0203711601473827
Carl Smith,QB,Day3+UDFA,5,0.1,0.419,-0.319,0.033066235470574905
Kippy Brown,WR,Day2,6,0.236,0.63,-0.394,0.04654197792219169
Ray Sherman,WR,Day3+UDFA,19,0.649,0.234,0.415,0.04804243552584576
Duce Staley,RB,Day3+UDFA,12,0.125,0.315,-0.19,0.05822905655846312
Kevin M. Gilbride,TE,Day3+UDFA,11,0.091,0.281,-0.19,0.06277470444353211
Brian Pariani,TE,Day3+UDFA,16,0.807,0.281,0.526,0.06875112066479683
John Zernhelt,TE,Day2,7,0.393,0.837,-0.444,0.07156898517512347
Greg Lewis,WR,Day1,6,0.556,1.299,-0.744,0.07369908351459582
Charlie Joiner,WR,Day1,5,0.52,1.299,-0.779,0.0789280032415681
Bobby Engram,WR,Day2,10,1.25,0.63,0.62,0.0840758665535153
Richard Mann,WR,Day3+UDFA,14,0.936,0.234,0.702,0.0842517337607084
Danny Barrett,RB,Day2,6,0.583,1.096,-0.512,0.08454549546364178
Jim Hostler,WR,Day2,8,1.375,0.63,0.745,0.08726549676992518
Curtis Johnson,WR,Day3+UDFA,9,0.967,0.234,0.733,0.08843932140667157
Bobby Turner,RB,Day3+UDFA,25,0.67,0.315,0.355,0.08864461538126849
Dowell Loggains,QB,Day1,7,0.786,1.321,-0.536,0.0888784507809432
Ivan Fears,RB,Day3+UDFA,17,0.603,0.315,0.288,0.09251301499982692
Jerald Ingram,RB,Day3+UDFA,9,0.976,0.315,0.662,0.09549587014312018
Wes Chandler,WR,Day2,5,0.2,0.63,-0.43,0.09806790984540235
Matt Simon,RB,Day3+UDFA,9,0.111,0.315,-0.204,0.1043951146286148
Richard Mann,WR,Day1,9,0.783,1.299,-0.516,0.10509648641823403
