coach_name,position,draft_tier,n_distinct_players,coach_avg_tier_score,rest_of_league_avg_tier_score,overperformance,p_value
Zach Azzanni,WR,Day3+UDFA,19,0.026,0.239,-0.212,1.002965338996587e-07
Sylvester Croom,RB,Day3+UDFA,16,0.062,0.319,-0.257,0.0011787405730820726
Ray Sherman,WR,Day3+UDFA,19,0.649,0.222,0.428,0.043204041748907185
Brian Pariani,TE,Day3+UDFA,16,0.807,0.264,0.544,0.06203147167318958
Bobby Turner,RB,Day3+UDFA,25,0.67,0.303,0.367,0.08206210644259768
Ivan Fears,RB,Day3+UDFA,17,0.603,0.308,0.295,0.08908643417576066
Curtis Modkins,RB,Day3+UDFA,21,0.667,0.299,0.368,0.09869305196010628
Karl Dorrell,WR,Day3+UDFA,24,0.556,0.221,0.335,0.10156723208930674
Chad O'Shea,WR,Day3+UDFA,19,0.562,0.227,0.335,0.1578785095226571
Rob Moore,WR,Day3+UDFA,25,0.12,0.234,-0.114,0.21829847099356878
Chick Harris,RB,Day3+UDFA,16,0.804,0.293,0.511,0.2252309036495997
Tyke Tolbert,WR,Day3+UDFA,31,0.151,0.236,-0.085,0.23852393631040186
Rob Boras,TE,Day3+UDFA,16,0.167,0.279,-0.113,0.25882263190506527
Kelly Skipper,RB,Day3+UDFA,19,0.175,0.32,-0.144,0.2680975960351913
Edgar Bennett,WR,Day3+UDFA,20,0.407,0.226,0.18,0.2731003033923894
Kirby Wilson,RB,Day3+UDFA,30,0.217,0.317,-0.101,0.3575129608632913
Shawn Jefferson,WR,Day2,23,0.464,0.642,-0.178,0.37551738410777746
Tom Melvin,TE,Day3+UDFA,16,0.169,0.286,-0.117,0.38090226145730194
Anthony Lynn,RB,Day3+UDFA,18,0.194,0.31,-0.116,0.4125856328612872
Tom Rathman,RB,Day3+UDFA,22,0.227,0.319,-0.092,0.4861492507393905
Keenan McCardell,WR,Day3+UDFA,15,0.317,0.231,0.086,0.4911466852391653
Eric Yarber,WR,Day3+UDFA,19,0.382,0.229,0.153,0.5009970764526644
Kippy Brown,WR,Day3+UDFA,16,0.343,0.232,0.111,0.5278015797840075
Randy Jordan,RB,Day3+UDFA,16,0.396,0.31,0.086,0.5580721714567992
Andy Bischoff,TE,Day3+UDFA,16,0.375,0.272,0.103,0.5688541529322703
Stan Hixon,WR,Day3+UDFA,15,0.333,0.23,0.104,0.5767425243909551
Ike Hilliard,WR,Day3+UDFA,18,0.319,0.232,0.088,0.579833305601239
Ron Middleton,TE,Day3+UDFA,18,0.213,0.281,-0.068,0.5956749221796391
Sanjay Lal,WR,Day3+UDFA,28,0.193,0.23,-0.036,0.6225772108143016
George Stewart,WR,Day3+UDFA,16,0.294,0.228,0.066,0.697006391845298
Bernie Parmalee,RB,Day3+UDFA,18,0.389,0.314,0.075,0.6981165796433748
Robert Prince,WR,Day3+UDFA,23,0.284,0.227,0.057,0.7057418972411543
Sanjay Lal,WR,Day2,21,0.667,0.605,0.062,0.7673549836178472
Jerry Sullivan,WR,Day3+UDFA,19,0.281,0.235,0.046,0.7716766694020931
Tyke Tolbert,WR,Day2,21,0.668,0.593,0.075,0.7759828867637575
Fred Graves,WR,Day3+UDFA,18,0.269,0.234,0.035,0.7929313349330076
Adam Henry,WR,Day3+UDFA,21,0.262,0.226,0.036,0.8128479332543088
Stump Mitchell,RB,Day3+UDFA,15,0.35,0.316,0.034,0.8336730334288525
Mike Groh,WR,Day3+UDFA,20,0.258,0.233,0.026,0.8729211568036945
Shawn Jefferson,WR,Day3+UDFA,20,0.25,0.232,0.018,0.8843295119931801
Bob Bicknell,WR,Day3+UDFA,19,0.246,0.234,0.011,0.9305023902689319
Jim Hostler,WR,Day3+UDFA,18,0.222,0.229,-0.007,0.9574783266032645
Eric Studesville,RB,Day3+UDFA,29,0.316,0.31,0.006,0.9633654899804703
Skip Peete,RB,Day3+UDFA,17,0.314,0.307,0.007,0.9723440313364172
