coach_name,position,n_distinct_candidates,n_ever_broke_out,breakout_player_rate,league_base_rate,p_value
Mike McCarthy,WR,10,5,0.5,0.18262411347517732,0.021569800352154226
Sean McDermott,WR,16,0,0.0,0.18262411347517732,0.05296425486081653
John Harbaugh,WR,18,0,0.0,0.18262411347517732,0.05549426593770009
Todd Bowles,WR,14,0,0.0,0.18262411347517732,0.0847330399672275
Andy Reid,WR,28,2,0.07142857142857142,0.18262411347517732,0.13778436620290516
Dennis Allen,WR,13,0,0.0,0.18262411347517732,0.13986615031834815
John Fox,QB,8,0,0.0,0.23030303030303031,0.20004828372200978
Chuck Pagano,RB,8,0,0.0,0.22538860103626943,0.2072921329592869
Rex Ryan,RB,8,0,0.0,0.22538860103626943,0.2072921329592869
Ron Rivera,RB,8,0,0.0,0.22538860103626943,0.2072921329592869
Gus Bradley,WR,9,3,0.3333333333333333,0.18262411347517732,0.2157931577935102
Jack Del Rio,WR,10,0,0.0,0.18262411347517732,0.22117420706214075
Tony Sparano,WR,10,0,0.0,0.18262411347517732,0.22117420706214075
Adam Gase,WR,10,0,0.0,0.18262411347517732,0.22117420706214075
Kyle Shanahan,WR,10,0,0.0,0.18262411347517732,0.22117420706214075
Lovie Smith,WR,11,0,0.0,0.18262411347517732,0.22919196494051694
Ken Whisenhunt,WR,11,0,0.0,0.18262411347517732,0.22919196494051694
Pat Shurmur,WR,11,0,0.0,0.18262411347517732,0.22919196494051694
Bill Belichick,WR,24,2,0.08333333333333333,0.18262411347517732,0.2818480576047222
Steve Mariucci,WR,8,0,0.0,0.18262411347517732,0.36184628822759096
Joe Philbin,WR,8,0,0.0,0.18262411347517732,0.36184628822759096
Hue Jackson,WR,8,0,0.0,0.18262411347517732,0.36184628822759096
Matt Nagy,WR,8,0,0.0,0.18262411347517732,0.36184628822759096
Kevin Stefanski,WR,8,0,0.0,0.18262411347517732,0.36184628822759096
John Fox,WR,19,5,0.2631578947368421,0.18262411347517732,0.36464203604250733
Mike Mularkey,WR,9,0,0.0,0.18262411347517732,0.37631447641041166
Jay Gruden,WR,9,0,0.0,0.18262411347517732,0.37631447641041166
Doug Pederson,WR,9,0,0.0,0.18262411347517732,0.37631447641041166
Frank Reich,WR,9,0,0.0,0.18262411347517732,0.37631447641041166
Arthur Smith,WR,9,0,0.0,0.18262411347517732,0.37631447641041166
Robert Saleh,WR,9,0,0.0,0.18262411347517732,0.37631447641041166
Jim Schwartz,RB,8,3,0.375,0.22538860103626943,0.38692802198116094
Jason Garrett,WR,10,3,0.3,0.18262411347517732,0.4002453876818307
Jack Del Rio,RB,10,1,0.1,0.22538860103626943,0.4675622894095246
Lovie Smith,RB,10,1,0.1,0.22538860103626943,0.4675622894095246
John Harbaugh,RB,11,1,0.09090909090909091,0.22538860103626943,0.4679918390584449
Mike Vrabel,WR,13,1,0.07692307692307693,0.18262411347517732,0.4796978212628122
Marvin Lewis,WR,15,4,0.26666666666666666,0.18262411347517732,0.4936322463233377
Bill Belichick,TE,13,2,0.15384615384615385,0.2682926829268293,0.5204429841057936
Mike Tomlin,RB,15,2,0.13333333333333333,0.22538860103626943,0.5363169372944011
Sean Payton,WR,20,2,0.1,0.18262411347517732,0.5538311966124473
Ron Rivera,WR,20,2,0.1,0.18262411347517732,0.5538311966124473
Mike Tomlin,WR,23,5,0.21739130434782608,0.18262411347517732,0.5897078080852183
Bill O'Brien,WR,8,2,0.25,0.18262411347517732,0.6424138684033915
Sean McVay,WR,8,2,0.25,0.18262411347517732,0.6424138684033915
Mike Zimmer,WR,9,2,0.2222222222222222,0.18262411347517732,0.6715159771349499
John Fox,TE,8,1,0.125,0.2682926829268293,0.6848508350654985
Jon Gruden,RB,8,1,0.125,0.22538860103626943,0.6893355801621709
Jason Garrett,RB,8,1,0.125,0.22538860103626943,0.6893355801621709
Doug Pederson,RB,8,1,0.125,0.22538860103626943,0.6893355801621709
Sean McDermott,RB,8,1,0.125,0.22538860103626943,0.6893355801621709
Norv Turner,WR,10,1,0.1,0.18262411347517732,0.698149816826711
Doug Marrone,WR,11,1,0.09090909090909091,0.18262411347517732,0.6983314354688127
Jon Gruden,WR,12,1,0.08333333333333333,0.18262411347517732,0.7041138708829728
Rex Ryan,WR,12,1,0.08333333333333333,0.18262411347517732,0.7041138708829728
Sean Payton,RB,11,3,0.2727272727272727,0.22538860103626943,0.7164571889487317
Andy Reid,RB,16,4,0.25,0.22538860103626943,0.7645468105390438
Marvin Lewis,RB,9,2,0.2222222222222222,0.22538860103626943,1.0
John Fox,RB,15,3,0.2,0.22538860103626943,1.0
Tom Coughlin,RB,8,2,0.25,0.22538860103626943,1.0
Tom Coughlin,WR,10,2,0.2,0.18262411347517732,1.0
Bill Belichick,RB,22,5,0.22727272727272727,0.22538860103626943,1.0
Norv Turner,RB,10,2,0.2,0.22538860103626943,1.0
Brad Childress,WR,9,1,0.1111111111111111,0.18262411347517732,1.0
Romeo Crennel,WR,9,1,0.1111111111111111,0.18262411347517732,1.0
Raheem Morris,WR,9,1,0.1111111111111111,0.18262411347517732,1.0
Todd Bowles,RB,8,2,0.25,0.22538860103626943,1.0
Bruce Arians,RB,8,2,0.25,0.22538860103626943,1.0
Bruce Arians,WR,9,1,0.1111111111111111,0.18262411347517732,1.0
Jim Harbaugh,WR,9,1,0.1111111111111111,0.18262411347517732,1.0
Dan Quinn,RB,9,2,0.2222222222222222,0.22538860103626943,1.0
