coach_name,n_candidates,n_breakouts,breakout_rate
Rod Marinelli,13,3,0.23076923076923078
Jim Caldwell,18,4,0.2222222222222222
Mike Tice,15,3,0.2
Matt Patricia,10,2,0.2
Sean McVay,31,6,0.1935483870967742
Jim Schwartz,21,4,0.19047619047619047
Mike McDaniel,17,3,0.17647058823529413
Brad Childress,23,4,0.17391304347826086
Dan Quinn,24,4,0.16666666666666666
Mike McCarthy,44,7,0.1590909090909091
Mike McCoy,19,3,0.15789473684210525
Dan Campbell,19,3,0.15789473684210525
Tom Cable,13,2,0.15384615384615385
Gus Bradley,26,4,0.15384615384615385
Matt Eberflus,13,2,0.15384615384615385
Bill Cowher,20,3,0.15
Mike Smith,20,3,0.15
Matt Nagy,20,3,0.15
Chuck Pagano,27,4,0.14814814814814814
Marvin Lewis,55,8,0.14545454545454545
Mike Shanahan,14,2,0.14285714285714285
Dirk Koetter,14,2,0.14285714285714285
Anthony Lynn,14,2,0.14285714285714285
Mike Vrabel,29,4,0.13793103448275862
Joe Gibbs,15,2,0.13333333333333333
Zac Taylor,23,3,0.13043478260869565
John Fox,70,9,0.12857142857142856
Tom Coughlin,39,5,0.1282051282051282
Joe Philbin,24,3,0.125
Brian Flores,16,2,0.125
Sean Payton,66,8,0.12121212121212122
Mike Holmgren,17,2,0.11764705882352941
Mike Tomlin,81,9,0.1111111111111111
Jason Garrett,38,4,0.10526315789473684
Bruce Arians,29,3,0.10344827586206896
Hue Jackson,20,2,0.1
Todd Bowles,40,4,0.1
Sean McDermott,42,4,0.09523809523809523
Nick Sirianni,21,2,0.09523809523809523
Dennis Green,11,1,0.09090909090909091
Bill Callahan,11,1,0.09090909090909091
Mike Zimmer,33,3,0.09090909090909091
Brandon Staley,11,1,0.09090909090909091
Gary Kubiak,34,3,0.08823529411764706
Doug Pederson,34,3,0.08823529411764706
Kliff Kingsbury,12,1,0.08333333333333333
Dave Canales,12,1,0.08333333333333333
Bill Belichick,121,10,0.08264462809917356
Andy Reid,100,8,0.08
Norv Turner,39,3,0.07692307692307693
Dick Jauron,27,2,0.07407407407407407
Marty Schottenheimer,14,1,0.07142857142857142
Herman Edwards,28,2,0.07142857142857142
Chip Kelly,14,1,0.07142857142857142
Shane Steichen,14,1,0.07142857142857142
Brian Daboll,14,1,0.07142857142857142
DeMeco Ryans,14,1,0.07142857142857142
Bill O'Brien,29,2,0.06896551724137931
Jon Gruden,44,3,0.06818181818181818
Doug Marrone,31,2,0.06451612903225806
Jack Del Rio,48,3,0.0625
Jim Haslett,16,1,0.0625
Dick Vermeil,16,1,0.0625
Leslie Frazier,16,1,0.0625
Chan Gailey,16,1,0.0625
Jonathan Gannon,16,1,0.0625
Lovie Smith,49,3,0.061224489795918366
Mike Nolan,17,1,0.058823529411764705
Vic Fangio,17,1,0.058823529411764705
Rex Ryan,36,2,0.05555555555555555
Arthur Smith,18,1,0.05555555555555555
Kyle Shanahan,37,2,0.05405405405405406
John Harbaugh,78,4,0.05128205128205128
Raheem Morris,21,1,0.047619047619047616
Frank Reich,21,1,0.047619047619047616
Jay Gruden,22,1,0.045454545454545456
Romeo Crennel,24,1,0.041666666666666664
Ron Rivera,55,2,0.03636363636363636
Pat Shurmur,28,1,0.03571428571428571
Matt LaFleur,28,1,0.03571428571428571
Jim Harbaugh,29,1,0.034482758620689655
Kevin Stefanski,30,1,0.03333333333333333
Ken Whisenhunt,31,1,0.03225806451612903
Adam Gase,31,1,0.03225806451612903
Dom Capers,18,0,0.0
Steve Mariucci,21,0,0.0
Dave Wannstedt,15,0,0.0
Eric Mangini,27,0,0.0
Mike Munchak,20,0,0.0
Brian Billick,17,0,0.0
Tony Sparano,22,0,0.0
Steve Spagnuolo,15,0,0.0
Dennis Allen,25,0,0.0
Mike Mularkey,21,0,0.0
Greg Schiano,11,0,0.0
Antonio Pierce,13,0,0.0
Robert Saleh,20,0,0.0
Kevin O'Connell,15,0,0.0
