coach_name,n_candidates,n_breakouts,breakout_rate,expected_rate_weighted,p_value
Sean McVay,31,6,0.1935483870967742,0.09058080588774091,0.05672506771898982
Jim Caldwell,18,4,0.2222222222222222,0.0904482997919562,0.07337882934488035
Brad Childress,23,4,0.17391304347826086,0.08171243490699875,0.11352207039093264
Jim Schwartz,21,4,0.19047619047619047,0.09083374755357071,0.1173694299684334
Marvin Lewis,55,8,0.14545454545454545,0.08738279732097798,0.1451543500294289
Mike Tice,15,3,0.2,0.09336685490736782,0.15914405913812693
Dan Quinn,24,4,0.16666666666666666,0.08944416356134655,0.16226259747551822
Eric Mangini,27,0,0.0,0.08809135464801804,0.16663377871948193
Mike McCarthy,44,7,0.1590909090909091,0.09376215361110175,0.1866855391659537
Mike McDaniel,17,3,0.17647058823529413,0.09072613652640822,0.19600849070027704
Dan Campbell,19,3,0.15789473684210525,0.08144780387385944,0.19804075586471523
Mike Smith,20,3,0.15,0.08277487126802796,0.22693395854618292
Mike McCoy,19,3,0.15789473684210525,0.08878639269890652,0.2352597410216375
Bill Cowher,20,3,0.15,0.08446730780070776,0.23614580365782875
Mike Munchak,20,0,0.0,0.09139284957688143,0.2507534463776205
Matt Nagy,20,3,0.15,0.08724455870754076,0.2513244467795653
Steve Mariucci,21,0,0.0,0.0845272014914489,0.25241817854388604
Tony Sparano,22,0,0.0,0.08428921220411613,0.2529949841558243
Dennis Allen,25,0,0.0,0.08535185056510507,0.26746291948083534
Gus Bradley,26,4,0.15384615384615385,0.08691574672908997,0.2794978813211758
Sean Payton,66,8,0.12121212121212122,0.08707318808383951,0.2798340069067491
John Fox,70,9,0.12857142857142856,0.08917492006414347,0.2884831388407614
Mike Vrabel,29,4,0.13793103448275862,0.08345637592401149,0.2998374404381165
Chuck Pagano,27,4,0.14814814814814814,0.09296228483883791,0.31087766127166416
John Harbaugh,78,4,0.05128205128205128,0.08784256854795143,0.3192077253674892
Ron Rivera,55,2,0.03636363636363636,0.08365011808200258,0.3242802355484279
Joe Gibbs,15,2,0.13333333333333333,0.08645087139287075,0.37673582086747903
Tom Coughlin,39,5,0.1282051282051282,0.08709519733774862,0.38491025986223976
Brian Billick,17,0,0.0,0.08173455773519214,0.39200828422081935
Dom Capers,18,0,0.0,0.08607464756932631,0.39594811212525943
Robert Saleh,20,0,0.0,0.08523044026805376,0.4085192406968043
Mike Mularkey,21,0,0.0,0.08205707150454039,0.41107147241687825
Mike Tomlin,81,9,0.1111111111111111,0.08918797143594842,0.43669365133217697
Joe Philbin,24,3,0.125,0.08712978780565239,0.46109874274295426
Zac Taylor,23,3,0.13043478260869565,0.09333288306716175,0.4697550616125925
Pat Shurmur,28,1,0.03571428571428571,0.08711328326285496,0.5098854695360322
Matt LaFleur,28,1,0.03571428571428571,0.08679775762201647,0.5099193365864152
Jim Harbaugh,29,1,0.034482758620689655,0.08703380556022383,0.511032145398232
Kevin Stefanski,30,1,0.03333333333333333,0.08889116296923456,0.5153662026445556
Ken Whisenhunt,31,1,0.03225806451612903,0.08608314521215403,0.5160392917715623
Adam Gase,31,1,0.03225806451612903,0.0868011571385494,0.5169279131767669
Jason Garrett,38,4,0.10526315789473684,0.08375202645151249,0.5563755311047424
Lovie Smith,49,3,0.061224489795918366,0.09059995532112114,0.6227328013365008
Steve Spagnuolo,15,0,0.0,0.08144730795315362,0.6280684263098697
Kevin O'Connell,15,0,0.0,0.08348270831492306,0.6304240733771702
Dave Wannstedt,15,0,0.0,0.08382648983486944,0.6308536324516386
Brian Flores,16,2,0.125,0.08718719703464949,0.6449405800402771
Mike Holmgren,17,2,0.11764705882352941,0.08456954212229781,0.6503165854980262
Hue Jackson,20,2,0.1,0.08768629460471465,0.6933186324463059
Nick Sirianni,21,2,0.09523809523809523,0.08644540952905555,0.7024011661719629
Romeo Crennel,24,1,0.041666666666666664,0.08657023120117403,0.717801528729246
Bruce Arians,29,3,0.10344827586206896,0.08580319424209495,0.7347564708684914
Mike Zimmer,33,3,0.09090909090909091,0.08776183209981432,0.7641508149245935
Kyle Shanahan,37,2,0.05405405405405406,0.0843252068032941,0.7668810842879141
Rex Ryan,36,2,0.05555555555555555,0.08786297357155237,0.767091459643154
Sean McDermott,42,4,0.09523809523809523,0.08321300716561951,0.7766162787239932
Todd Bowles,40,4,0.1,0.08775518567951117,0.7767771205390506
Jack Del Rio,48,3,0.0625,0.0899580209833943,0.7985932516305698
Dick Jauron,27,2,0.07407407407407407,0.0823279293723686,1.0
Andy Reid,100,8,0.08,0.08479443932788584,1.0
Jim Haslett,16,1,0.0625,0.09477527132242523,1.0
Herman Edwards,28,2,0.07142857142857142,0.08551073674067496,1.0
Bill Belichick,121,10,0.08264462809917356,0.08977385297644673,1.0
Norv Turner,39,3,0.07692307692307693,0.08501502247070575,1.0
Jon Gruden,44,3,0.06818181818181818,0.08770879098538979,1.0
Dick Vermeil,16,1,0.0625,0.07589768441681485,1.0
Mike Nolan,17,1,0.058823529411764705,0.08467771845007081,1.0
Gary Kubiak,34,3,0.08823529411764706,0.08903837135850232,1.0
Raheem Morris,21,1,0.047619047619047616,0.08580591626679458,1.0
Leslie Frazier,16,1,0.0625,0.08466954898529076,1.0
Bill O'Brien,29,2,0.06896551724137931,0.08965346407799889,1.0
Chan Gailey,16,1,0.0625,0.08388786108809958,1.0
Doug Marrone,31,2,0.06451612903225806,0.08611271441924177,1.0
Vic Fangio,17,1,0.058823529411764705,0.08388775618492492,1.0
Jay Gruden,22,1,0.045454545454545456,0.08361157192400735,1.0
Doug Pederson,34,3,0.08823529411764706,0.08659820025889016,1.0
Frank Reich,21,1,0.047619047619047616,0.08227586391235003,1.0
Arthur Smith,18,1,0.05555555555555555,0.08612557231486632,1.0
Jonathan Gannon,16,1,0.0625,0.08423231646208222,1.0
