coach_name,position,n_distinct_players,n_ever_superstar,superstar_player_rate,league_base_rate,p_value
Mike Zimmer,WR,14,3,0.21428571428571427,0.07049345417925479,0.06964955791632016
Jim Schwartz,RB,9,3,0.3333333333333333,0.12995896032831739,0.09962656987640742
Josh McDaniels,WR,8,2,0.25,0.07049345417925479,0.10406419738784023
Tom Coughlin,WR,27,4,0.14814814814814814,0.07049345417925479,0.11606164921687508
Doug Pederson,TE,11,3,0.2727272727272727,0.11368015414258188,0.11878151997174348
Todd Bowles,RB,17,0,0.0,0.12995896032831739,0.14871636918404804
Dave McGinnis,WR,10,2,0.2,0.07049345417925479,0.15281295981981083
Mike Smith,WR,10,2,0.2,0.07049345417925479,0.15281295981981083
Anthony Lynn,RB,11,3,0.2727272727272727,0.12995896032831739,0.1617671764106152
Ron Rivera,WR,36,0,0.0,0.07049345417925479,0.17115885558992217
Andy Reid,QB,15,3,0.2,0.10034602076124567,0.18120506275106396
Mike McCarthy,QB,8,2,0.25,0.10034602076124567,0.18633705540707296
Mike Vrabel,QB,8,2,0.25,0.10034602076124567,0.18633705540707296
Gus Bradley,WR,12,2,0.16666666666666666,0.07049345417925479,0.20500967628993058
Dan Campbell,TE,8,2,0.25,0.11368015414258188,0.22779789036320933
Tony Dungy,WR,13,2,0.15384615384615385,0.07049345417925479,0.2318190772612601
Rex Ryan,RB,14,0,0.0,0.12995896032831739,0.23561995238652528
Chuck Pagano,RB,14,0,0.0,0.12995896032831739,0.23561995238652528
Dick Jauron,RB,15,0,0.0,0.12995896032831739,0.23941395169119156
Marvin Lewis,RB,15,0,0.0,0.12995896032831739,0.23941395169119156
Ken Whisenhunt,RB,15,0,0.0,0.12995896032831739,0.23941395169119156
Lovie Smith,TE,17,0,0.0,0.11368015414258188,0.23997183043509834
Doug Marrone,TE,17,0,0.0,0.11368015414258188,0.23997183043509834
Tom Coughlin,TE,18,0,0.0,0.11368015414258188,0.24622848029000277
Mike Mularkey,WR,25,0,0.0,0.07049345417925479,0.2500295203469025
Doug Pederson,WR,25,0,0.0,0.07049345417925479,0.2500295203469025
John Fox,WR,35,4,0.11428571428571428,0.07049345417925479,0.3026272099913756
Jim Caldwell,WR,16,2,0.125,0.07049345417925479,0.3129354317674122
Zac Taylor,WR,16,2,0.125,0.07049345417925479,0.3129354317674122
Jim Caldwell,TE,10,2,0.2,0.11368015414258188,0.3172125324166353
Raheem Morris,TE,10,2,0.2,0.11368015414258188,0.3172125324166353
Eric Mangini,RB,9,2,0.2222222222222222,0.12995896032831739,0.3303967606829234
Zac Taylor,RB,9,2,0.2222222222222222,0.12995896032831739,0.3303967606829234
Jon Gruden,RB,22,1,0.045454545454545456,0.12995896032831739,0.3411647793639557
Mike McCarthy,RB,24,1,0.041666666666666664,0.12995896032831739,0.3483651667737934
Pat Shurmur,TE,11,2,0.18181818181818182,0.11368015414258188,0.36130831295994426
John Harbaugh,WR,45,1,0.022222222222222223,0.07049345417925479,0.3631065263269974
Lovie Smith,QB,14,0,0.0,0.10034602076124567,0.3746412566678083
Jim Harbaugh,RB,11,0,0.0,0.12995896032831739,0.37556606853350866
Gus Bradley,RB,10,0,0.0,0.12995896032831739,0.37559622695616335
Sean McDermott,TE,12,0,0.0,0.11368015414258188,0.37714141275115465
Zac Taylor,TE,12,0,0.0,0.11368015414258188,0.37714141275115465
Jack Del Rio,TE,13,0,0.0,0.11368015414258188,0.37929091972925666
Adam Gase,RB,12,0,0.0,0.12995896032831739,0.3819128673811397
Dick Jauron,TE,14,0,0.0,0.11368015414258188,0.3860058499187129
Hue Jackson,WR,20,0,0.0,0.07049345417925479,0.3901334834737808
Dick Jauron,WR,21,0,0.0,0.07049345417925479,0.3916067709722986
Doug Marrone,WR,21,0,0.0,0.07049345417925479,0.3916067709722986
Jay Gruden,RB,13,0,0.0,0.12995896032831739,0.3935529667427007
Rex Ryan,WR,22,0,0.0,0.07049345417925479,0.39476699417764083
Jim Harbaugh,WR,22,0,0.0,0.07049345417925479,0.39476699417764083
Dennis Allen,WR,22,0,0.0,0.07049345417925479,0.39476699417764083
Todd Bowles,TE,15,0,0.0,0.11368015414258188,0.39659462392011485
Jack Del Rio,WR,24,0,0.0,0.07049345417925479,0.40552298947054666
Norv Turner,RB,14,3,0.21428571428571427,0.12995896032831739,0.4095022661360405
Mike McCarthy,WR,27,3,0.1111111111111111,0.07049345417925479,0.43060735854049315
Joe Gibbs,WR,8,1,0.125,0.07049345417925479,0.4439856401133209
Kevin O'Connell,WR,8,1,0.125,0.07049345417925479,0.4439856401133209
Marvin Lewis,WR,31,3,0.0967741935483871,0.07049345417925479,0.47559162544237976
Dirk Koetter,WR,9,1,0.1111111111111111,0.07049345417925479,0.4834993509682117
Jim Haslett,WR,10,1,0.1,0.07049345417925479,0.5202422833180341
Mike Tice,WR,10,1,0.1,0.07049345417925479,0.5202422833180341
Brian Daboll,WR,11,1,0.09090909090909091,0.07049345417925479,0.5544061085141051
Mike McDaniel,WR,11,1,0.09090909090909091,0.07049345417925479,0.5544061085141051
Ron Rivera,QB,8,1,0.125,0.10034602076124567,0.5755531443669887
Todd Bowles,QB,8,1,0.125,0.10034602076124567,0.5755531443669887
Bill Cowher,WR,12,1,0.08333333333333333,0.07049345417925479,0.5861694205344841
Jim Schwartz,WR,12,1,0.08333333333333333,0.07049345417925479,0.5861694205344841
Leslie Frazier,WR,12,1,0.08333333333333333,0.07049345417925479,0.5861694205344841
Arthur Smith,RB,8,0,0.0,0.12995896032831739,0.6055630072030473
Jonathan Gannon,RB,8,0,0.0,0.12995896032831739,0.6055630072030473
Jon Gruden,QB,10,0,0.0,0.10034602076124567,0.6057628849814376
Dick Jauron,QB,10,0,0.0,0.10034602076124567,0.6057628849814376
Kevin Stefanski,QB,10,0,0.0,0.10034602076124567,0.6057628849814376
Hue Jackson,QB,9,0,0.0,0.10034602076124567,0.6057628849814378
Steve Spagnuolo,TE,8,0,0.0,0.11368015414258188,0.6059682208123619
Hue Jackson,TE,8,0,0.0,0.11368015414258188,0.6059682208123619
Bill O'Brien,TE,8,0,0.0,0.11368015414258188,0.6059682208123619
Brian Daboll,TE,8,0,0.0,0.11368015414258188,0.6059682208123619
Matt Nagy,TE,9,0,0.0,0.11368015414258188,0.6070284824491192
Ken Whisenhunt,QB,11,0,0.0,0.10034602076124567,0.6098606901196235
Eric Mangini,TE,10,0,0.0,0.11368015414258188,0.6130215121285444
Sean McVay,TE,10,0,0.0,0.11368015414258188,0.6130215121285444
Steve Mariucci,RB,9,0,0.0,0.12995896032831739,0.613950930805057
Dennis Green,RB,9,0,0.0,0.12995896032831739,0.613950930805057
Matt Patricia,RB,9,0,0.0,0.12995896032831739,0.613950930805057
Herman Edwards,WR,14,0,0.0,0.07049345417925479,0.6156986158072528
Brad Childress,WR,14,0,0.0,0.07049345417925479,0.6156986158072528
Brian Billick,WR,15,0,0.0,0.07049345417925479,0.6172687951093685
Mike Shanahan,WR,15,0,0.0,0.07049345417925479,0.6172687951093685
Anthony Lynn,WR,16,0,0.0,0.07049345417925479,0.6205560569918647
Ken Whisenhunt,TE,11,0,0.0,0.11368015414258188,0.6228290219390388
Rex Ryan,TE,11,0,0.0,0.11368015414258188,0.6228290219390388
Dennis Allen,TE,11,0,0.0,0.11368015414258188,0.6228290219390388
Adam Gase,TE,11,0,0.0,0.11368015414258188,0.6228290219390388
Mike Vrabel,TE,11,0,0.0,0.11368015414258188,0.6228290219390388
Norv Turner,WR,17,0,0.0,0.07049345417925479,0.6253136704021509
Jay Gruden,WR,17,0,0.0,0.07049345417925479,0.6253136704021509
Kevin Stefanski,WR,17,0,0.0,0.07049345417925479,0.6253136704021509
