coach_name,position,n_player_seasons,n_superstar_seasons,superstar_rate,league_base_rate,p_value
Kyle Shanahan,TE,20,8,0.4,0.07368918280585735,4.277563707830196e-05
Sean McDermott,QB,16,6,0.375,0.05466970387243736,0.00011240493899701555
Mike McCarthy,QB,30,6,0.2,0.05466970387243736,0.004511803151205136
Andy Reid,TE,63,11,0.1746031746031746,0.07368918280585735,0.005228260952742304
John Fox,WR,67,8,0.11940298507462686,0.0410126582278481,0.005579882997561008
Doug Pederson,TE,25,6,0.24,0.07368918280585735,0.00794343777446492
Marvin Lewis,WR,73,8,0.1095890410958904,0.0410126582278481,0.009343037406071869
Jim Schwartz,WR,25,4,0.16,0.0410126582278481,0.01758092885970233
Zac Taylor,WR,38,5,0.13157894736842105,0.0410126582278481,0.018305731807261943
Andy Reid,QB,40,6,0.15,0.05466970387243736,0.018868664658749548
Norv Turner,TE,22,5,0.22727272727272727,0.07368918280585735,0.019218895963545625
Anthony Lynn,RB,18,5,0.2777777777777778,0.09202226345083488,0.019973331219162335
Sean Payton,RB,62,11,0.1774193548387097,0.09202226345083488,0.025873071171144926
Marvin Lewis,RB,43,0,0.0,0.09202226345083488,0.02936010048960592
Mike Tice,WR,18,3,0.16666666666666666,0.0410126582278481,0.03512375227295615
Kevin O'Connell,WR,18,3,0.16666666666666666,0.0410126582278481,0.03512375227295615
Bill Belichick,TE,60,9,0.15,0.07368918280585735,0.03836560642270754
Dan Quinn,WR,47,5,0.10638297872340426,0.0410126582278481,0.04173005657427548
Mike McDaniel,RB,15,4,0.26666666666666666,0.09202226345083488,0.04238570110116581
Bill O'Brien,WR,34,4,0.11764705882352941,0.0410126582278481,0.048553709344884975
Gary Kubiak,WR,49,5,0.10204081632653061,0.0410126582278481,0.04862478324942566
Bill Belichick,QB,38,5,0.13157894736842105,0.05466970387243736,0.051979800266875105
Tony Dungy,WR,21,3,0.14285714285714285,0.0410126582278481,0.05237077177147867
Mike McCarthy,WR,83,7,0.08433734939759036,0.0410126582278481,0.08212379168197124
Mike McCarthy,RB,49,1,0.02040816326530612,0.09202226345083488,0.0828959358370508
John Harbaugh,QB,31,4,0.12903225806451613,0.05466970387243736,0.08448752603992489
Tom Coughlin,WR,58,5,0.08620689655172414,0.0410126582278481,0.08749273343392797
Andy Reid,RB,89,13,0.14606741573033707,0.09202226345083488,0.08989000763104386
Todd Bowles,RB,28,0,0.0,0.09202226345083488,0.1042476259368981
Mike Tomlin,WR,93,7,0.07526881720430108,0.0410126582278481,0.10484580028555014
Sean Payton,QB,22,3,0.13636363636363635,0.05466970387243736,0.11453566085471423
Ron Rivera,WR,69,0,0.0,0.0410126582278481,0.11619296047384417
Jason Garrett,RB,34,6,0.17647058823529413,0.09202226345083488,0.12287665649617724
Dave McGinnis,WR,15,2,0.13333333333333333,0.0410126582278481,0.12387100086564544
Sean McVay,WR,47,4,0.0851063829787234,0.0410126582278481,0.12493274971757605
Mike Smith,WR,31,3,0.0967741935483871,0.0410126582278481,0.13212336915662004
Jason Garrett,TE,27,4,0.14814814814814814,0.07368918280585735,0.13259580819799605
Zac Taylor,RB,22,4,0.18181818181818182,0.09202226345083488,0.13756966315001853
Dirk Koetter,WR,16,2,0.125,0.0410126582278481,0.1379115365995014
Dan Campbell,WR,32,3,0.09375,0.0410126582278481,0.14164498233742726
Brian Billick,TE,18,3,0.16666666666666666,0.07368918280585735,0.141971909102523
Pat Shurmur,RB,15,3,0.2,0.09202226345083488,0.1536972231649032
Mike Vrabel,RB,23,4,0.17391304347826086,0.09202226345083488,0.15520658487380856
Ron Rivera,TE,29,4,0.13793103448275862,0.07368918280585735,0.160579026345352
Mike Zimmer,WR,34,3,0.08823529411764706,0.0410126582278481,0.16134102598944142
Dick Jauron,RB,25,0,0.0,0.09202226345083488,0.16165797140142318
Tom Coughlin,TE,30,0,0.0,0.07368918280585735,0.1637245369342897
Lovie Smith,TE,31,0,0.0,0.07368918280585735,0.16437952223813707
Jon Gruden,RB,41,1,0.024390243902439025,0.09202226345083488,0.17358752543153724
Jim Schwartz,RB,16,3,0.1875,0.09202226345083488,0.17703622054365184
Jim Caldwell,TE,20,3,0.15,0.07368918280585735,0.17861211453397388
Bruce Arians,QB,16,2,0.125,0.05466970387243736,0.21644990549421822
Mike McDaniel,WR,22,2,0.09090909090909091,0.0410126582278481,0.2273894855821949
Gus Bradley,WR,23,2,0.08695652173913043,0.0410126582278481,0.24278483275529772
Jim Harbaugh,RB,21,0,0.0,0.09202226345083488,0.2514642019871275
Chuck Pagano,RB,21,0,0.0,0.09202226345083488,0.2514642019871275
Doug Marrone,TE,24,0,0.0,0.07368918280585735,0.2525951322484412
Sean McVay,TE,24,0,0.0,0.07368918280585735,0.2525951322484412
Sean McDermott,TE,26,0,0.0,0.07368918280585735,0.2544344802155808
Jay Gruden,RB,22,0,0.0,0.09202226345083488,0.25610844366516006
