coach_name,position,n_distinct_candidates,n_ever_broke_out,breakout_player_rate,league_base_rate,p_value
Kevin Gilbride,WR,8,4,0.5,0.18262411347517732,0.04054022906827523
Dowell Loggains,WR,17,0,0.0,0.18262411347517732,0.05263690100941677
Brian Daboll,WR,16,0,0.0,0.18262411347517732,0.05296425486081653
Greg Olson,RB,12,0,0.0,0.22538860103626943,0.07611891080031144
Josh McDaniels,TE,8,0,0.0,0.2682926829268293,0.11178365593051293
Norv Turner,QB,9,0,0.0,0.23030303030303031,0.11964936415338784
Brian Schottenheimer,RB,10,0,0.0,0.22538860103626943,0.12542723211711793
Mike Shula,WR,13,0,0.0,0.18262411347517732,0.13986615031834815
Gary Kubiak,RB,8,0,0.0,0.22538860103626943,0.2072921329592869
Bruce Arians,RB,8,0,0.0,0.22538860103626943,0.2072921329592869
Dowell Loggains,RB,8,0,0.0,0.22538860103626943,0.2072921329592869
Rick Dennison,RB,8,0,0.0,0.22538860103626943,0.2072921329592869
Nathaniel Hackett,RB,8,0,0.0,0.22538860103626943,0.2072921329592869
Greg Roman,RB,9,0,0.0,0.22538860103626943,0.2180104895842354
Tim Kelly,WR,10,0,0.0,0.18262411347517732,0.22117420706214075
Todd Monken,WR,10,0,0.0,0.18262411347517732,0.22117420706214075
Mike LaFleur,WR,10,0,0.0,0.18262411347517732,0.22117420706214075
Brad Childress,WR,11,0,0.0,0.18262411347517732,0.22919196494051694
Greg Knapp,WR,11,0,0.0,0.18262411347517732,0.22919196494051694
Joe Brady,WR,11,0,0.0,0.18262411347517732,0.22919196494051694
Scott Linehan,RB,18,6,0.3333333333333333,0.22538860103626943,0.25650339493794677
Josh McDaniels,WR,24,2,0.08333333333333333,0.18262411347517732,0.2818480576047222
Marty Mornhinweg,RB,12,1,0.08333333333333333,0.22538860103626943,0.3128247408650004
Scott Linehan,WR,16,1,0.0625,0.18262411347517732,0.32715648760811034
Marty Mornhinweg,WR,16,1,0.0625,0.18262411347517732,0.32715648760811034
Greg Olson,WR,29,3,0.10344827586206896,0.18262411347517732,0.32973443343480546
Gary Kubiak,WR,8,0,0.0,0.18262411347517732,0.36184628822759096
Jimmy Raye,WR,8,0,0.0,0.18262411347517732,0.36184628822759096
Hue Jackson,WR,8,0,0.0,0.18262411347517732,0.36184628822759096
Bill Musgrave,WR,9,0,0.0,0.18262411347517732,0.37631447641041166
Ken Whisenhunt,WR,9,0,0.0,0.18262411347517732,0.37631447641041166
Matt Cavanaugh,WR,9,0,0.0,0.18262411347517732,0.37631447641041166
Alex Van Pelt,WR,9,0,0.0,0.18262411347517732,0.37631447641041166
Dave Ragone,WR,9,0,0.0,0.18262411347517732,0.37631447641041166
Greg Roman,WR,21,2,0.09523809523809523,0.18262411347517732,0.3958602145645004
Mike Mularkey,WR,10,3,0.3,0.18262411347517732,0.4002453876818307
Bob Bratkowski,WR,11,3,0.2727272727272727,0.18262411347517732,0.430970276315682
Dowell Loggains,TE,9,1,0.1111111111111111,0.2682926829268293,0.4494602332652544
Joe Lombardi,WR,12,3,0.25,0.18262411347517732,0.4662446298281079
Rob Chudzinski,WR,13,1,0.07692307692307693,0.18262411347517732,0.4796978212628122
Pat Shurmur,WR,18,2,0.1111111111111111,0.18262411347517732,0.5496150848696626
Jim Bob Cooter,RB,9,1,0.1111111111111111,0.22538860103626943,0.6903922618622995
Darrell Bevell,RB,9,1,0.1111111111111111,0.22538860103626943,0.6903922618622995
Bill Lazor,WR,10,1,0.1,0.18262411347517732,0.698149816826711
Kyle Shanahan,WR,11,1,0.09090909090909091,0.18262411347517732,0.6983314354688127
Pete Carmichael,WR,11,1,0.09090909090909091,0.18262411347517732,0.6983314354688127
Matt Nagy,WR,12,1,0.08333333333333333,0.18262411347517732,0.7041138708829728
Nathaniel Hackett,WR,12,1,0.08333333333333333,0.18262411347517732,0.7041138708829728
Dan Henning,WR,12,2,0.16666666666666666,0.18262411347517732,1.0
Brad Childress,RB,9,2,0.2222222222222222,0.22538860103626943,1.0
Mike Martz,WR,8,1,0.125,0.18262411347517732,1.0
Norv Turner,WR,20,3,0.15,0.18262411347517732,1.0
Jim Bob Cooter,WR,9,1,0.1111111111111111,0.18262411347517732,1.0
Bruce Arians,WR,10,2,0.2,0.18262411347517732,1.0
Josh McDaniels,RB,18,4,0.2222222222222222,0.22538860103626943,1.0
Brian Schottenheimer,WR,13,2,0.15384615384615385,0.18262411347517732,1.0
Darrell Bevell,WR,23,4,0.17391304347826086,0.18262411347517732,1.0
Darrell Bevell,TE,9,2,0.2222222222222222,0.2682926829268293,1.0
Al Saunders,WR,8,1,0.125,0.18262411347517732,1.0
Kyle Shanahan,RB,9,2,0.2222222222222222,0.22538860103626943,1.0
John DeFilippo,WR,8,1,0.125,0.18262411347517732,1.0
Dirk Koetter,WR,9,1,0.1111111111111111,0.18262411347517732,1.0
Todd Haley,WR,11,2,0.18181818181818182,0.18262411347517732,1.0
Jay Gruden,WR,8,1,0.125,0.18262411347517732,1.0
Scott Turner,WR,10,2,0.2,0.18262411347517732,1.0
Arthur Smith,WR,9,1,0.1111111111111111,0.18262411347517732,1.0
