coach_name,n_candidates,n_breakouts,breakout_rate
Kellen Moore,19,5,0.2631578947368421
Kevin Gilbride,28,7,0.25
Ken Whisenhunt,25,5,0.2
Doug Marrone,10,2,0.2
Bill Lazor,21,4,0.19047619047619047
Jay Gruden,21,4,0.19047619047619047
Shane Steichen,16,3,0.1875
Mike Mularkey,27,5,0.18518518518518517
Mark Helfrich,11,2,0.18181818181818182
Arthur Smith,22,4,0.18181818181818182
Pep Hamilton,17,3,0.17647058823529413
Frank Smith,17,3,0.17647058823529413
Dirk Koetter,30,5,0.16666666666666666
Kyle Shanahan,32,5,0.15625
Luke Getsy,13,2,0.15384615384615385
Scott Linehan,54,8,0.14814814814814814
Mike McCoy,21,3,0.14285714285714285
"Pete Carmichael, Jr.",21,3,0.14285714285714285
Bob Bratkowski,36,5,0.1388888888888889
Mike Heimerdinger,29,4,0.13793103448275862
Matt Nagy,29,4,0.13793103448275862
Chan Gailey,22,3,0.13636363636363635
Don Breaux,15,2,0.13333333333333333
Clyde Christensen,15,2,0.13333333333333333
Randy Fichtner,15,2,0.13333333333333333
Brian Callahan,15,2,0.13333333333333333
Darrell Bevell,68,9,0.1323529411764706
Pat Shurmur,39,5,0.1282051282051282
Bruce Arians,33,4,0.12121212121212122
Paul Hackett,17,2,0.11764705882352941
Gil Haskell,17,2,0.11764705882352941
Jedd Fisch,17,2,0.11764705882352941
Cam Cameron,26,3,0.11538461538461539
Norv Turner,52,6,0.11538461538461539
Joe Lombardi,27,3,0.1111111111111111
Joe Philbin,19,2,0.10526315789473684
Dan Henning,39,4,0.10256410256410256
Adam Gase,10,1,0.1
Edgar Bennett,10,1,0.1
Klint Kubiak,10,1,0.1
Bobby Slowik,10,1,0.1
Josh McDaniels,83,8,0.0963855421686747
Clarence Shelmon,21,2,0.09523809523809523
Jim Bob Cooter,32,3,0.09375
Brad Childress,33,3,0.09090909090909091
Mike Martz,22,2,0.09090909090909091
Jimmy Raye,22,2,0.09090909090909091
Maurice Carthon,11,1,0.09090909090909091
Curtis Modkins,22,2,0.09090909090909091
Jim Caldwell,11,1,0.09090909090909091
Joe Brady,22,2,0.09090909090909091
Al Saunders,23,2,0.08695652173913043
Brad Idzik,12,1,0.08333333333333333
Todd Monken,37,3,0.08108108108108109
Alex Van Pelt,26,2,0.07692307692307693
John DeFilippo,13,1,0.07692307692307693
Greg Olson,66,5,0.07575757575757576
Scott Turner,27,2,0.07407407407407407
Jason Michael,14,1,0.07142857142857142
Greg Roman,56,4,0.07142857142857142
Mike Kafka,14,1,0.07142857142857142
Mike Sherman,15,1,0.06666666666666667
Todd Haley,30,2,0.06666666666666667
Frank Reich,15,1,0.06666666666666667
Pete Carmichael,30,2,0.06666666666666667
George Godsey,16,1,0.0625
Nick Sirianni,16,1,0.0625
Drew Petzing,16,1,0.0625
Bill Muir,33,2,0.06060606060606061
Rob Chudzinski,34,2,0.058823529411764705
Press Taylor,17,1,0.058823529411764705
Bill Musgrave,35,2,0.05714285714285714
Jeff Davidson,18,1,0.05555555555555555
Ben McAdoo,18,1,0.05555555555555555
Dave Ragone,18,1,0.05555555555555555
Mike McCarthy,19,1,0.05263157894736842
Ron Turner,19,1,0.05263157894736842
Tom Rossley,19,1,0.05263157894736842
Hue Jackson,19,1,0.05263157894736842
Brian Schottenheimer,58,3,0.05172413793103448
Marc Trestman,20,1,0.05
Matt Cavanaugh,20,1,0.05
Adam Stenavich,20,1,0.05
Brian Daboll,41,2,0.04878048780487805
Harold Goodwin,21,1,0.047619047619047616
Charlie Weis,23,1,0.043478260869565216
Marty Mornhinweg,51,2,0.0392156862745098
Mike LaFleur,26,1,0.038461538461538464
Rick Dennison,27,1,0.037037037037037035
Gary Kubiak,28,1,0.03571428571428571
Greg Knapp,33,1,0.030303030303030304
Nathaniel Hackett,36,1,0.027777777777777776
Dowell Loggains,48,1,0.020833333333333332
Chris Palmer,23,0,0.0
Sherman Lewis,12,0,0.0
Jeremy Bates,11,0,0.0
Terry Robiskie,16,0,0.0
Mike Shula,34,0,0.0
Doug Pederson,12,0,0.0
Mike Sullivan,18,0,0.0
Mike Miller,13,0,0.0
Tim Kelly,21,0,0.0
Rob Boras,10,0,0.0
Todd Downing,13,0,0.0
Sean McVay,10,0,0.0
Shane Waldron,11,0,0.0
Eric Bieniemy,21,0,0.0
Ken Dorsey,12,0,0.0
Wes Phillips,15,0,0.0
