coach_name,n_candidates,n_breakouts,breakout_rate,expected_rate_weighted,p_value
Kevin Gilbride,28,7,0.25,0.08832237031236559,0.009420443471152133
Kellen Moore,19,5,0.2631578947368421,0.09071293868024638,0.024227389211408233
Ken Whisenhunt,25,5,0.2,0.08346095526797008,0.05263996882871483
Mike Mularkey,27,5,0.18518518518518517,0.08349265718148942,0.06985144412165795
Jay Gruden,21,4,0.19047619047619047,0.0852979158485604,0.09850661951228513
Bill Lazor,21,4,0.19047619047619047,0.08648905931094697,0.10242915216300516
Arthur Smith,22,4,0.18181818181818182,0.08449805950247988,0.10975689536128182
Mike Shula,34,0,0.0,0.08571065784000738,0.11400852612686344
Dowell Loggains,48,1,0.020833333333333332,0.08805721987724642,0.12433609831472596
Scott Linehan,54,8,0.14814814814814814,0.0879343147450745,0.14170583474463988
Shane Steichen,16,3,0.1875,0.08495671402054092,0.14970810387503233
Darrell Bevell,68,9,0.1323529411764706,0.08470459468693463,0.18462726553821784
Dirk Koetter,30,5,0.16666666666666666,0.0898475632310479,0.18637747245273473
Frank Smith,17,3,0.17647058823529413,0.09072613652640822,0.19600849070027704
Kyle Shanahan,32,5,0.15625,0.09070514924280368,0.20759946529978784
Pep Hamilton,17,3,0.17647058823529413,0.09435108317865981,0.21224619125539318
Bob Bratkowski,36,5,0.1388888888888889,0.08485368486928963,0.22767193160182533
Tim Kelly,21,0,0.0,0.08946718971608966,0.25216904306038346
Eric Bieniemy,21,0,0.0,0.08419407194995669,0.25255174874861563
Chris Palmer,23,0,0.0,0.08886231318465147,0.25986678139179253
Matt Nagy,29,4,0.13793103448275862,0.08534011291425081,0.30706958303458853
Marty Mornhinweg,51,2,0.0392156862745098,0.08580278333195514,0.3194829361028842
Mike Heimerdinger,29,4,0.13793103448275862,0.08860067078742848,0.3206200674179301
Clyde Christensen,15,2,0.13333333333333333,0.08329899878213233,0.3590149500285364
Greg Knapp,33,1,0.030303030303030304,0.08792884076598771,0.3604877482937065
Nathaniel Hackett,36,1,0.027777777777777776,0.08550728426713697,0.3653899792174421
Don Breaux,15,2,0.13333333333333333,0.08645087139287075,0.37673582086747903
Pat Shurmur,39,5,0.1282051282051282,0.08514709980574406,0.37934153043743646
Mike Sullivan,18,0,0.0,0.08751555672835627,0.3972203199405132
"Pete Carmichael, Jr.",21,3,0.14285714285714285,0.08717220235509936,0.4225366618408026
Mike McCoy,21,3,0.14285714285714285,0.0923580205574495,0.43661080802835683
Chan Gailey,22,3,0.13636363636363635,0.08799317082829343,0.4367520918073371
Norv Turner,52,6,0.11538461538461539,0.08436887235784848,0.447354113381882
Brian Schottenheimer,58,3,0.05172413793103448,0.0895900503686147,0.48620723088576623
Cam Cameron,26,3,0.11538461538461539,0.08663304351540294,0.4890623526400787
Joe Lombardi,27,3,0.1111111111111111,0.08558382990579975,0.49972002685606665
Rick Dennison,27,1,0.037037037037037035,0.08815946566920846,0.5096462505760531
Gary Kubiak,28,1,0.03571428571428571,0.08893314341661777,0.5099826357728854
Bruce Arians,33,4,0.12121212121212122,0.08711511318167683,0.5282237322915372
Dan Henning,39,4,0.10256410256410256,0.08578863107350866,0.5740798578377657
Brian Daboll,41,2,0.04878048780487805,0.0848253911977893,0.5784504304525182
Wes Phillips,15,0,0.0,0.08348270831492306,0.6304240733771702
Terry Robiskie,16,0,0.0,0.08226683828419087,0.636810218639197
Randy Fichtner,15,2,0.13333333333333333,0.09241045464555447,0.6433236274575819
Brian Callahan,15,2,0.13333333333333333,0.09401694579824767,0.6460193683674288
Gil Haskell,17,2,0.11764705882352941,0.08456954212229781,0.6503165854980262
Paul Hackett,17,2,0.11764705882352941,0.08751270283717648,0.6563136068817746
Jedd Fisch,17,2,0.11764705882352941,0.09129974613600811,0.6645310541802942
Clarence Shelmon,21,2,0.09523809523809523,0.08278413607976047,0.6912433148869792
Joe Philbin,19,2,0.10526315789473684,0.0919812211692147,0.6922730631937772
Joe Brady,22,2,0.09090909090909091,0.08117012977413371,0.6981733730598446
Josh McDaniels,83,8,0.0963855421686747,0.08812716534749873,0.7000367395055374
Al Saunders,23,2,0.08695652173913043,0.07883335953081272,0.7022201903360835
Mike Martz,22,2,0.09090909090909091,0.08392955921361356,0.7070172309526979
Curtis Modkins,22,2,0.09090909090909091,0.08498322838955348,0.7104111137562558
Charlie Weis,23,1,0.043478260869565216,0.09103769284347484,0.7174610609359446
