coach_name,position,n_distinct_players,n_ever_superstar,superstar_player_rate,league_base_rate,p_value
Mike McCoy,WR,8,3,0.375,0.07049345417925479,0.01454290140288542
Greg Olson,RB,38,1,0.02631578947368421,0.12995896032831739,0.0481833077409702
Frank Reich,TE,8,3,0.375,0.11368015414258188,0.051611874559045125
Greg Knapp,RB,20,0,0.0,0.12995896032831739,0.09416279350340936
Dowell Loggains,RB,20,0,0.0,0.12995896032831739,0.09416279350340936
Al Saunders,RB,9,3,0.3333333333333333,0.12995896032831739,0.09962656987640742
Darrell Bevell,WR,38,0,0.0,0.07049345417925479,0.1038218088432221
Greg Roman,WR,39,0,0.0,0.07049345417925479,0.10479635496806222
Kevin Gilbride,WR,17,3,0.17647058823529413,0.07049345417925479,0.11195053872062621
Tom Moore,RB,10,3,0.3,0.12995896032831739,0.12935181606062623
Pat Shurmur,WR,32,0,0.0,0.07049345417925479,0.16091325146503557
Dowell Loggains,WR,32,0,0.0,0.07049345417925479,0.16091325146503557
Norv Turner,RB,21,5,0.23809523809523808,0.12995896032831739,0.17588411257807574
Adam Gase,WR,11,2,0.18181818181818182,0.07049345417925479,0.178604031357326
Randy Fichtner,WR,11,2,0.18181818181818182,0.07049345417925479,0.178604031357326
Todd Monken,QB,8,2,0.25,0.10034602076124567,0.18633705540707296
Byron Leftwich,WR,12,2,0.16666666666666666,0.07049345417925479,0.20500967628993058
Joe Philbin,WR,13,2,0.15384615384615385,0.07049345417925479,0.2318190772612601
Liam Coen,WR,13,2,0.15384615384615385,0.07049345417925479,0.2318190772612601
Mike Martz,RB,13,3,0.23076923076923078,0.12995896032831739,0.232485187558787
Greg Roman,RB,26,1,0.038461538461538464,0.12995896032831739,0.23456426853170964
Bill Musgrave,TE,16,0,0.0,0.11368015414258188,0.23718888949901087
Brian Daboll,TE,16,0,0.0,0.11368015414258188,0.23718888949901087
Kyle Shanahan,TE,15,3,0.2,0.11368015414258188,0.237241986719357
Brian Schottenheimer,RB,27,1,0.037037037037037035,0.12995896032831739,0.23795682875240945
Bruce Arians,RB,15,0,0.0,0.12995896032831739,0.23941395169119156
Bob Bratkowski,RB,16,0,0.0,0.12995896032831739,0.2476722416342414
Greg Olson,WR,51,1,0.0196078431372549,0.07049345417925479,0.25317166607178965
Tom Moore,WR,14,2,0.14285714285714285,0.07049345417925479,0.2588473304854166
Tom Clements,WR,14,2,0.14285714285714285,0.07049345417925479,0.2588473304854166
Scott Linehan,QB,10,2,0.2,0.10034602076124567,0.2645438647412338
Kyle Shanahan,QB,10,2,0.2,0.10034602076124567,0.2645438647412338
Klint Kubiak,WR,15,2,0.13333333333333333,0.07049345417925479,0.28593292344690757
Dan Henning,WR,16,2,0.125,0.07049345417925479,0.3129354317674122
Adam Gase,RB,9,2,0.2222222222222222,0.12995896032831739,0.3303967606829234
Mike Mularkey,WR,17,2,0.11764705882352941,0.07049345417925479,0.33973341750698377
Todd Haley,RB,22,1,0.045454545454545456,0.12995896032831739,0.3411647793639557
Josh McDaniels,QB,12,2,0.16666666666666666,0.10034602076124567,0.34340348661908615
Darrell Bevell,QB,12,2,0.16666666666666666,0.10034602076124567,0.34340348661908615
Clyde Christensen,TE,11,2,0.18181818181818182,0.11368015414258188,0.36130831295994426
Dan Henning,RB,11,0,0.0,0.12995896032831739,0.37556606853350866
Frank Reich,RB,11,0,0.0,0.12995896032831739,0.37556606853350866
