coach_name,position,n_player_seasons,n_superstar_seasons,superstar_rate,league_base_rate,p_value
Al Saunders,RB,17,8,0.47058823529411764,0.09202226345083488,5.365751091007742e-05
Cam Cameron,RB,24,9,0.375,0.09202226345083488,0.00015564568259228238
Todd Haley,WR,46,8,0.17391304347826086,0.0410126582278481,0.0004637662491045413
Pete Carmichael,RB,28,8,0.2857142857142857,0.09202226345083488,0.002793529694251436
Tom Moore,WR,25,5,0.2,0.0410126582278481,0.0029738544350912176
Mike Shula,TE,16,5,0.3125,0.07368918280585735,0.004571265593345681
Eric Bieniemy,TE,17,5,0.29411764705882354,0.07368918280585735,0.0060966777756118196
Josh McDaniels,QB,26,5,0.19230769230769232,0.05466970387243736,0.011345234467469958
Scott Linehan,WR,66,7,0.10606060606060606,0.0410126582278481,0.017438154839315375
Norv Turner,RB,31,7,0.22580645161290322,0.09202226345083488,0.01968267213978144
Josh McDaniels,TE,40,7,0.175,0.07368918280585735,0.02427441280979853
Mike McCoy,WR,17,3,0.17647058823529413,0.0410126582278481,0.030155599925231532
Wes Phillips,WR,18,3,0.16666666666666666,0.0410126582278481,0.03512375227295615
Frank Smith,RB,15,4,0.26666666666666666,0.09202226345083488,0.04238570110116581
Tom Clements,WR,21,3,0.14285714285714285,0.0410126582278481,0.05237077177147867
Mike Martz,RB,16,4,0.25,0.09202226345083488,0.05256156785699256
Greg Olson,TE,39,6,0.15384615384615385,0.07368918280585735,0.06242686426377913
Tom Moore,RB,17,4,0.23529411764705882,0.09202226345083488,0.06394502806909845
Greg Knapp,RB,34,0,0.0,0.09202226345083488,0.06853523942259819
Bob Bratkowski,RB,34,0,0.0,0.09202226345083488,0.06853523942259819
Darrell Bevell,WR,77,0,0.0,0.0410126582278481,0.07560850983024026
Bob Bratkowski,WR,57,5,0.08771929824561403,0.0410126582278481,0.0825481509862943
Greg Roman,RB,49,1,0.02040816326530612,0.09202226345083488,0.0828959358370508
Tom Moore,TE,15,3,0.2,0.07368918280585735,0.09280361249354664
