coach_name,position,n_distinct_candidates,n_ever_broke_out,breakout_player_rate,league_base_rate,p_value
Adam Henry,WR,17,0,0.0,0.18262411347517732,0.05263690100941677
Zach Azzanni,WR,17,0,0.0,0.18262411347517732,0.05263690100941677
Darryl Drake,WR,16,0,0.0,0.18262411347517732,0.05296425486081653
Pat McPherson,TE,10,0,0.0,0.2682926829268293,0.06516246494995662
Anthony Lynn,RB,11,0,0.0,0.22538860103626943,0.13381262501021532
Rob Moore,WR,20,1,0.05,0.18262411347517732,0.14695353848770906
Shawn Jefferson,WR,26,2,0.07692307692307693,0.18262411347517732,0.19769328866223057
Mike McCoy,QB,8,0,0.0,0.23030303030303031,0.20004828372200978
Chick Harris,RB,8,0,0.0,0.22538860103626943,0.2072921329592869
Kennedy Polamalu,RB,8,0,0.0,0.22538860103626943,0.2072921329592869
Sylvester Croom,RB,8,0,0.0,0.22538860103626943,0.2072921329592869
Gary Brown,RB,8,0,0.0,0.22538860103626943,0.2072921329592869
Larry Kirksey,WR,10,0,0.0,0.18262411347517732,0.22117420706214075
Bobby Engram,WR,11,0,0.0,0.18262411347517732,0.22919196494051694
Sanjay Lal,WR,31,3,0.0967741935483871,0.18262411347517732,0.24100953668877684
Eric Studesville,RB,19,2,0.10526315789473684,0.22538860103626943,0.2663689116056989
Randy Jordan,RB,12,1,0.08333333333333333,0.22538860103626943,0.3128247408650004
Mike Groh,WR,16,1,0.0625,0.18262411347517732,0.32715648760811034
Chad O'Shea,WR,17,1,0.058823529411764705,0.18262411347517732,0.334047647159541
Brian Daboll,WR,8,0,0.0,0.18262411347517732,0.36184628822759096
Andrew Hayes-Stoker,WR,8,0,0.0,0.18262411347517732,0.36184628822759096
Ted Gilmore,WR,8,0,0.0,0.18262411347517732,0.36184628822759096
Mike Furrey,WR,8,0,0.0,0.18262411347517732,0.36184628822759096
Drew Terrell,WR,8,0,0.0,0.18262411347517732,0.36184628822759096
Connor Embree,WR,8,0,0.0,0.18262411347517732,0.36184628822759096
Henry Ellard,WR,9,0,0.0,0.18262411347517732,0.37631447641041166
Chad Hall,WR,9,0,0.0,0.18262411347517732,0.37631447641041166
Kirby Wilson,RB,17,2,0.11764705882352941,0.22538860103626943,0.38100001719814647
Bobby Turner,RB,17,2,0.11764705882352941,0.22538860103626943,0.38100001719814647
Richard Mann,WR,12,3,0.25,0.18262411347517732,0.4662446298281079
David Walker,RB,10,1,0.1,0.22538860103626943,0.4675622894095246
Stan Hixon,WR,13,1,0.07692307692307693,0.18262411347517732,0.4796978212628122
Keenan McCardell,WR,13,1,0.07692307692307693,0.18262411347517732,0.4796978212628122
Ray Sherman,WR,14,1,0.07142857142857142,0.18262411347517732,0.483386442652453
Karl Dorrell,WR,14,1,0.07142857142857142,0.18262411347517732,0.483386442652453
Robert Prince,WR,15,4,0.26666666666666666,0.18262411347517732,0.4936322463233377
Tom Rathman,RB,16,2,0.125,0.22538860103626943,0.5405791425152074
Curtis Modkins,RB,16,2,0.125,0.22538860103626943,0.5405791425152074
George Stewart,WR,18,2,0.1111111111111111,0.18262411347517732,0.5496150848696626
Richard Williamson,WR,8,2,0.25,0.18262411347517732,0.6424138684033915
John Morton,WR,9,2,0.2222222222222222,0.18262411347517732,0.6715159771349499
Clancy Barone,TE,8,1,0.125,0.2682926829268293,0.6848508350654985
Ken Zampese,QB,9,1,0.1111111111111111,0.23030303030303031,0.6860113391696456
Tim Spencer,RB,9,1,0.1111111111111111,0.22538860103626943,0.6903922618622995
Ben Sirmans,RB,9,1,0.1111111111111111,0.22538860103626943,0.6903922618622995
Danny Barrett,RB,9,1,0.1111111111111111,0.22538860103626943,0.6903922618622995
David Culley,WR,11,1,0.09090909090909091,0.18262411347517732,0.6983314354688127
Greg Lewis,WR,11,1,0.09090909090909091,0.18262411347517732,0.6983314354688127
Kippy Brown,WR,12,1,0.08333333333333333,0.18262411347517732,0.7041138708829728
Terry Robiskie,WR,12,1,0.08333333333333333,0.18262411347517732,0.7041138708829728
Bob Bicknell,WR,12,1,0.08333333333333333,0.18262411347517732,0.7041138708829728
Jim Hostler,WR,13,3,0.23076923076923078,0.18262411347517732,0.7142983572112762
Bernie Parmalee,RB,11,3,0.2727272727272727,0.22538860103626943,0.7164571889487317
Fred Graves,WR,14,3,0.21428571428571427,0.18262411347517732,0.7277797414445011
Jerry Sullivan,WR,14,3,0.21428571428571427,0.18262411347517732,0.7277797414445011
Ike Hilliard,WR,17,2,0.11764705882352941,0.18262411347517732,0.7502427528626374
Jim Skipper,RB,8,2,0.25,0.22538860103626943,1.0
Ivan Fears,RB,21,4,0.19047619047619047,0.22538860103626943,1.0
Sherman Smith,RB,9,2,0.2222222222222222,0.22538860103626943,1.0
Skip Peete,RB,17,4,0.23529411764705882,0.22538860103626943,1.0
Nolan Cromwell,WR,10,2,0.2,0.18262411347517732,1.0
Charlie Joiner,WR,13,2,0.15384615384615385,0.18262411347517732,1.0
Ollie Wilson,RB,15,3,0.2,0.22538860103626943,1.0
Eric Yarber,WR,14,2,0.14285714285714285,0.18262411347517732,1.0
James Saxon,RB,12,2,0.16666666666666666,0.22538860103626943,1.0
Edgar Bennett,WR,21,4,0.19047619047619047,0.18262411347517732,1.0
Tyke Tolbert,WR,26,4,0.15384615384615385,0.18262411347517732,1.0
Stump Mitchell,RB,9,2,0.2222222222222222,0.22538860103626943,1.0
Eric Bieniemy,RB,8,2,0.25,0.22538860103626943,1.0
Kelly Skipper,RB,16,3,0.1875,0.22538860103626943,1.0
Charles London,RB,8,2,0.25,0.22538860103626943,1.0
James Urban,WR,9,1,0.1111111111111111,0.18262411347517732,1.0
Frisman Jackson,WR,8,1,0.125,0.18262411347517732,1.0
