coach_name,n_candidates,n_breakouts,breakout_rate
Rob Boras,16,4,0.25
Bernie Parmalee,17,4,0.23529411764705882
Robert Prince,21,4,0.19047619047619047
Jerry Sullivan,16,3,0.1875
Richard Williamson,11,2,0.18181818181818182
Ted Williams,11,2,0.18181818181818182
Sam Gash,11,2,0.18181818181818182
Jim Hostler,24,4,0.16666666666666666
Fred Graves,18,3,0.16666666666666666
Eric Bieniemy,12,2,0.16666666666666666
Richard Mann,19,3,0.15789473684210525
Jim Anderson,13,2,0.15384615384615385
Sherman Smith,13,2,0.15384615384615385
John Morton,13,2,0.15384615384615385
Stump Mitchell,14,2,0.14285714285714285
James Urban,14,2,0.14285714285714285
Alfredo Roberts,15,2,0.13333333333333333
Skip Peete,30,4,0.13333333333333333
Nolan Cromwell,15,2,0.13333333333333333
Charles London,15,2,0.13333333333333333
Ollie Wilson,23,3,0.13043478260869565
Edgar Bennett,31,4,0.12903225806451613
James Saxon,16,2,0.125
Kelly Skipper,25,3,0.12
Jim Skipper,17,2,0.11764705882352941
Tyke Tolbert,37,4,0.10810810810810811
Scottie Montgomery,10,1,0.1
Jeff Nixon,10,1,0.1
Eric Yarber,21,2,0.09523809523809523
Ike Hilliard,21,2,0.09523809523809523
Mike Wilson,11,1,0.09090909090909091
John McNulty,11,1,0.09090909090909091
Clancy Barone,11,1,0.09090909090909091
Curtis Modkins,22,2,0.09090909090909091
Eddie Faulkner,11,1,0.09090909090909091
Bobby Turner,23,2,0.08695652173913043
Eric Studesville,23,2,0.08695652173913043
Ivan Fears,48,4,0.08333333333333333
Charlie Joiner,24,2,0.08333333333333333
Danny Barrett,12,1,0.08333333333333333
Tom Rathman,25,2,0.08
Kirby Wilson,26,2,0.07692307692307693
David Walker,13,1,0.07692307692307693
Sanjay Lal,39,3,0.07692307692307693
George Stewart,28,2,0.07142857142857142
James Daniel,14,1,0.07142857142857142
Ben Sirmans,14,1,0.07142857142857142
Ken Zampese,15,1,0.06666666666666667
Tim Spencer,15,1,0.06666666666666667
Sean Ryan,15,1,0.06666666666666667
Stan Hixon,16,1,0.0625
Randy Jordan,16,1,0.0625
Bob Bicknell,17,1,0.058823529411764705
Bobby Engram,17,1,0.058823529411764705
Shawn Jefferson,35,2,0.05714285714285714
Greg Lewis,19,1,0.05263157894736842
David Culley,20,1,0.05
Terry Robiskie,20,1,0.05
Keenan McCardell,20,1,0.05
Ray Sherman,21,1,0.047619047619047616
Karl Dorrell,22,1,0.045454545454545456
Mike Groh,22,1,0.045454545454545456
Kippy Brown,23,1,0.043478260869565216
Adam Henry,23,1,0.043478260869565216
Rob Moore,27,1,0.037037037037037035
Chad O'Shea,30,1,0.03333333333333333
Chick Harris,11,0,0.0
Craig Johnson,18,0,0.0
Mike McCoy,13,0,0.0
Brian Daboll,17,0,0.0
Anthony Lynn,14,0,0.0
Larry Kirksey,15,0,0.0
Tom Melvin,12,0,0.0
Curtis Johnson,12,0,0.0
Pat McPherson,15,0,0.0
Henry Ellard,12,0,0.0
Kennedy Polamalu,12,0,0.0
Darryl Drake,27,0,0.0
Sylvester Croom,10,0,0.0
Ron Middleton,10,0,0.0
Nick Sirianni,10,0,0.0
Ted Gilmore,11,0,0.0
Mike Furrey,10,0,0.0
Derek Dooley,11,0,0.0
Zach Azzanni,23,0,0.0
Chad Hall,17,0,0.0
Thomas Hammock,10,0,0.0
Troy Brown,11,0,0.0
Chad Morton,12,0,0.0
Drew Terrell,11,0,0.0
Connor Embree,10,0,0.0
