coach_name,position,n_candidates,n_breakouts,breakout_rate,league_base_rate,p_value
Robert Prince,WR,21,4,0.19047619047619047,0.07137907137907137,0.05709961763799079
Jim Hostler,WR,16,3,0.1875,0.07137907137907137,0.1002825168707699
Jerry Sullivan,WR,16,3,0.1875,0.07137907137907137,0.1002825168707699
Edgar Bennett,WR,26,4,0.15384615384615385,0.07137907137907137,0.10878465643283224
Rob Boras,TE,16,4,0.25,0.12141280353200883,0.11639592036495353
Fred Graves,WR,18,3,0.16666666666666666,0.07137907137907137,0.13197420780524094
Bernie Parmalee,RB,14,3,0.21428571428571427,0.09731543624161074,0.14785980493208206
Richard Mann,WR,19,3,0.15789473684210525,0.07137907137907137,0.14898444692930152
Richard Williamson,WR,11,2,0.18181818181818182,0.07137907137907137,0.18236947684036725
John Morton,WR,12,2,0.16666666666666666,0.07137907137907137,0.20915991074808588
Darryl Drake,WR,27,0,0.0,0.07137907137907137,0.25389070453171503
Nolan Cromwell,WR,15,2,0.13333333333333333,0.07137907137907137,0.2910418844341924
Sam Gash,RB,11,2,0.18181818181818182,0.09731543624161074,0.2911358139286297
Eric Bieniemy,RB,12,2,0.16666666666666666,0.09731543624161074,0.32880473069163824
Charles London,RB,12,2,0.16666666666666666,0.09731543624161074,0.32880473069163824
Tyke Tolbert,WR,37,4,0.10810810810810811,0.07137907137907137,0.3308726125924917
Jim Anderson,RB,13,2,0.15384615384615385,0.09731543624161074,0.36593784962808584
Sherman Smith,RB,13,2,0.15384615384615385,0.09731543624161074,0.36593784962808584
Pat McPherson,TE,11,0,0.0,0.12141280353200883,0.37470678439353566
Tom Melvin,TE,12,0,0.0,0.12141280353200883,0.3759710091518574
Anthony Lynn,RB,14,0,0.0,0.09731543624161074,0.38373771388529365
Adam Henry,WR,21,0,0.0,0.07137907137907137,0.39370701136951214
Zach Azzanni,WR,23,0,0.0,0.07137907137907137,0.40249639840042684
Ollie Wilson,RB,23,3,0.13043478260869565,0.09731543624161074,0.48317660424880693
Kelly Skipper,RB,24,3,0.125,0.09731543624161074,0.5015338289559753
Skip Peete,RB,30,4,0.13333333333333333,0.09731543624161074,0.5241471202517707
Mike Wilson,WR,10,1,0.1,0.07137907137907137,0.5242937313488616
James Urban,WR,12,1,0.08333333333333333,0.07137907137907137,0.5902430882589496
Craig Johnson,RB,10,0,0.0,0.09731543624161074,0.6105048337607348
Sylvester Croom,RB,10,0,0.0,0.09731543624161074,0.6105048337607348
Thomas Hammock,RB,10,0,0.0,0.09731543624161074,0.6105048337607348
Chick Harris,RB,11,0,0.0,0.09731543624161074,0.6132365871891099
Mike McCoy,QB,13,0,0.0,0.08296943231441048,0.6134244146056924
Bobby Engram,WR,14,0,0.0,0.07137907137907137,0.6165453999021517
Ron Middleton,TE,10,0,0.0,0.12141280353200883,0.6178715760606102
Larry Kirksey,WR,15,0,0.0,0.07137907137907137,0.6184812648731545
Kennedy Polamalu,RB,12,0,0.0,0.09731543624161074,0.6191696406750382
Chad Morton,RB,12,0,0.0,0.09731543624161074,0.6191696406750382
Chad Hall,WR,17,0,0.0,0.07137907137907137,0.6271958367086512
Stump Mitchell,RB,14,2,0.14285714285714285,0.09731543624161074,0.6381620993639648
Eric Yarber,WR,21,2,0.09523809523809523,0.07137907137907137,0.6578756779235903
Ike Hilliard,WR,21,2,0.09523809523809523,0.07137907137907137,0.6578756779235903
James Saxon,RB,16,2,0.125,0.09731543624161074,0.6633891236613707
Jim Skipper,RB,17,2,0.11764705882352941,0.09731543624161074,0.677382628201644
Charlie Joiner,WR,24,2,0.08333333333333333,0.07137907137907137,0.6872999035896619
Rob Moore,WR,27,1,0.037037037037037035,0.07137907137907137,0.7164450394173876
Chad O'Shea,WR,30,1,0.03333333333333333,0.07137907137907137,0.7185921997704506
Sanjay Lal,WR,39,3,0.07692307692307693,0.07137907137907137,0.7545659648675737
Kirby Wilson,RB,26,2,0.07692307692307693,0.09731543624161074,1.0
Kippy Brown,WR,23,1,0.043478260869565216,0.07137907137907137,1.0
Alfredo Roberts,TE,12,1,0.08333333333333333,0.12141280353200883,1.0
Tom Rathman,RB,25,2,0.08,0.09731543624161074,1.0
Ivan Fears,RB,48,4,0.08333333333333333,0.09731543624161074,1.0
Brian Daboll,WR,12,0,0.0,0.07137907137907137,1.0
George Stewart,WR,28,2,0.07142857142857142,0.07137907137907137,1.0
David Culley,WR,20,1,0.05,0.07137907137907137,1.0
Ray Sherman,WR,21,1,0.047619047619047616,0.07137907137907137,1.0
Bobby Turner,RB,23,2,0.08695652173913043,0.09731543624161074,1.0
Terry Robiskie,WR,19,1,0.05263157894736842,0.07137907137907137,1.0
Ken Zampese,QB,15,1,0.06666666666666667,0.08296943231441048,1.0
Stan Hixon,WR,16,1,0.0625,0.07137907137907137,1.0
Curtis Johnson,WR,12,0,0.0,0.07137907137907137,1.0
Tim Spencer,RB,15,1,0.06666666666666667,0.09731543624161074,1.0
Eric Studesville,RB,23,2,0.08695652173913043,0.09731543624161074,1.0
Shawn Jefferson,WR,35,2,0.05714285714285714,0.07137907137907137,1.0
Henry Ellard,WR,12,0,0.0,0.07137907137907137,1.0
James Daniel,TE,14,1,0.07142857142857142,0.12141280353200883,1.0
Clancy Barone,TE,11,1,0.09090909090909091,0.12141280353200883,1.0
Keenan McCardell,WR,20,1,0.05,0.07137907137907137,1.0
David Walker,RB,13,1,0.07692307692307693,0.09731543624161074,1.0
Curtis Modkins,RB,22,2,0.09090909090909091,0.09731543624161074,1.0
Karl Dorrell,WR,19,1,0.05263157894736842,0.07137907137907137,1.0
Ted Gilmore,WR,11,0,0.0,0.07137907137907137,1.0
Bob Bicknell,WR,17,1,0.058823529411764705,0.07137907137907137,1.0
Mike Furrey,WR,10,0,0.0,0.07137907137907137,1.0
Mike Groh,WR,22,1,0.045454545454545456,0.07137907137907137,1.0
Ben Sirmans,RB,14,1,0.07142857142857142,0.09731543624161074,1.0
Randy Jordan,RB,16,1,0.0625,0.09731543624161074,1.0
Derek Dooley,WR,11,0,0.0,0.07137907137907137,1.0
Danny Barrett,RB,12,1,0.08333333333333333,0.09731543624161074,1.0
Greg Lewis,WR,17,1,0.058823529411764705,0.07137907137907137,1.0
Drew Terrell,WR,11,0,0.0,0.07137907137907137,1.0
Connor Embree,WR,10,0,0.0,0.07137907137907137,1.0
Eddie Faulkner,RB,11,1,0.09090909090909091,0.09731543624161074,1.0
