coach_name,position,n_distinct_players,n_ever_superstar,superstar_player_rate,league_base_rate,p_value
Sanjay Lal,WR,60,0,0.0,0.07049345417925479,0.017658136772753907
Kirby Wilson,RB,42,1,0.023809523809523808,0.12995896032831739,0.03190482471472914
Ron Middleton,TE,26,0,0.0,0.11368015414258188,0.05975458684579096
Rob Boras,TE,25,0,0.0,0.11368015414258188,0.09787876303708046
Randy Jordan,RB,22,0,0.0,0.12995896032831739,0.09849625772075099
Clyde Christensen,WR,8,2,0.25,0.07049345417925479,0.10406419738784023
Sean Ryan,WR,17,3,0.17647058823529413,0.07049345417925479,0.11195053872062621
George Godsey,TE,12,3,0.25,0.11368015414258188,0.14599417194089195
Frank Smith,TE,12,3,0.25,0.11368015414258188,0.14599417194089195
Danny Barrett,RB,17,0,0.0,0.12995896032831739,0.14871636918404804
Steve Hagen,TE,19,0,0.0,0.11368015414258188,0.14978378736200182
Chad Morton,RB,18,0,0.0,0.12995896032831739,0.15074842934460989
Zach Azzanni,WR,32,0,0.0,0.07049345417925479,0.16091325146503557
Gene Huey,RB,11,3,0.2727272727272727,0.12995896032831739,0.1617671764106152
Jim Hostler,WR,34,0,0.0,0.07049345417925479,0.16418546165670933
Shawn Jefferson,WR,53,1,0.018867924528301886,0.07049345417925479,0.16992477368403397
Ike Hilliard,WR,36,0,0.0,0.07049345417925479,0.17115885558992217
Mike Sheppard,WR,11,2,0.18181818181818182,0.07049345417925479,0.178604031357326
Dave Brock,WR,11,2,0.18181818181818182,0.07049345417925479,0.178604031357326
Troy Walters,WR,11,2,0.18181818181818182,0.07049345417925479,0.178604031357326
Tom Clements,QB,8,2,0.25,0.10034602076124567,0.18633705540707296
Pat O'Hara,QB,8,2,0.25,0.10034602076124567,0.18633705540707296
Sam Gash,RB,12,3,0.25,0.12995896032831739,0.19632355130223922
Richard Williamson,WR,12,2,0.16666666666666666,0.07049345417925479,0.20500967628993058
Doug Nussmeier,QB,9,2,0.2222222222222222,0.10034602076124567,0.22512015323937778
Ricky Thomas,TE,8,2,0.25,0.11368015414258188,0.22779789036320933
Eric Bieniemy,RB,13,3,0.23076923076923078,0.12995896032831739,0.232485187558787
Bernie Parmalee,RB,26,1,0.038461538461538464,0.12995896032831739,0.23456426853170964
Johnny Roland,RB,14,0,0.0,0.12995896032831739,0.23561995238652528
Mike Pope,TE,17,0,0.0,0.11368015414258188,0.23997183043509834
Jimmie Johnson,TE,17,0,0.0,0.11368015414258188,0.23997183043509834
Kippy Brown,WR,26,0,0.0,0.07049345417925479,0.24993660920400276
Bob Bicknell,WR,29,0,0.0,0.07049345417925479,0.25778099919619546
Mike Wilson,WR,14,2,0.14285714285714285,0.07049345417925479,0.2588473304854166
Mike Mularkey,TE,9,2,0.2222222222222222,0.11368015414258188,0.2725216539500645
Bobby Jackson,RB,8,2,0.25,0.12995896032831739,0.27911449605925326
Justin Hill,RB,8,2,0.25,0.12995896032831739,0.27911449605925326
David Raih,WR,15,2,0.13333333333333333,0.07049345417925479,0.28593292344690757
Curtis Modkins,RB,33,2,0.06060606060606061,0.12995896032831739,0.2959553197173027
Carl Smith,QB,11,2,0.18181818181818182,0.10034602076124567,0.3041088798685449
Sean Ryan,QB,11,2,0.18181818181818182,0.10034602076124567,0.3041088798685449
John McNulty,WR,16,2,0.125,0.07049345417925479,0.3129354317674122
Gary Brown,RB,20,4,0.2,0.12995896032831739,0.3147918901416459
DeAndre Smith,RB,9,2,0.2222222222222222,0.12995896032831739,0.3303967606829234
Kevin Garver,WR,17,2,0.11764705882352941,0.07049345417925479,0.33973341750698377
Alfredo Roberts,TE,26,1,0.038461538461538464,0.11368015414258188,0.3420511341716233
Robert Prince,WR,41,1,0.024390243902439025,0.07049345417925479,0.35477698978745076
Rob Moore,WR,41,1,0.024390243902439025,0.07049345417925479,0.35477698978745076
Maurice Carthon,RB,10,0,0.0,0.12995896032831739,0.37559622695616335
Craig Ver Steeg,RB,10,0,0.0,0.12995896032831739,0.37559622695616335
Jeff Nixon,RB,10,0,0.0,0.12995896032831739,0.37559622695616335
Thomas Hammock,RB,10,0,0.0,0.12995896032831739,0.37559622695616335
Ken Zampese,QB,13,0,0.0,0.10034602076124567,0.37580271228525264
John Zernhelt,TE,12,0,0.0,0.11368015414258188,0.37714141275115465
James Casey,TE,12,0,0.0,0.11368015414258188,0.37714141275115465
Edgar Bennett,RB,12,0,0.0,0.12995896032831739,0.3819128673811397
Freddie Kitchens,TE,14,0,0.0,0.11368015414258188,0.3860058499187129
Kevin M. Gilbride,TE,14,0,0.0,0.11368015414258188,0.3860058499187129
Phil McGeoghan,WR,19,0,0.0,0.07049345417925479,0.39051303971487594
John Morton,WR,21,0,0.0,0.07049345417925479,0.3916067709722986
Jim Anderson,RB,13,0,0.0,0.12995896032831739,0.3935529667427007
Nolan Cromwell,WR,22,0,0.0,0.07049345417925479,0.39476699417764083
Charlie Joiner,WR,22,0,0.0,0.07049345417925479,0.39476699417764083
Henry Ellard,WR,24,0,0.0,0.07049345417925479,0.40552298947054666
Earnest Byner,RB,16,3,0.1875,0.12995896032831739,0.45089600188939594
Jerry Sullivan,WR,29,3,0.10344827586206896,0.07049345417925479,0.451816893468698
Bobby Turner,RB,38,3,0.07894736842105263,0.12995896032831739,0.4599807328352833
Tom Rathman,RB,37,3,0.08108108108108109,0.12995896032831739,0.46018392862276625
Dan Pitcher,WR,9,1,0.1111111111111111,0.07049345417925479,0.4834993509682117
Clancy Barone,TE,20,3,0.15,0.11368015414258188,0.48734257773449535
Darryl Drake,WR,32,3,0.09375,0.07049345417925479,0.48820293905471435
David Walker,RB,18,1,0.05555555555555555,0.12995896032831739,0.4937998272747895
Duce Staley,RB,18,1,0.05555555555555555,0.12995896032831739,0.4937998272747895
Andy Bischoff,TE,22,1,0.045454545454545456,0.11368015414258188,0.4949626275108996
Adam Henry,WR,35,1,0.02857142857142857,0.07049345417925479,0.5062737258550662
Ray Sherman,WR,38,1,0.02631578947368421,0.07049345417925479,0.5121914951033866
Derek Dooley,WR,10,1,0.1,0.07049345417925479,0.5202422833180341
Bryan McClendon,WR,10,1,0.1,0.07049345417925479,0.5202422833180341
Kennedy Polamalu,RB,23,4,0.17391304347826086,0.12995896032831739,0.5251256732617267
Steve Walters,WR,11,1,0.09090909090909091,0.07049345417925479,0.5544061085141051
John Perry,WR,11,1,0.09090909090909091,0.07049345417925479,0.5544061085141051
Josh McDaniels,QB,8,1,0.125,0.10034602076124567,0.5755531443669887
Shane Day,QB,8,1,0.125,0.10034602076124567,0.5755531443669887
James Saxon,RB,30,5,0.16666666666666666,0.12995896032831739,0.5758550407431183
Antwaan Randle El,WR,12,1,0.08333333333333333,0.07049345417925479,0.5861694205344841
Tommie Robinson,RB,8,0,0.0,0.12995896032831739,0.6055630072030473
Autry Denson,RB,8,0,0.0,0.12995896032831739,0.6055630072030473
Darrell Bevell,QB,10,0,0.0,0.10034602076124567,0.6057628849814376
Bo Hardegree,QB,10,0,0.0,0.10034602076124567,0.6057628849814376
John McNulty,QB,9,0,0.0,0.10034602076124567,0.6057628849814378
Charles London,QB,9,0,0.0,0.10034602076124567,0.6057628849814378
Dowell Loggains,QB,9,0,0.0,0.10034602076124567,0.6057628849814378
Greg Seamon,TE,8,0,0.0,0.11368015414258188,0.6059682208123619
Mike DeBord,TE,8,0,0.0,0.11368015414258188,0.6059682208123619
Shane Day,TE,8,0,0.0,0.11368015414258188,0.6059682208123619
