coach_name,position,n_player_seasons,n_superstar_seasons,superstar_rate,league_base_rate,p_value
James Saxon,RB,62,18,0.2903225806451613,0.09202226345083488,5.5251676150994315e-06
Troy Walters,WR,26,5,0.19230769230769232,0.0410126582278481,0.003561858959699766
Tom Melvin,TE,61,11,0.18032786885245902,0.07368918280585735,0.00403897692380419
Eric Bieniemy,RB,27,7,0.25925925925925924,0.09202226345083488,0.009130820356488486
Gary Brown,RB,34,8,0.23529411764705882,0.09202226345083488,0.010043886906592763
Ricky Thomas,TE,20,5,0.25,0.07368918280585735,0.012753811859955633
Joel Thomas,RB,36,8,0.2222222222222222,0.09202226345083488,0.014251268970052114
Sean Ryan,WR,24,4,0.16666666666666666,0.0410126582278481,0.015243796951764544
Kirby Wilson,RB,68,1,0.014705882352941176,0.09202226345083488,0.01814509869073934
Clyde Christensen,WR,16,3,0.1875,0.0410126582278481,0.02558725072865412
Richard Williamson,WR,29,4,0.13793103448275862,0.0410126582278481,0.02909028178531011
Rob Boras,TE,51,0,0.0,0.07368918280585735,0.029728185669262087
Justin Peelle,TE,33,6,0.18181818181818182,0.07368918280585735,0.0304601001681337
Josh McDaniels,QB,24,4,0.16666666666666666,0.05466970387243736,0.037989634612427624
Frank Smith,TE,18,4,0.2222222222222222,0.07368918280585735,0.03845330410118209
Richard Mann,WR,62,6,0.0967741935483871,0.0410126582278481,0.04007391252528299
George Godsey,TE,27,5,0.18518518518518517,0.07368918280585735,0.043772012214145214
Randy Jordan,RB,39,0,0.0,0.09202226345083488,0.04530663831032196
John Perry,WR,20,3,0.15,0.0410126582278481,0.04623858299614428
Larry Kirksey,WR,49,5,0.10204081632653061,0.0410126582278481,0.04862478324942566
Sanjay Lal,WR,89,0,0.0,0.0410126582278481,0.051348027468603494
Sean Ryan,QB,16,3,0.1875,0.05466970387243736,0.05252722449666528
Pete Hoener,TE,38,6,0.15789473684210525,0.07368918280585735,0.05610059598087371
Charlie Baggett,WR,22,3,0.13636363636363635,0.0410126582278481,0.0588741727352063
Ted Williams,RB,45,8,0.17777777777777778,0.09202226345083488,0.06199137281906937
Jim Anderson,RB,35,0,0.0,0.09202226345083488,0.07005175053929714
Chad Morton,RB,35,0,0.0,0.09202226345083488,0.07005175053929714
Ron Middleton,TE,43,0,0.0,0.07368918280585735,0.0707990514653816
Tom Clements,QB,20,3,0.15,0.05466970387243736,0.09156503842209668
Carl Smith,QB,20,3,0.15,0.05466970387243736,0.09156503842209668
Terry Malone,TE,24,4,0.16666666666666666,0.07368918280585735,0.09497108504972868
Chick Harris,RB,41,7,0.17073170731707318,0.09202226345083488,0.095369361439407
Jimmie Johnson,TE,37,0,0.0,0.07368918280585735,0.1075909962267303
Edgar Bennett,WR,62,5,0.08064516129032258,0.0410126582278481,0.10877063297269256
Kennedy Polamalu,RB,44,7,0.1590909090909091,0.09202226345083488,0.11766319897607197
Gene Huey,RB,21,4,0.19047619047619047,0.09202226345083488,0.1208076895809081
Wes Welker,WR,32,3,0.09375,0.0410126582278481,0.14164498233742726
Dave Atkins,RB,15,3,0.2,0.09202226345083488,0.1536972231649032
Earnest Byner,RB,23,4,0.17391304347826086,0.09202226345083488,0.15520658487380856
Danny Barrett,RB,24,0,0.0,0.09202226345083488,0.16061445194765395
Steve Hagen,TE,32,0,0.0,0.07368918280585735,0.16610800622265284
Mike Pope,TE,32,0,0.0,0.07368918280585735,0.16610800622265284
Dave Brock,WR,18,2,0.1111111111111111,0.0410126582278481,0.16692340014146
Keenan McCardell,WR,53,4,0.07547169811320754,0.0410126582278481,0.17090396006412756
Kippy Brown,WR,55,0,0.0,0.0410126582278481,0.17144577124881544
Ike Hilliard,WR,58,0,0.0,0.0410126582278481,0.17404854681502324
