coach,team,start,end,n_seasons
Aaron Glenn,NYJ,2025,2025,1
Aaron Kromer,CHI,2013,2014,2
Aaron Kromer,NO,2012,2012,1
Adam Gase,CHI,2015,2015,1
Adam Gase,DEN,2013,2014,2
Adam Gase,MIA,2016,2018,3
Adam Gase,NYJ,2019,2020,2
Adam Stenavich,GB,2022,2025,4
Al Saunders,KC,2001,2005,5
Al Saunders,LV,2011,2011,1
Alex Van Pelt,BUF,2009,2009,1
Alex Van Pelt,CLE,2020,2023,4
Alex Van Pelt,NE,2024,2024,1
Alex Wood,ARI,2004,2004,1
Andy Reid,KC,2013,2025,13
Andy Reid,PHI,2001,2012,12
Anthony Lynn,BUF,2016,2016,1
Anthony Lynn,DET,2021,2021,1
Anthony Lynn,LAC,2017,2020,4
Antonio Pierce,LV,2023,2024,2
Arthur Smith,ATL,2021,2023,3
Arthur Smith,PIT,2024,2025,2
Arthur Smith,TEN,2019,2020,2
Ben Johnson,CHI,2025,2025,1
Ben Johnson,DET,2022,2024,3
Ben McAdoo,CAR,2022,2022,1
Ben McAdoo,NYG,2014,2017,4
Bill Belichick,NE,2001,2023,23
Bill Callahan,DAL,2012,2013,2
Bill Callahan,LV,2001,2003,3
Bill Callahan,WAS,2019,2019,1
Bill Cowher,PIT,2001,2006,6
Bill Lazor,CHI,2020,2021,2
Bill Lazor,CIN,2017,2018,2
Bill Lazor,MIA,2014,2014,1
Bill Muir,KC,2011,2011,1
Bill Muir,TB,2002,2008,7
Bill Musgrave,DEN,2018,2018,1
Bill Musgrave,JAX,2003,2004,2
Bill Musgrave,LV,2015,2016,2
Bill Musgrave,MIN,2011,2013,3
Bill O'Brien,HOU,2014,2020,7
Bill O'Brien,NE,2011,2011,1
Bill O'Brien,NE,2023,2023,1
Bill Parcells,DAL,2005,2006,2
Bo Hardegree,LV,2023,2023,1
Bob Bratkowski,CIN,2001,2010,10
Bob Bratkowski,JAX,2012,2012,1
Bobby Jackson,LA,2001,2001,1
Bobby Petrino,ATL,2007,2007,1
Bobby Petrino,JAX,2001,2001,1
Bobby Slowik,HOU,2023,2024,2
Brad Childress,CLE,2012,2012,1
Brad Childress,KC,2016,2016,1
Brad Childress,MIN,2006,2010,5
Brad Childress,PHI,2002,2005,4
Brad Idzik,CAR,2024,2025,2
Brandon Staley,LAC,2021,2022,2
Brandon Staley; fired on December 15,LAC,2023,2023,1
Brian Billick,BAL,2001,2007,7
Brian Callahan,CIN,2019,2023,5
Brian Callahan,TEN,2024,2024,1
"Brian Callahan (fired October 13, 1–5 record)",TEN,2025,2025,1
Brian Daboll,BUF,2018,2021,4
Brian Daboll,CLE,2009,2010,2
Brian Daboll,KC,2012,2012,1
Brian Daboll,MIA,2011,2011,1
Brian Daboll,NYG,2022,2024,3
"Brian Daboll (fired November 10, 2–8 record)",NYG,2025,2025,1
Brian Flores,MIA,2019,2021,3
Brian Johnson,PHI,2023,2023,1
Brian Schottenheimer,DAL,2023,2025,3
Brian Schottenheimer,LA,2012,2014,3
Brian Schottenheimer,NYJ,2006,2011,6
Brian Schottenheimer,SEA,2018,2020,3
Bruce Arians,ARI,2013,2017,5
Bruce Arians,CLE,2001,2003,3
Bruce Arians,IND,2012,2012,1
Bruce Arians,PIT,2007,2011,5
Bruce Arians,TB,2019,2021,3
