coach,n_qbs,avg_swing,t,p
Ben McAdoo,4,0.11707936148201029,0.9730298729772651,0.402305324937407
Kevin O'Connell,4,0.10870076772134288,0.9238574038364702,0.42369988198166786
Anthony Lynn,3,0.007965118908774235,0.057127151727843294,0.9596379207277835
Gary Kubiak,4,-0.03701116963057572,-0.33912953431145904,0.7568634106561983
Josh McDaniels,4,-0.04319534190921068,-0.6696490705878516,0.5510131278187425
Greg Roman,3,-0.04582141172698643,-0.26773131462950234,0.8139893425133695
Aaron Kromer,3,-0.08246300979409706,-2.538002080789974,0.1264589262480396
Brian Schottenheimer,5,-0.08835153758543741,-0.7739700341727487,0.4821488862598061
Bill Musgrave,3,-0.09176826228408796,-0.48879865970692843,0.6733291986151679
Mike McCarthy,3,-0.09762891824166674,-1.1599387378872297,0.365827698379646
Todd Bowles,3,-0.13127864010957893,-0.7811086304079997,0.5165180004723917
Kevin Stefanski,4,-0.13553387621034468,-1.3453065680569263,0.27117792497214993
Jon Gruden,3,-0.14482158377971177,-1.4872628168960818,0.2753203242237462
Mike McCoy,3,-0.14489810380368706,-1.3361510242063914,0.31323932026964474
Alex Van Pelt,3,-0.1462997536763875,-1.0327518281922694,0.41024846185617203
Dowell Loggains,6,-0.14910518100434708,-1.049523146151633,0.34199461708097256
Brian Daboll,4,-0.16484878220122495,-0.6876972303365543,0.5410425244743515
Marc Trestman,3,-0.171961715577258,-3.0001036203198095,0.09546028601623346
Eric Mangini,3,-0.1779023500275918,-1.5970675292139696,0.2513345863034597
John Fox,5,-0.20817565671567947,-1.3058103863920543,0.26165192099267887
Jim Caldwell,3,-0.2102399103607189,-1.8547929164156125,0.2047828642777778
Norv Turner,4,-0.22432649918979386,-1.5848313490268315,0.21117956785184264
Kellen Moore,4,-0.22681877369567338,-4.504237469498841,0.020438634894924212
Mike Tice,3,-0.23418020056289757,-2.072077637015315,0.17403868410292006
Lovie Smith,3,-0.24971819334003353,-2.762089081907351,0.10988930620181918
Hue Jackson,4,-0.26662812478357145,-3.2180357124507037,0.048657047034692855
Dennis Allen,3,-0.2806408780721,-2.376661812643001,0.14063305289650394
Pete Carmichael,4,-0.2989149135766012,-3.0748461717478297,0.05435517834908972
Todd Haley,3,-0.31587198353222695,-3.732533402938813,0.06487169285602673
Adam Gase,3,-0.3427529742120356,-1.379354170729615,0.30177117358335465
Sean Payton,3,-0.3853041855036828,-3.48117967311265,0.07353196776663697
Bruce Arians,3,-0.4117583569906016,-3.853419959933619,0.061225530741151564
