coach,team,start,end,during_epa_rank_avg,during_epa_pctile_avg,during_ppg_rank_avg,before_epa_rank,before_epa_pctile,after_epa_rank,after_epa_pctile,qb_same_before_to_start,qb_same_end_to_after,n_seasons
Kyle Shanahan,ATL,2015,2016,8.5,0.765625,11.0,13.0,0.625,8.0,0.78125,True,True,2
Kyle Shanahan,CLE,2014,2014,25.0,0.25,27.0,26.0,0.21875,27.0,0.1875,False,False,1
Kyle Shanahan,HOU,2008,2009,11.5,0.671875,13.5,13.0,0.625,2.0,0.96875,True,True,2
Kyle Shanahan,SF,2017,2025,10.11111111111111,0.7152777777777778,12.11111111111111,31.0,0.0625,,,False,False,9
Kyle Shanahan,WAS,2010,2013,17.75,0.4765625,19.5,20.0,0.40625,24.0,0.28125,False,True,4
Matt LaFleur,GB,2019,2025,5.571428571428571,0.8571428571428571,10.857142857142858,11.0,0.6875,,,True,False,7
Matt LaFleur,LA,2017,2017,6.0,0.84375,1.0,32.0,0.03125,3.0,0.9375,False,True,1
Matt LaFleur,TEN,2018,2018,24.0,0.28125,27.0,22.0,0.34375,6.0,0.84375,True,False,1
Sean McVay,LA,2017,2025,12.666666666666666,0.6354166666666666,11.0,32.0,0.03125,,,False,False,9
Sean McVay,WAS,2014,2016,13.666666666666666,0.6041666666666666,16.0,23.0,0.3125,19.0,0.4375,True,True,3
Ben Johnson,CHI,2025,2025,8.0,0.78125,9.0,26.0,0.21875,,,True,False,1
Ben Johnson,DET,2022,2024,5.666666666666667,0.8541666666666666,3.6666666666666665,24.0,0.28125,9.0,0.75,True,True,3
Andy Reid,KC,2013,2025,7.0,0.8125,9.076923076923077,31.0,0.0625,,,False,False,13
Andy Reid,PHI,2001,2012,12.416666666666666,0.6419690860215054,10.333333333333334,11.0,0.6774193548387096,4.0,0.90625,True,False,12
Sean Payton,DEN,2023,2025,16.333333333333332,0.5208333333333334,14.333333333333334,27.0,0.1875,,,True,False,3
Sean Payton,NO,2006,2011,5.0,0.875,5.333333333333333,23.0,0.3125,7.0,0.8125,False,True,6
Sean Payton,NO,2013,2021,7.0,0.8125,7.0,7.0,0.8125,21.0,0.375,True,False,9
Sean Payton,NYG,2001,2002,17.5,0.4758064516129032,21.5,8.0,0.7741935483870968,30.0,0.09375,True,True,2
