coach,total_seasons,avg_pctile
Tom Moore,6,0.8948252688172044
Al Saunders,6,0.8845766129032259
Eric Bieniemy,6,0.8541666666666666
Matt LaFleur,9,0.7916666666666666
Sean Payton,20,0.7538306451612903
Bill Belichick,23,0.7522791023842916
Josh McDaniels,17,0.75
Andy Reid,25,0.7306451612903225
Pete Carmichael,9,0.7291666666666666
Sean McDermott,9,0.7118055555555556
Nick Sirianni,8,0.7109375
Dan Quinn,8,0.70703125
Anthony Lynn,6,0.6979166666666666
Mike Smith,7,0.6964285714285714
Bill Cowher,6,0.6922043010752689
Joe Philbin,8,0.69140625
Cam Cameron,11,0.6761363636363636
Dan Campbell,6,0.6666666666666666
Jason Garrett,12,0.6536458333333334
Todd Monken,7,0.6517857142857143
Shane Steichen,7,0.6473214285714286
Mike McCarthy,21,0.6418010752688172
Mike Vrabel,7,0.6383928571428571
Kyle Shanahan,18,0.6371527777777778
Todd Haley,11,0.6363636363636364
Sean McVay,12,0.6276041666666666
Greg Roman,12,0.625
Gary Kubiak,17,0.6222129981024668
Kevin Gilbride,8,0.62109375
Frank Reich,8,0.61328125
Mike Tomlin,19,0.6101973684210527
Bill Callahan,6,0.6038306451612904
Kliff Kingsbury,6,0.5989583333333334
John Harbaugh,18,0.5954861111111112
Mike Heimerdinger,7,0.592741935483871
Joe Lombardi,6,0.5885416666666666
Dirk Koetter,13,0.5865384615384616
Scott Linehan,13,0.5817307692307693
Kellen Moore,7,0.5758928571428571
Marvin Lewis,15,0.5729166666666666
Jim Harbaugh,6,0.5729166666666666
Bruce Arians,17,0.5664136622390892
Jack Del Rio,11,0.5653409090909091
Doug Pederson,11,0.5625
Norv Turner,18,0.5603158602150538
Jim Caldwell,9,0.5451388888888888
Ken Whisenhunt,13,0.5408653846153846
Mike Shula,7,0.5401785714285714
Matt Nagy,9,0.5347222222222222
Mike McCoy,9,0.5347222222222222
Mike Zimmer,8,0.52734375
Darrell Bevell,15,0.525
Herman Edwards,6,0.5236895161290323
Rick Dennison,10,0.521875
Zac Taylor,8,0.51953125
Brian Schottenheimer,15,0.5145833333333333
Tom Coughlin,12,0.5131048387096774
Chuck Pagano,6,0.5104166666666666
Ron Rivera,13,0.5048076923076923
Arthur Smith,7,0.5
Mike Mularkey,13,0.49976736972704716
Greg Knapp,10,0.4967741935483871
Dan Henning,8,0.484375
Bob Bratkowski,11,0.48368768328445744
John Fox,16,0.48046875
Nathaniel Hackett,10,0.478125
Jon Gruden,11,0.4770894428152493
Marty Mornhinweg,14,0.47357430875576034
Bill Musgrave,8,0.47265625
Doug Marrone,10,0.4625
Bill O'Brien,9,0.4618055555555556
Jim Bob Cooter,8,0.4609375
Brad Childress,11,0.4602272727272727
Marc Trestman,6,0.4583333333333333
Todd Bowles,9,0.4548611111111111
Jay Gruden,10,0.4375
Raheem Morris,6,0.4375
Brian Callahan,6,0.4322916666666667
Chan Gailey,8,0.42439516129032256
Kevin O'Connell,7,0.41964285714285715
Rob Chudzinski,9,0.4097222222222222
Hue Jackson,8,0.40234375
Alex Van Pelt,6,0.4010416666666667
Adam Gase,8,0.390625
Kevin Stefanski,8,0.3828125
Brian Daboll,11,0.3806818181818182
Pat Shurmur,13,0.3798076923076923
Bill Muir,8,0.3671875
Mike Martz,6,0.3541666666666667
Greg Olson,14,0.34598214285714285
Rex Ryan,7,0.32142857142857145
Brian Billick,7,0.30011520737327185
Romeo Crennel,6,0.2916666666666667
Matt Cavanaugh,6,0.28763440860215056
Dick Jauron,8,0.25138608870967744
Lovie Smith,12,0.22395833333333334
Dowell Loggains,7,0.20982142857142858
