coach,total_seasons,avg_pctile,n_qbs,avg_delta,avg_pctile_with,avg_pctile_elsewhere,t_stat,p_value
Tom Moore,6,0.8948252688172044,,,,,,
Al Saunders,6,0.8845766129032259,2.0,0.1702346041055718,0.7682459677419355,0.5980113636363636,1.4642913447895316,0.3814457176739255
Eric Bieniemy,6,0.8541666666666666,,,,,,
Matt LaFleur,9,0.7916666666666666,3.0,0.0594618055555555,0.6614583333333334,0.6019965277777778,0.7571834762801468,0.5279873314113362
Sean Payton,20,0.7538306451612903,4.0,-0.0974180347542243,0.5028801843317973,0.6002982190860215,-1.0433730412963274,0.3734536500996325
Bill Belichick,23,0.7522791023842916,3.0,0.1238584602747909,0.6942577658303465,0.5703993055555555,0.4435156836284942,0.7007576905042352
Josh McDaniels,17,0.75,8.0,0.2168315272177419,0.598828125,0.3819965977822581,1.4629518029224409,0.1868816008618304
Andy Reid,25,0.7306451612903225,3.0,0.2215483124253285,0.6617084826762246,0.440160170250896,2.2162268966567606,0.1570089065262958
Pete Carmichael,9,0.7291666666666666,4.0,-0.021266754079254,0.52734375,0.548610504079254,-0.246305257696819,0.8213370851309926
Sean McDermott,9,0.7118055555555556,,,,,,
Nick Sirianni,8,0.7109375,3.0,0.0249255952380952,0.6354166666666666,0.6104910714285715,0.3107418167416494,0.7853919525426232
Dan Quinn,8,0.70703125,,,,,,
Anthony Lynn,6,0.6979166666666666,4.0,0.0222005208333333,0.6197916666666666,0.5975911458333334,0.1252698097600227,0.9082331344773564
Mike Smith,7,0.6964285714285714,,,,,,
Bill Cowher,6,0.6922043010752689,2.0,0.2893505184331796,0.8266129032258064,0.5372623847926268,1.2508949416342414,0.4293311854739244
Joe Philbin,8,0.69140625,2.0,-0.0113095238095237,0.6427083333333333,0.6540178571428572,-0.1674008810572685,0.8944083582459941
Cam Cameron,11,0.6761363636363636,3.0,0.118563988095238,0.7828125,0.6642485119047619,0.934506104140766,0.4486955084731352
Dan Campbell,6,0.6666666666666666,2.0,-0.0108506944444444,0.5625,0.5733506944444444,-0.1121076233183854,0.9289268309836424
Jason Garrett,12,0.6536458333333334,5.0,-0.0350100806451612,0.4884375,0.5234475806451613,-0.4244270073334333,0.6930870380107681
Todd Monken,7,0.6517857142857143,3.0,0.0442708333333333,0.5902777777777778,0.5460069444444445,0.3123431304256808,0.7843373459673602
