coach_name,total_seasons,top5_seasons,top10_seasons,avg_rank,top5_rate,top10_rate,n_distinct_players,n_superstar_players,superstar_rate
Eric Bieniemy,6,5,5,5.666666666666667,0.8333333333333334,0.8333333333333334,53,4,0.0754716981132075
Al Saunders,6,4,5,4.666666666666667,0.6666666666666666,0.8333333333333334,43,4,0.0930232558139534
Tom Moore,6,4,5,4.333333333333333,0.6666666666666666,0.8333333333333334,50,6,0.12
Pete Carmichael,14,7,11,8.0,0.5,0.7857142857142857,98,8,0.0816326530612244
Matt LaFleur,9,4,7,7.666666666666667,0.4444444444444444,0.7777777777777778,86,7,0.0813953488372093
Josh McDaniels,17,9,12,9.0,0.5294117647058824,0.7058823529411765,158,13,0.0822784810126582
Sean Payton,20,9,14,8.85,0.45,0.7,150,11,0.0733333333333333
Bill Belichick,23,11,16,8.91304347826087,0.4782608695652174,0.6956521739130435,161,10,0.062111801242236
Sean McDermott,9,6,6,10.22222222222222,0.6666666666666666,0.6666666666666666,76,4,0.0526315789473684
Anthony Lynn,6,2,4,10.666666666666666,0.3333333333333333,0.6666666666666666,73,6,0.0821917808219178
Bill Cowher,6,1,4,10.833333333333334,0.1666666666666666,0.6666666666666666,35,2,0.0571428571428571
Dan Campbell,6,1,4,11.666666666666666,0.1666666666666666,0.6666666666666666,59,4,0.0677966101694915
Andy Reid,25,7,16,9.6,0.28,0.64,151,12,0.0794701986754966
Kevin Gilbride,8,0,5,13.125,0.0,0.625,59,4,0.0677966101694915
Kellen Moore,7,1,4,14.571428571428571,0.1428571428571428,0.5714285714285714,93,7,0.075268817204301
Mike Smith,7,0,4,10.714285714285714,0.0,0.5714285714285714,38,4,0.1052631578947368
Mike McCarthy,21,5,11,12.428571428571429,0.238095238095238,0.5238095238095238,154,11,0.0714285714285714
Bill Callahan,6,2,3,13.666666666666666,0.3333333333333333,0.5,61,4,0.0655737704918032
Dan Quinn,8,2,4,10.375,0.25,0.5,68,6,0.088235294117647
Jason Garrett,12,3,6,12.083333333333334,0.25,0.5,81,5,0.0617283950617283
Joe Philbin,8,2,4,10.875,0.25,0.5,68,5,0.0735294117647058
Sean McVay,12,3,6,12.916666666666666,0.25,0.5,86,6,0.0697674418604651
Nick Sirianni,8,1,4,10.25,0.125,0.5,73,5,0.0684931506849315
Ken Whisenhunt,13,3,6,15.692307692307692,0.2307692307692307,0.4615384615384615,120,3,0.025
Mike Vrabel,7,2,3,12.571428571428571,0.2857142857142857,0.4285714285714285,73,4,0.0547945205479452
Shane Steichen,7,1,3,12.285714285714286,0.1428571428571428,0.4285714285714285,73,6,0.0821917808219178
Mike Heimerdinger,7,0,3,14.0,0.0,0.4285714285714285,59,3,0.0508474576271186
Mike Tomlin,19,4,8,13.473684210526317,0.2105263157894736,0.4210526315789473,127,7,0.0551181102362204
Tom Coughlin,12,0,5,16.5,0.0,0.4166666666666667,88,6,0.0681818181818181
Gary Kubiak,17,3,7,13.058823529411764,0.1764705882352941,0.4117647058823529,136,8,0.0588235294117647
Doug Marrone,10,2,4,18.2,0.2,0.4,112,4,0.0357142857142857
Nathaniel Hackett,10,2,4,17.7,0.2,0.4,109,6,0.055045871559633
Marvin Lewis,15,1,6,14.666666666666666,0.0666666666666666,0.4,85,4,0.0470588235294117
Kyle Shanahan,18,5,7,12.61111111111111,0.2777777777777778,0.3888888888888889,144,12,0.0833333333333333
Ron Rivera,13,1,5,16.846153846153847,0.0769230769230769,0.3846153846153846,97,3,0.0309278350515463
Mike Zimmer,8,0,3,16.125,0.0,0.375,49,6,0.1224489795918367
