coach,n_qbs,avg_delta,avg_pctile_with,avg_pctile_elsewhere,t_stat,p_value
Ben Johnson,2,0.4114583333333333,0.8177083333333333,0.40625,2.724137931034482,0.22397345438383137
Bill Cowher,2,0.34000576036866353,0.8266129032258064,0.48660714285714285,1.2058222676200205,0.4407693771066918
Andy Reid,3,0.3179584826762246,0.6617084826762246,0.34375,3.6911077014848863,0.06619377318354454
Grant Udinski,2,0.2734375,0.59375,0.3203125,2.0588235294117645,0.2878500888834932
Mike Heimerdinger,2,0.2725554435483871,0.6397429435483871,0.3671875,3.925589836660616,0.15879442700328028
Mike Zimmer,3,0.23958333333333334,0.53125,0.2916666666666667,1.3374127506480349,0.3128969037460614
Mike Tice,2,0.23454301075268819,0.6458333333333333,0.41129032258064513,0.8925831202046036,0.5360937501835138
Chip Kelly,3,0.22916666666666666,0.5208333333333334,0.2916666666666667,0.5894502043696677,0.615276420769532
Hue Jackson,2,0.22083333333333335,0.59375,0.3729166666666667,9.636363636363637,0.06582868868869436
Mike LaFleur,2,0.21794871794871792,0.4583333333333333,0.2403846153846154,2.344827586206897,0.25663135464623155
Herman Edwards,2,0.21169354838709675,0.63877688172043,0.4270833333333333,3.8181818181818192,0.16307103486055569
Josh McDaniels,4,0.192578125,0.484375,0.291796875,0.8363756612455792,0.46432552453341336
Shane Waldron,2,0.19140625,0.625,0.43359375,0.7313432835820896,0.5980042172446784
Klint Kubiak,2,0.18333333333333332,0.5625,0.37916666666666665,0.6153846153846152,0.6488055305972346
Dan Henning,3,0.18177083333333333,0.5859375,0.4041666666666666,1.4637144923234018,0.28083721589541283
Jim Bob Cooter,4,0.18098958333333331,0.529296875,0.3483072916666667,1.0088811379659588,0.3873461808644244
Al Saunders,2,0.17023460410557184,0.7682459677419355,0.5980113636363636,1.4642913447895316,0.38144571767392554
Clyde Christensen,2,0.1676915322580645,0.7595766129032258,0.5918850806451613,1.6527570789865864,0.3464002033995167
Greg Roman,6,0.16059027777777776,0.6119791666666666,0.4513888888888889,1.7259445291300506,0.14494713646232274
Bill O'Brien,3,0.146412037037037,0.44097222222222215,0.2945601851851852,0.7972271254500037,0.5089285344267586
Brian Billick,2,0.14445564516129028,0.46875,0.3242943548387097,1.0560058953574054,0.48266267352645453
Chan Gailey,2,0.1428931451612903,0.5225806451612903,0.3796875,7.98591549295775,0.07930503363963971
Mike Mularkey,3,0.13156565656565655,0.46875,0.3371843434343434,2.18866724209954,0.1600829476960335
Carl Smith,2,0.13020833333333331,0.734375,0.6041666666666667,1.470588235294117,0.38017446813819344
Bill Belichick,3,0.12385846027479093,0.6942577658303465,0.5703993055555555,0.4435156836284942,0.7007576905042352
Gary Kubiak,7,0.12183019713261647,0.5561395929339478,0.43430939580133127,0.8697498543865179,0.41786845213116014
Cam Cameron,3,0.11856398809523809,0.7828125,0.6642485119047619,0.934506104140766,0.4486955084731352
Joe Brady,2,0.11249999999999999,0.6927083333333333,0.5802083333333333,0.606741573033708,0.6528118954058116
Greg Schiano,2,0.09895833333333334,0.375,0.27604166666666663,1.0,0.5000000000000001
Aaron Kromer,2,0.08528645833333331,0.703125,0.6178385416666667,0.7005347593582885,0.6109713508334841
Matt LaFleur,3,0.0808961004273504,0.6805555555555555,0.5996594551282052,0.9612604026527796,0.43785187385743046
Dirk Koetter,4,0.07486979166666669,0.5026041666666667,0.427734375,0.8231452474314939,0.4707592969929874
Greg Knapp,5,0.039709341397849464,0.4176075268817204,0.377898185483871,0.3137900775590903,0.7693635390627173
Jim Schwartz,2,0.036458333333333315,0.3984375,0.3619791666666667,0.24137931034482743,0.8492173957204281
Rick Dennison,3,0.03342573924731185,0.5416666666666666,0.5082409274193548,0.1623566012892222,0.8859456942773671
Frank Reich,4,0.03177083333333332,0.6197916666666666,0.5880208333333333,0.38170877354183697,0.7281094984299642
Doug Marrone,5,0.027864583333333325,0.3833333333333333,0.35546875,0.6978574186876493,0.5237049105981074
Anthony Lynn,4,0.02220052083333332,0.6197916666666666,0.5975911458333334,0.12526980976002278,0.9082331344773564
Dowell Loggains,2,0.020833333333333343,0.359375,0.33854166666666663,0.09090909090909095,0.9422841232473912
Doug Pederson,2,0.01979166666666668,0.5197916666666667,0.5,0.12582781456953648,0.9203143092734767
Kyle Shanahan,5,0.017349910394265235,0.5,0.48265008960573474,0.14308697822177124,0.8931400612457301
