coach,n_qbs,avg_raw_delta,avg_resid_delta,t_resid,p_resid
Bill Cowher,2,0.28935051843317966,0.34204074419715685,2.259283935107801,0.2652783249267638
Ben Johnson,2,0.4114583333333333,0.3124818636050303,2.7645891264079085,0.22095487869240305
Tim Kelly,2,0.2109375,0.27826669385500613,2.5290376957450365,0.239713385202719
Kevin Gilbride,2,0.2701972926267281,0.2725514715751998,1.5242103231521646,0.3696441834395302
Mike Macdonald,2,0.309375,0.2566232510586596,2.2400167182531696,0.2673021141152698
Mike Vrabel,3,0.3272569444444444,0.2381644926143672,0.9967709424444031,0.42389460372200577
Chip Kelly,3,0.22916666666666666,0.22856604591116247,0.557837936132673,0.6330635432955698
Paul Hackett,2,0.18918010752688172,0.22611899402920438,10.204646019725438,0.06218673591317484
Herman Edwards,2,0.18918010752688172,0.22611899402920438,10.204646019725438,0.06218673591317484
Steve Mariucci,2,0.23504704301075272,0.22072119981319785,1.2120240833905447,0.43916539041520897
Mike LaFleur,2,0.21794871794871792,0.21013920050420304,7.094909249370291,0.0891418960109719
Josh McDaniels,8,0.21683152721774193,0.20017715434131828,1.3236800920014262,0.2271992342645504
Cam Cameron,3,0.11856398809523809,0.194292031481251,1.4919884372071408,0.2742296943426245
Andy Reid,3,0.22154831242532858,0.18881948539640506,1.840282394529186,0.207087025963452
Mike Zimmer,4,0.16276041666666666,0.1857121575048751,1.132763344365975,0.3396613489704955
Gregg Williams,2,0.19380040322580644,0.18488917199488972,0.6938274371772303,0.6138447294170631
Jim Harbaugh,3,0.2265625,0.18230164892917936,0.9751950750702871,0.4323162081461011
Grant Udinski,2,0.2734375,0.18157369843593935,1.3551486600713498,0.40471773557691554
Greg Schiano,2,0.09895833333333334,0.18120679312119706,2.1483503578751653,0.2773414051333597
Dan Henning,3,0.18177083333333333,0.1752544688269693,1.1878498041594168,0.3568363542924251
Bill Parcells,2,0.18370175691244242,0.16486959537471652,12.327374417494655,0.05152993762673478
Jack Del Rio,3,0.08767361111111112,0.16200659503635992,7.6645540072349325,0.016599933987689355
Marvin Lewis,4,0.15230014720942142,0.16062449740043255,1.0070884014595565,0.38808156436818697
Mike Mularkey,5,0.13828079178885627,0.15650875713970946,1.5748876257909274,0.19040177402975006
Dirk Koetter,4,0.09114583333333334,0.1522295591262776,1.4802329456522056,0.23538260243785805
Shane Waldron,2,0.19140625,0.15197659570587868,0.6777887207548722,0.6207891478183625
Mike Heimerdinger,2,0.2462617607526882,0.1519258538869966,1.570560350794853,0.3609504033892453
Bill Belichick,3,0.12385846027479093,0.14845721543760346,0.51084396433096,0.660263915202757
Tony Dungy,2,0.12150614002932558,0.14314405790001872,1.5493548534277166,0.36488232014816246
Greg Roman,6,0.16059027777777776,0.14242496644244784,1.4847838854392215,0.19772898847821038
Al Saunders,2,0.17023460410557184,0.14195705307767092,1.233990990974422,0.43356190572820064
Pat Shurmur,9,0.14435795685795685,0.13656258113331052,0.9589888873712774,0.3656462622558336
Wes Phillips,2,0.158203125,0.12950731020114226,0.6960722130869025,0.6128810665944611
Chan Gailey,3,0.07090053763440861,0.12289490508234276,33.08207777295297,0.0009124723311767156
Charlie Weis,2,0.06087227229601516,0.11972870348633075,0.4194349304132381,0.7471680128788245
Lane Kiffin,2,0.06640625,0.11521681656732072,4.64646010894049,0.13495329366730238
