coach,n_qbs,avg_delta,avg_pctile_with,avg_pctile_elsewhere,t_stat,p_value
Ben Johnson,2,0.4114583333333333,0.8177083333333333,0.40625,2.724137931034482,0.22397345438383137
Mike Vrabel,3,0.3272569444444444,0.6458333333333334,0.3185763888888889,1.249804635742563,0.3377919363619049
Mike Macdonald,2,0.309375,0.5625,0.253125,1.8,0.32282893443419053
Bill Cowher,2,0.28935051843317966,0.8266129032258064,0.5372623847926268,1.2508949416342414,0.42933118547392446
Grant Udinski,2,0.2734375,0.59375,0.3203125,2.0588235294117645,0.2878500888834932
Kevin Gilbride,2,0.2701972926267281,0.6629464285714286,0.39274913594470046,1.805388501323069,0.3220217185812132
Mike Heimerdinger,2,0.2462617607526882,0.6397429435483871,0.3934811827956989,5.708860759493667,0.11039433600591791
Steve Mariucci,2,0.23504704301075272,0.5804771505376344,0.3454301075268817,1.449740932642487,0.38441192914893085
Chip Kelly,3,0.22916666666666666,0.5208333333333334,0.2916666666666667,0.5894502043696677,0.615276420769532
Jim Harbaugh,3,0.2265625,0.5729166666666666,0.3463541666666667,1.3819973696610965,0.3010864467699358
Andy Reid,3,0.22154831242532858,0.6617084826762246,0.440160170250896,2.2162268966567606,0.15700890652629584
Mike LaFleur,2,0.21794871794871792,0.4583333333333333,0.2403846153846154,2.344827586206897,0.25663135464623155
Josh McDaniels,8,0.21683152721774193,0.598828125,0.3819965977822581,1.4629518029224409,0.18688160086183045
Tim Kelly,2,0.2109375,0.3984375,0.1875,1.173913043478261,0.4491786526677683
Gregg Williams,2,0.19380040322580644,0.5206653225806451,0.32686491935483875,0.8573021181716832,0.5488160609286437
Shane Waldron,2,0.19140625,0.625,0.43359375,0.7313432835820896,0.5980042172446784
Herman Edwards,2,0.18918010752688172,0.63877688172043,0.4495967741935484,5.744897959183674,0.1097155152336209
Paul Hackett,2,0.18918010752688172,0.63877688172043,0.4495967741935484,5.744897959183674,0.1097155152336209
Bill Parcells,2,0.18370175691244242,0.734375,0.5506732430875576,4.4975760246804795,0.1392816306936397
Dan Henning,3,0.18177083333333333,0.5859375,0.4041666666666666,1.4637144923234018,0.28083721589541283
Jim Bob Cooter,4,0.18098958333333331,0.529296875,0.3483072916666667,1.0088811379659588,0.3873461808644244
Al Saunders,2,0.17023460410557184,0.7682459677419355,0.5980113636363636,1.4642913447895316,0.38144571767392554
Mike Zimmer,4,0.16276041666666666,0.53125,0.36848958333333337,1.0986490527974906,0.35218782458166736
Greg Roman,6,0.16059027777777776,0.6119791666666666,0.4513888888888889,1.7259445291300506,0.14494713646232274
Wes Phillips,2,0.158203125,0.546875,0.388671875,0.6377952755905512,0.638560685796321
Carl Smith,2,0.15234375,0.734375,0.58203125,2.2941176470588234,0.26169181858771834
Marvin Lewis,4,0.15230014720942142,0.5236235119047619,0.3713233646953405,0.9119406326840426,0.4290395587066111
Pat Shurmur,9,0.14435795685795685,0.45254629629629634,0.3081883394383394,1.1181965153804942,0.2959339081376738
Mike Mularkey,5,0.13828079178885627,0.4525201612903226,0.3142393695014663,1.3848004153438824,0.23834491386826454
Shane Steichen,6,0.13499503968253967,0.6197916666666666,0.484796626984127,1.1412785370359337,0.3054493182478582
Bill Belichick,3,0.12385846027479093,0.6942577658303465,0.5703993055555555,0.4435156836284942,0.7007576905042352
Tony Dungy,2,0.12150614002932558,0.7556703629032258,0.6341642228739002,1.2118130926539485,0.43921979894441976
Doug Pederson,3,0.11893939393939394,0.5791666666666667,0.4602272727272727,0.8846278437633701,0.46968020920696885
Cam Cameron,3,0.11856398809523809,0.7828125,0.6642485119047619,0.934506104140766,0.4486955084731352
Joe Brady,2,0.11249999999999999,0.6927083333333333,0.5802083333333333,0.606741573033708,0.6528118954058116
Greg Schiano,2,0.09895833333333334,0.375,0.27604166666666663,1.0,0.5000000000000001
Dirk Koetter,4,0.09114583333333334,0.4942708333333333,0.403125,1.04816730941209,0.37156088693999023
Romeo Crennel,3,0.08784722222222223,0.4114583333333333,0.3236111111111111,0.5419795965528907,0.6421420539388464
Jack Del Rio,3,0.08767361111111112,0.43402777777777785,0.3463541666666667,1.372784478787037,0.3034814031882778
Nick Saban,2,0.0875,0.34375,0.25625,1.2727272727272725,0.42396918430410074
Gary Kubiak,7,0.08658497000950917,0.5561395929339478,0.4695546229244386,0.6286737915740155,0.552727551227303
Aaron Kromer,2,0.08528645833333331,0.703125,0.6178385416666667,0.7005347593582885,0.6109713508334841
John Morton,2,0.078125,0.515625,0.4375,inf,0.0
Chan Gailey,3,0.07090053763440861,0.5046370967741935,0.433736559139785,1.056705313336945,0.4014346974937787
Mike Munchak,2,0.06764112903225805,0.5,0.43235887096774195,0.370923161967938,0.7738779571413665
Lane Kiffin,2,0.06640625,0.203125,0.13671875,2.4285714285714284,0.2486681672439953
Mike McCoy,3,0.06567802157519902,0.6796875,0.614009478424801,0.5363576140198208,0.6453851969365233
Mike McDaniel,2,0.0625,0.7109375,0.6484375,0.5714285714285714,0.6695013189228642
