coach,team,start,end,n_seasons,avg_off_pctile,n_distinct_qbs,qb_list
Aaron Glenn,NYJ,2025,2025,1,0.125,1,Tyrod Taylor (1yr)
Aaron Kromer,CHI,2013,2014,2,0.59375,1,Jay Cutler (2yr)
Aaron Kromer,NO,2012,2012,1,0.8125,1,Drew Brees (1yr)
Adam Gase,CHI,2015,2015,1,0.46875,1,Jay Cutler (1yr)
Adam Gase,DEN,2013,2014,2,0.921875,1,Peyton Manning (2yr)
Adam Gase,MIA,2016,2018,3,0.25,2,Jay Cutler (1yr); Ryan Tannehill (2yr)
Adam Gase,NYJ,2019,2020,2,0.03125,1,Sam Darnold (2yr)
Adam Stenavich,GB,2022,2025,4,0.8125,2,Aaron Rodgers (1yr); Jordan Love (3yr)
Al Saunders,KC,2001,2005,5,0.942741935483871,1,Trent Green (5yr)
Al Saunders,LV,2011,2011,1,0.59375,1,Carson Palmer (1yr)
Alex Van Pelt,BUF,2009,2009,1,0.1875,1,Ryan Fitzpatrick (1yr)
Alex Van Pelt,CLE,2020,2023,4,0.5078125,3,Jacoby Brissett (1yr); Deshaun Watson (1yr); Baker Mayfield (2yr)
Alex Van Pelt,NE,2024,2024,1,0.1875,1,Drake Maye (1yr)
Alex Wood,ARI,2004,2004,1,0.21875,1,Josh McCown (1yr)
Andy Reid,KC,2013,2025,13,0.8125,2,Alex Smith (5yr); Patrick Mahomes (8yr)
Andy Reid,PHI,2001,2012,12,0.6419690860215054,2,Donovan McNabb (9yr); Michael Vick (3yr)
Anthony Lynn,BUF,2016,2016,1,0.78125,1,Tyrod Taylor (1yr)
Anthony Lynn,DET,2021,2021,1,0.28125,1,Jared Goff (1yr)
Anthony Lynn,LAC,2017,2020,4,0.78125,2,Philip Rivers (3yr); Justin Herbert (1yr)
Antonio Pierce,LV,2023,2024,2,0.140625,2,Gardner Minshew (1yr); Aidan O'Connell (1yr)
Arthur Smith,ATL,2021,2023,3,0.2708333333333333,3,Matt Ryan (1yr); Marcus Mariota (1yr); Desmond Ridder (1yr)
Arthur Smith,PIT,2024,2025,2,0.4375,2,Aaron Rodgers (1yr); Russell Wilson (1yr)
Arthur Smith,TEN,2019,2020,2,0.90625,1,Ryan Tannehill (2yr)
Ben Johnson,CHI,2025,2025,1,0.78125,1,Caleb Williams (1yr)
Ben Johnson,DET,2022,2024,3,0.8541666666666666,1,Jared Goff (3yr)
Ben McAdoo,CAR,2022,2022,1,0.34375,1,Phillip Walker (1yr)
Ben McAdoo,NYG,2014,2017,4,0.390625,1,Eli Manning (4yr)
