season,team,role,coach_name,games,total_points,ppg,plays,total_epa,mean_epa,total_yards,games_est,yards_per_game,epa_per_play,epa_rank,epa_per_play_pctile,ppg_rank,ppg_pctile,ypg_rank,yards_per_game_pctile
2001,PHI,HC,Andy Reid,16,343.0,21.4375,1003,-35.74620080989129,-0.0356392829610082,4924.0,16,307.75,-0.0356392829610082,16,0.5161290322580645,9,0.7419354838709677,17,0.4838709677419355
2002,PHI,HC,Andy Reid,16,415.0,25.9375,1099,8.060958776846595,0.0073348123538185,5619.0,16,351.1875,0.0073348123538185,16,0.53125,4,0.90625,10,0.71875
2003,PHI,HC,Andy Reid,16,374.0,23.375,981,44.91934167150575,0.0457893391146847,5039.0,16,314.9375,0.0457893391146847,8,0.78125,11,0.6875,18,0.46875
2004,PHI,HC,Andy Reid,16,386.0,24.125,979,68.6411742569296,0.0701135589958422,5638.0,16,352.375,0.0701135589958422,7,0.8125,8,0.78125,9,0.75
2005,PHI,HC,Andy Reid,16,310.0,19.375,1063,-110.58512661108315,-0.1040311633218091,5122.0,16,320.125,-0.1040311633218091,26,0.21875,18,0.46875,19,0.4375
2006,PHI,HC,Andy Reid,16,398.0,24.875,1001,55.71820630420845,0.055662543760448,6081.0,16,380.0625,0.055662543760448,6,0.84375,6,0.84375,2,0.96875
2007,PHI,HC,Andy Reid,16,336.0,21.0,1059,40.78511146945439,0.0385128531345178,5741.0,16,358.8125,0.0385128531345178,7,0.8125,17,0.5,7,0.8125
2008,PHI,HC,Andy Reid,16,416.0,26.0,1058,4.733669584011662,0.0044741678487822,5621.0,16,351.3125,0.0044741678487822,14,0.59375,6,0.84375,9,0.75
2009,PHI,HC,Andy Reid,16,429.0,26.8125,992,47.20596917901068,0.0475866624788414,5750.0,16,359.375,0.0475866624788414,10,0.71875,5,0.875,11,0.6875
2010,PHI,HC,Andy Reid,16,439.0,27.4375,1060,82.50354250364364,0.0778335306638147,6245.0,16,390.3125,0.0778335306638147,5,0.875,3,0.9375,2,0.96875
2011,PHI,HC,Andy Reid,16,396.0,24.75,1053,56.282367964221606,0.0534495422262313,6399.0,16,399.9375,0.0534495422262313,7,0.8125,8,0.78125,4,0.90625
2012,PHI,HC,Andy Reid,16,280.0,17.5,1116,-84.12400917725283,-0.075379936538757,5672.0,16,354.5,-0.075379936538757,27,0.1875,29,0.125,15,0.5625
2013,KC,HC,Andy Reid,16,430.0,26.875,1056,23.9132022636112,0.0226450779011469,5412.0,16,338.25,0.0226450779011469,14,0.59375,6,0.828125,21,0.375
