coach,team,start,end,role_at_end
Kyle Shanahan,ATL,2015,2016,OC
Kyle Shanahan,CLE,2014,2014,OC
Kyle Shanahan,HOU,2008,2009,OC
Kyle Shanahan,SF,2017,2025,HC
Kyle Shanahan,WAS,2010,2013,OC
Matt LaFleur,GB,2019,2025,HC
Matt LaFleur,LA,2017,2017,OC
Matt LaFleur,TEN,2018,2018,OC
Sean McVay,LA,2017,2025,HC
Sean McVay,WAS,2014,2016,OC
Ben Johnson,CHI,2025,2025,HC
Ben Johnson,DET,2022,2024,OC
Andy Reid,KC,2013,2025,HC
Andy Reid,PHI,2001,2012,HC
Sean Payton,DEN,2023,2025,HC
Sean Payton,NO,2006,2011,HC
Sean Payton,NO,2013,2021,HC
Sean Payton,NYG,2001,2002,OC
