coach_name,total_seasons,top5_seasons,top10_seasons,avg_rank,top5_rate,top10_rate
Aaron Glenn,1,0,0,29.0,0.0,0.0
Aaron Kromer,3,1,2,11.666666666666666,0.3333333333333333,0.6666666666666666
Adam Gase,8,1,2,20.5,0.125,0.25
Adam Stenavich,4,2,3,7.0,0.5,0.75
Al Saunders,6,4,5,4.666666666666667,0.6666666666666666,0.8333333333333334
Alex Van Pelt,6,0,1,20.166666666666668,0.0,0.16666666666666666
Alex Wood,1,0,0,26.0,0.0,0.0
Andy Reid,25,7,16,9.6,0.28,0.64
Anthony Lynn,6,2,4,10.666666666666666,0.3333333333333333,0.6666666666666666
Antonio Pierce,2,0,0,28.5,0.0,0.0
Arthur Smith,7,1,2,17.0,0.14285714285714285,0.2857142857142857
Ben Johnson,4,1,4,6.25,0.25,1.0
Ben McAdoo,5,0,1,20.8,0.0,0.2
Bill Belichick,23,11,16,8.91304347826087,0.4782608695652174,0.6956521739130435
Bill Callahan,6,2,3,13.666666666666666,0.3333333333333333,0.5
Bill Cowher,6,1,4,10.833333333333334,0.16666666666666666,0.6666666666666666
Bill Lazor,5,0,0,21.4,0.0,0.0
Bill Muir,8,0,0,21.25,0.0,0.0
Bill Musgrave,8,0,0,17.875,0.0,0.0
Bill O'Brien,9,1,2,18.22222222222222,0.1111111111111111,0.2222222222222222
Bill Parcells,2,1,1,9.5,0.5,0.5
Bo Hardegree,1,0,0,26.0,0.0,0.0
Bob Bratkowski,11,1,4,17.454545454545453,0.09090909090909091,0.36363636363636365
Bobby Jackson,1,1,1,1.0,1.0,1.0
Bobby Petrino,2,0,0,31.0,0.0,0.0
Bobby Slowik,2,0,0,19.5,0.0,0.0
Brad Childress,11,0,3,18.272727272727273,0.0,0.2727272727272727
Brad Idzik,2,0,0,24.5,0.0,0.0
Brandon Staley,2,1,1,10.0,0.5,0.5
Brandon Staley; fired on December 15,1,0,0,24.0,0.0,0.0
Brian Billick,7,0,0,23.285714285714285,0.0,0.0
Brian Callahan,6,1,1,19.166666666666668,0.16666666666666666,0.16666666666666666
"Brian Callahan (fired October 13, 1–5 record)",1,0,0,30.0,0.0,0.0
Brian Daboll,11,2,3,20.818181818181817,0.18181818181818182,0.2727272727272727
"Brian Daboll (fired November 10, 2–8 record)",1,0,1,10.0,0.0,1.0
Brian Flores,3,0,0,22.0,0.0,0.0
Brian Johnson,1,0,1,7.0,0.0,1.0
Brian Schottenheimer,15,2,4,16.533333333333335,0.13333333333333333,0.26666666666666666
Bruce Arians,17,3,6,14.823529411764707,0.17647058823529413,0.35294117647058826
Bruce Coslet,1,0,0,30.0,0.0,0.0
Butch Davis,1,0,0,28.0,0.0,0.0
Byron Leftwich,4,2,2,11.0,0.5,0.5
Cam Cameron,11,2,4,11.363636363636363,0.18181818181818182,0.36363636363636365
Carl Smith,2,0,2,9.5,0.0,1.0
Chad O'Shea,1,0,0,26.0,0.0,0.0
Chan Gailey,8,0,1,19.375,0.0,0.125
Charlie Weis,5,0,1,12.6,0.0,0.2
Chip Kelly,3,1,1,16.333333333333332,0.3333333333333333,0.3333333333333333
Chip Kelly {{small|(fired on December 29)}},1,0,0,22.0,0.0,0.0
Chris Beatty,1,0,0,26.0,0.0,0.0
Chris Foerster,1,0,0,31.0,0.0,0.0
Chris Palmer,5,0,0,22.8,0.0,0.0
"Chris Palmer (fired Nov 26, 2012)",1,0,0,28.0,0.0,0.0
Chris Tabor,1,0,0,29.0,0.0,0.0
Chuck Pagano,6,0,1,16.666666666666668,0.0,0.16666666666666666
Clarence Shelmon,5,4,4,5.0,0.8,0.8
Clyde Christensen,5,1,1,18.8,0.2,0.2
Curtis Modkins,4,0,0,23.5,0.0,0.0
Dan Campbell,6,1,4,11.666666666666666,0.16666666666666666,0.6666666666666666
Dan Henning,8,0,1,17.5,0.0,0.125
Dan Pitcher,2,0,1,13.0,0.0,0.5
Dan Quinn,8,2,4,10.375,0.25,0.5
Darrell Bevell,15,3,5,16.2,0.2,0.3333333333333333
Darren Rizzi,1,0,0,25.0,0.0,0.0
Dave Campo,1,0,0,30.0,0.0,0.0
Dave Canales,3,0,0,20.333333333333332,0.0,0.0
Dave McGinnis,3,0,0,24.0,0.0,0.0
Dave Ragone,3,0,0,24.333333333333332,0.0,0.0
Dave Wannstedt,3,0,0,15.666666666666666,0.0,0.0
Dave Wannstedt (Games 1-9),1,0,0,31.0,0.0,0.0
David Culley,1,0,0,31.0,0.0,0.0
DeMeco Ryans,3,0,0,20.333333333333332,0.0,0.0
Declan Doyle,1,0,1,8.0,0.0,1.0
Dennis Allen,5,0,0,22.8,0.0,0.0
Dennis Allen (fired on November 4),1,0,0,25.0,0.0,0.0
Dennis Erickson,1,0,1,10.0,0.0,1.0
Dennis Green,3,0,0,21.333333333333332,0.0,0.0
Dick Jauron,8,0,0,24.875,0.0,0.0
Dick LeBeau,2,0,0,24.0,0.0,0.0
Dick Vermeil,5,4,5,2.8,0.8,1.0
Dirk Koetter,13,1,2,14.23076923076923,0.07692307692307693,0.15384615384615385
Dom Capers,4,0,0,23.75,0.0,0.0
Don Breaux,3,0,0,16.666666666666668,0.0,0.0
Doug Marrone,10,2,4,18.2,0.2,0.4
Doug Nussmeier,1,0,0,27.0,0.0,0.0
Doug Pederson,11,0,4,15.0,0.0,0.36363636363636365
Dowell Loggains,7,0,0,26.285714285714285,0.0,0.0
Drew Petzing,3,0,1,18.666666666666668,0.0,0.3333333333333333
Eddie Faulkner,1,0,0,23.0,0.0,0.0
Edgar Bennett,3,1,1,10.666666666666666,0.3333333333333333,0.3333333333333333
Emmitt Thomas,1,0,0,31.0,0.0,0.0
Eric Bieniemy,6,5,5,5.666666666666667,0.8333333333333334,0.8333333333333334
Eric Mangini,5,0,0,20.6,0.0,0.0
Eric Studesville,1,0,0,22.0,0.0,0.0
Frank Reich,8,0,2,13.375,0.0,0.25
Frank Reich; fired on November 27,1,0,0,29.0,0.0,0.0
Frank Smith,4,1,2,14.5,0.25,0.5
Freddie Kitchens,3,0,0,24.333333333333332,0.0,0.0
Gary Kubiak,17,3,7,13.058823529411764,0.17647058823529413,0.4117647058823529
Geep Chryst,1,0,0,30.0,0.0,0.0
George Godsey,3,0,0,25.0,0.0,0.0
George Sefcik,1,0,0,20.0,0.0,0.0
George Seifert,1,0,0,30.0,0.0,0.0
Giff Smith,1,0,0,24.0,0.0,0.0
Gil Haskell,5,1,4,10.8,0.2,0.8
Grant Udinski,2,0,0,14.0,0.0,0.0
Greg Knapp,10,2,3,17.1,0.2,0.3
Greg Olson,14,0,2,21.928571428571427,0.0,0.14285714285714285
Greg Roman,12,2,3,13.0,0.16666666666666666,0.25
Greg Schiano,2,0,0,21.0,0.0,0.0
Gregg Williams,2,0,1,16.0,0.0,0.5
Gus Bradley,4,0,0,28.25,0.0,0.0
Hal Hunter,1,0,0,23.0,0.0,0.0
Harold Goodwin,5,1,1,18.0,0.2,0.2
Herm Edwards,1,0,0,12.0,0.0,0.0
