coach,qb_id,qb_name,tenure_first,tenure_last,n_roster_seasons,n_before,avg_resid_before,n_during_as_starter,avg_resid_during,n_after,avg_resid_after,after_minus_before
Bill Musgrave,00-0002110,Mark Brunell,2003,2003,1,3,-0.2878125746770144,0,,3,-0.0143518917831061,0.2734606828939082
Jack Del Rio,00-0002110,Mark Brunell,2003,2003,1,3,-0.2878125746770144,0,,3,-0.0143518917831061,0.2734606828939082
Jimmy Raye,00-0003292,Kerry Collins,2004,2005,2,4,-0.1047858827284784,2,-0.0369674568263277,1,0.0516862170087976,0.156472099737276
Norm Chow,00-0003292,Kerry Collins,2006,2007,2,6,-0.0821797407610948,0,,1,0.0516862170087976,0.1338659577698924
Norv Turner,00-0003292,Kerry Collins,2004,2005,2,4,-0.1047858827284784,2,-0.0369674568263277,1,0.0516862170087976,0.156472099737276
Brian Schottenheimer,00-0005106,Brett Favre,2008,2008,1,8,0.1178540474718724,1,0.0223214285714286,2,-0.1588541666666666,-0.2767082141385391
Eric Mangini,00-0005106,Brett Favre,2008,2008,1,8,0.1178540474718724,1,0.0223214285714286,2,-0.1588541666666666,-0.2767082141385391
Jeff Jagodzinski,00-0005106,Brett Favre,2006,2006,1,6,0.1824900251726627,1,-0.314607771260997,4,-0.0332217261904762,-0.2157117513631389
Mike McCarthy,00-0005106,Brett Favre,2006,2006,1,6,0.1824900251726627,1,-0.314607771260997,4,-0.0332217261904762,-0.2157117513631389
Dennis Erickson,00-0005755,Jeff Garcia,2003,2003,1,3,0.4295425008598193,1,0.1738535146846412,3,-0.1386350628323495,-0.5681775636921689
Dick Jauron,00-0005755,Jeff Garcia,2005,2005,1,5,0.2135113837184745,0,,2,-0.010490544912661,-0.2240019286311355
Rob Chudzinski,00-0005755,Jeff Garcia,2004,2004,1,4,0.3656202543160248,1,-0.3949240986717267,2,-0.010490544912661,-0.3761107992286858
Ted Tollner,00-0005755,Jeff Garcia,2005,2005,1,5,0.2135113837184745,0,,2,-0.010490544912661,-0.2240019286311355
Terry Robiskie,00-0005755,Jeff Garcia,2004,2004,1,4,0.3656202543160248,1,-0.3949240986717267,2,-0.010490544912661,-0.3761107992286858
Dave Wannstedt,00-0006423,Brian Griese,2003,2003,1,3,0.2177288119646792,0,,1,-0.2880040322580645,-0.5057328442227437
Norv Turner,00-0006423,Brian Griese,2003,2003,1,3,0.2177288119646792,0,,1,-0.2880040322580645,-0.5057328442227437
Chris Palmer,00-0007091,Matt Hasselbeck,2011,2011,1,9,0.0607081385625771,1,-0.144107404692082,1,-0.5875,-0.6482081385625771
"Chris Palmer (fired Nov 26, 2012)",00-0007091,Matt Hasselbeck,2012,2012,1,10,0.0402265842371111,0,,1,-0.5875,-0.6277265842371113
Dowell Loggains,00-0007091,Matt Hasselbeck,2012,2012,1,10,0.0402265842371111,0,,1,-0.5875,-0.6277265842371113
Greg Knapp,00-0007091,Matt Hasselbeck,2009,2009,1,7,0.1770118896515384,1,-0.3045754928315412,3,-0.3732472974527054,-0.5502591871042438
Jeremy Bates,00-0007091,Matt Hasselbeck,2010,2010,1,8,0.1168134668411535,1,-0.3881344876660341,2,-0.365803702346041,-0.4826171691871945
Jim Mora,00-0007091,Matt Hasselbeck,2009,2009,1,7,0.1770118896515384,1,-0.3045754928315412,3,-0.3732472974527054,-0.5502591871042438
Mike Munchak,00-0007091,Matt Hasselbeck,2011,2012,2,9,0.0607081385625771,1,-0.144107404692082,1,-0.5875,-0.6482081385625771
Pep Hamilton,00-0007091,Matt Hasselbeck,2013,2014,2,10,0.0402265842371111,0,,1,-0.5875,-0.6277265842371113
Bill Muir,00-0008442,Brad Johnson,2002,2004,3,2,0.0550336486357261,2,-0.0807299902487876,2,-0.282506037605658,-0.3375396862413842
