coach,qb_id,qb_name,tenure_first,tenure_last,n_roster_seasons,n_before,avg_resid_before,n_during_as_starter,avg_resid_during,n_after,avg_resid_after,after_minus_before
Brian Billick,00-0001335,Jeff Blake,2002,2002,1,1,0.1455557503506311,1,-0.2420754928315411,1,-0.4506344876660341,-0.5961902380166652
Jim Haslett,00-0001335,Jeff Blake,2001,2001,1,1,0.1455557503506311,0,,2,-0.3463549902487876,-0.49191074059941864
Matt Cavanaugh,00-0001335,Jeff Blake,2002,2002,1,1,0.1455557503506311,1,-0.2420754928315411,1,-0.4506344876660341,-0.5961902380166652
Mike McCarthy,00-0001335,Jeff Blake,2001,2001,1,1,0.1455557503506311,0,,2,-0.3463549902487876,-0.49191074059941864
Bill Belichick,00-0001361,Drew Bledsoe,2001,2001,1,1,-0.3273356664637858,0,,4,-0.12029420150269295,0.20704146496109288
Charlie Weis,00-0001361,Drew Bledsoe,2001,2001,1,1,-0.3273356664637858,0,,4,-0.12029420150269295,0.20704146496109288
Gregg Williams,00-0001361,Drew Bledsoe,2002,2002,1,1,-0.3273356664637858,1,0.1993905791788855,3,-0.2268557950632191,0.10047987140056672
Kevin Gilbride,00-0001361,Drew Bledsoe,2002,2002,1,1,-0.3273356664637858,1,0.1993905791788855,3,-0.2268557950632191,0.10047987140056672
Bill Musgrave,00-0002110,Mark Brunell,2003,2003,1,3,-0.28781257467701443,0,,3,-0.014351891783106197,0.27346068289390824
Bobby Petrino,00-0002110,Mark Brunell,2001,2001,1,1,0.1565353012781497,1,-0.5318636044880786,4,-0.13279127404260824,-0.28932657532075795
Jack Del Rio,00-0002110,Mark Brunell,2003,2003,1,3,-0.28781257467701443,0,,3,-0.014351891783106197,0.27346068289390824
Tom Coughlin,00-0002110,Mark Brunell,2001,2002,2,1,0.1565353012781497,2,-0.5099865126545965,3,-0.014351891783106197,-0.1708871930612559
Jim Fassel,00-0003292,Kerry Collins,2001,2002,2,1,0.25426944971537,2,-0.10152065581253805,4,-0.12315509141201633,-0.3774245411273863
Jimmy Raye,00-0003292,Kerry Collins,2004,2005,2,4,-0.1047858827284784,2,-0.03696745682632775,1,0.0516862170087976,0.156472099737276
Norm Chow,00-0003292,Kerry Collins,2006,2007,2,6,-0.08217974076109485,0,,1,0.0516862170087976,0.13386595776989246
Norv Turner,00-0003292,Kerry Collins,2004,2005,2,4,-0.1047858827284784,2,-0.03696745682632775,1,0.0516862170087976,0.156472099737276
Sean Payton,00-0003292,Kerry Collins,2001,2002,2,1,0.25426944971537,2,-0.10152065581253805,4,-0.12315509141201633,-0.3774245411273863
Sherman Lewis,00-0003739,Daunte Culpepper,2001,2001,1,1,0.4786494200797391,1,-0.0837431156569631,3,0.385843215475887,-0.09280620460385208
Brian Schottenheimer,00-0005106,Brett Favre,2008,2008,1,8,0.1178540474718724,1,0.0223214285714286,2,-0.15885416666666669,-0.2767082141385391
Eric Mangini,00-0005106,Brett Favre,2008,2008,1,8,0.1178540474718724,1,0.0223214285714286,2,-0.15885416666666669,-0.2767082141385391
Jeff Jagodzinski,00-0005106,Brett Favre,2006,2006,1,6,0.18249002517266275,1,-0.314607771260997,4,-0.03322172619047621,-0.21571175136313897
Mike McCarthy,00-0005106,Brett Favre,2006,2006,1,6,0.18249002517266275,1,-0.314607771260997,4,-0.03322172619047621,-0.21571175136313897
Mike Sherman,00-0005106,Brett Favre,2001,2001,1,1,0.1258018695014662,1,0.3163922491039427,9,0.02280570626751841,-0.10299616323394781
Tom Rossley,00-0005106,Brett Favre,2001,2005,5,1,0.1258018695014662,5,0.193827656306902,5,-0.08949893520458037,-0.21530080470604657
Chan Gailey,00-0005180,Jay Fiedler,2001,2001,1,1,-0.0531249999999999,1,0.0597611077297626,2,-0.05736554491266099,-0.004240544912661091
Greg Olson,00-0005589,Gus Frerotte,2006,2007,2,1,0.0181155123339658,0,,1,-0.2104482922201138,-0.2285638045540796
Jon Gruden,00-0005741,Rich Gannon,2001,2001,1,1,0.3924120234604104,1,0.3812855787476281,1,0.2791422287390029,-0.11326979472140747
Dennis Erickson,00-0005755,Jeff Garcia,2003,2003,1,3,0.4295425008598193,1,0.1738535146846412,3,-0.13863506283234958,-0.5681775636921689
Dick Jauron,00-0005755,Jeff Garcia,2005,2005,1,5,0.2135113837184745,0,,2,-0.010490544912661,-0.2240019286311355
Greg Knapp,00-0005755,Jeff Garcia,2001,2003,3,1,0.414133291047481,3,0.349449242072206,3,-0.13863506283234958,-0.5527683538798306
Rob Chudzinski,00-0005755,Jeff Garcia,2004,2004,1,4,0.3656202543160248,1,-0.3949240986717267,2,-0.010490544912661,-0.3761107992286858
Steve Mariucci,00-0005755,Jeff Garcia,2001,2005,3,1,0.414133291047481,2,0.43724710576598846,2,-0.010490544912661,-0.42462383596014197
Ted Tollner,00-0005755,Jeff Garcia,2005,2005,1,5,0.2135113837184745,0,,2,-0.010490544912661,-0.2240019286311355
