coach,qb_id,qb_name,n_seasons_with_coach,avg_pctile_with_coach,n_seasons_elsewhere,avg_pctile_elsewhere,delta
Brian Billick,00-0001335,Jeff Blake,1,0.3125,1,0.03125,0.28125
Dave McGinnis,00-0001335,Jeff Blake,1,0.03125,1,0.3125,-0.28125
Bill Parcells,00-0001361,Drew Bledsoe,1,0.5625,1,0.71875,-0.15625
Gregg Williams,00-0001361,Drew Bledsoe,1,0.71875,1,0.5625,0.15625
Bobby Petrino,00-0002110,Mark Brunell,1,0.032258064516129,4,0.390625,-0.358366935483871
Don Breaux,00-0002110,Mark Brunell,3,0.5104166666666666,2,0.0317540322580645,0.47866263440860213
Tom Coughlin,00-0002110,Mark Brunell,1,0.03125,4,0.39087701612903225,-0.35962701612903225
Jim Fassel,00-0003292,Kerry Collins,2,0.4758064516129032,2,0.5,-0.024193548387096808
Jimmy Raye,00-0003292,Kerry Collins,2,0.5,2,0.4758064516129032,0.024193548387096808
Mike Tice,00-0003739,Daunte Culpepper,3,0.9166666666666666,1,0.4193548387096774,0.49731182795698925
Sherman Lewis,00-0003739,Daunte Culpepper,1,0.4193548387096774,3,0.9166666666666666,-0.49731182795698925
Dan Henning,00-0004161,Jake Delhomme,4,0.5234375,2,0.5625,-0.0390625
Jeff Davidson,00-0004161,Jake Delhomme,2,0.5625,4,0.5234375,0.0390625
Brad Childress,00-0005106,Brett Favre,2,0.46875,7,0.664602534562212,-0.19585253456221197
Brian Schottenheimer,00-0005106,Brett Favre,1,0.625,8,0.6205897177419355,0.004410282258064502
Jeff Jagodzinski,00-0005106,Brett Favre,1,0.375,8,0.6518397177419355,-0.2768397177419355
Mike Sherman,00-0005106,Brett Favre,1,0.8709677419354839,8,0.58984375,0.2811239919354839
Tom Rossley,00-0005106,Brett Favre,4,0.6953125,5,0.5616935483870968,0.13361895161290316
Chan Gailey,00-0005180,Jay Fiedler,1,0.6451612903225806,2,0.484375,0.16078629032258063
Dave Wannstedt,00-0005180,Jay Fiedler,2,0.484375,1,0.6451612903225806,-0.16078629032258063
Brad Childress,00-0005589,Gus Frerotte,1,0.34375,1,0.5,-0.15625
Nick Saban,00-0005589,Gus Frerotte,1,0.5,1,0.34375,0.15625
Bill Muir,00-0005755,Jeff Garcia,2,0.53125,4,0.6872479838709677,-0.15599798387096775
Dennis Erickson,00-0005755,Jeff Garcia,1,0.71875,5,0.6185483870967742,0.10020161290322582
Greg Knapp,00-0005755,Jeff Garcia,2,0.9526209677419355,4,0.4765625,0.4760584677419355
Rob Chudzinski,00-0005755,Jeff Garcia,1,0.125,5,0.7372983870967742,-0.6122983870967742
Al Saunders,00-0006355,Trent Green,5,0.942741935483871,1,0.65625,0.286491935483871
Herm Edwards,00-0006355,Trent Green,1,0.65625,5,0.942741935483871,-0.286491935483871
Bill Muir,00-0006423,Brian Griese,1,0.28125,2,0.6950604838709677,-0.41381048387096775
Gary Kubiak,00-0006423,Brian Griese,2,0.6950604838709677,1,0.28125,0.41381048387096775
Chris Palmer,00-0007091,Matt Hasselbeck,1,0.4375,8,0.49105342741935487,-0.05355342741935487
Chuck Pagano,00-0007091,Matt Hasselbeck,1,0.125,8,0.5301159274193549,-0.40511592741935487
Gil Haskell,00-0007091,Matt Hasselbeck,5,0.6919354838709678,4,0.2265625,0.4653729838709678
Greg Knapp,00-0007091,Matt Hasselbeck,1,0.25,8,0.5144909274193549,-0.26449092741935487
Jeremy Bates,00-0007091,Matt Hasselbeck,1,0.09375,8,0.5340221774193549,-0.44027217741935487
Bill Muir,00-0008442,Brad Johnson,2,0.4375,3,0.3709677419354838,0.06653225806451618
Brad Childress,00-0008442,Brad Johnson,1,0.125,4,0.4657258064516129,-0.3407258064516129
Clyde Christensen,00-0008442,Brad Johnson,1,0.6129032258064516,4,0.34375,0.2691532258064516
Mike Tice,00-0008442,Brad Johnson,1,0.375,4,0.4032258064516129,-0.028225806451612878
Bob Bratkowski,00-0009311,Jon Kitna,3,0.46102150537634407,3,0.375,0.08602150537634407
Jason Garrett,00-0009311,Jon Kitna,1,0.59375,5,0.38286290322580646,0.21088709677419354
Mike Martz,00-0009311,Jon Kitna,2,0.265625,4,0.49420362903225806,-0.22857862903225806
Adam Gase,00-0010346,Peyton Manning,2,0.921875,9,0.8291890681003584,0.09268593189964158
Clyde Christensen,00-0010346,Peyton Manning,1,0.90625,10,0.8400201612903226,0.06622983870967736
Gary Kubiak,00-0010346,Peyton Manning,1,0.25,10,0.9056451612903226,-0.6556451612903226
Jim Caldwell,00-0010346,Peyton Manning,1,0.96875,10,0.8337701612903226,0.13497983870967745
Jim E. Mora,00-0010346,Peyton Manning,1,0.8064516129032258,10,0.85,-0.04354838709677422
John Fox,00-0010346,Peyton Manning,1,0.9375,10,0.8368951612903226,0.1006048387096774
Tom Moore,00-0010346,Peyton Manning,4,0.8984375,7,0.8161002304147466,0.08233726958525345
Andy Reid,00-0011022,Donovan McNabb,9,0.6476254480286738,1,0.25,0.39762544802867383
Kyle Shanahan,00-0011022,Donovan McNabb,1,0.25,9,0.6476254480286738,-0.39762544802867383
Brian Billick,00-0011024,Steve McNair,1,0.625,5,0.6173387096774194,0.007661290322580561
Mike Heimerdinger,00-0011024,Steve McNair,4,0.7326108870967742,2,0.390625,0.34198588709677424
Norm Chow,00-0011024,Steve McNair,1,0.15625,5,0.7110887096774194,-0.5548387096774194
Dave McGinnis,00-0013042,Jake Plummer,2,0.3996975806451613,4,0.75,-0.3503024193548387
Gary Kubiak,00-0013042,Jake Plummer,3,0.8229166666666666,3,0.4435483870967742,0.37936827956989244
Rick Dennison,00-0013042,Jake Plummer,1,0.53125,5,0.6536290322580645,-0.12237903225806446
Bill Cowher,00-0015700,Kordell Stewart,1,0.9032258064516128,1,0.28125,0.6219758064516128
Dick Jauron,00-0015700,Kordell Stewart,1,0.28125,1,0.9032258064516128,-0.6219758064516128
Herman Edwards,00-0016193,Vinny Testaverde,1,0.5483870967741935,1,0.28125,0.2671370967741935
