coach,qb_id,qb_name,n_with,raw_with,resid_with,n_elsewhere,raw_elsewhere,resid_elsewhere,raw_delta,resid_delta
Aaron Glenn,00-0028118,Tyrod Taylor,1,0.125,-0.4291982922201138,3,0.59375,0.04905846125161665,-0.46875,-0.47825675347173047
Aaron Kromer,00-0020531,Drew Brees,1,0.8125,0.3306155123339658,18,0.8489583333333334,0.2794179048743872,-0.03645833333333337,0.051197607459578576
Aaron Kromer,00-0024226,Jay Cutler,2,0.59375,0.018989074201487238,8,0.38671875,-0.1286438374465244,0.20703125,0.14763291164801165
Adam Gase,00-0010346,Peyton Manning,2,0.921875,0.22082111436950141,13,0.8768610421836228,0.33004197591796686,0.04501395781637718,-0.10922086154846544
Adam Gase,00-0024226,Jay Cutler,2,0.28125,-0.21937195424357425,8,0.46484375,-0.06905358033525902,-0.18359375,-0.15031837390831523
Adam Gase,00-0029701,Ryan Tannehill,2,0.328125,-0.2289502587867116,8,0.546875,0.04301432714191808,-0.21875,-0.2719645859286297
Adam Gase,00-0034869,Sam Darnold,2,0.03125,-0.4487162026273217,4,0.3671875,-0.13335010680280332,-0.3359375,-0.31536609582451836
Adam Stenavich,00-0023459,Aaron Rodgers,1,0.6875,0.0848214285714286,15,0.80625,0.23362374542988235,-0.11875000000000002,-0.14880231685845374
Al Saunders,00-0006355,Trent Green,5,0.942741935483871,0.40243224048087506,1,0.65625,0.1454362170087976,0.286491935483871,0.25699602347207745
Al Saunders,00-0021429,Carson Palmer,1,0.59375,0.0296283309957924,11,0.5397727272727273,0.0027102483125280297,0.05397727272727271,0.02691808268326437
Alex Van Pelt,00-0023682,Ryan Fitzpatrick,1,0.1875,-0.3573964853153587,9,0.3541666666666667,-0.1876519384056526,-0.16666666666666669,-0.1697445469097061
Alex Van Pelt,00-0033119,Jacoby Brissett,1,0.625,0.0557459677419355,3,0.34375,-0.15753121376479026,0.28125,0.21327718150672575
Alex Van Pelt,00-0033537,Deshaun Watson,1,0.15625,-0.4130040322580645,3,0.6666666666666666,0.17080594172003435,-0.5104166666666666,-0.5838099739780989
Alex Van Pelt,00-0034855,Baker Mayfield,2,0.625,0.10962613802405305,5,0.54375,0.05349815856286209,0.08125000000000004,0.05612797946119096
Alex Van Pelt,00-0039851,Drake Maye,1,0.1875,-0.1323464427750773,1,1.0,0.5431655491119971,-0.8125,-0.6755119918870744
Alex Wood,00-0021206,Josh McCown,1,0.21875,-0.2843479543666405,4,0.21875,-0.356738264404002,0.0,0.07239031003736152
Andy Reid,00-0011022,Donovan McNabb,9,0.6476254480286738,0.1044833252012599,2,0.4637096774193548,-0.005649791857663691,0.18391577060931902,0.11013311705892359
Andy Reid,00-0020245,Michael Vick,3,0.625,0.10639353289377011,4,0.5546875,0.04236129888491456,0.0703125,0.06403223400885555
Andy Reid,00-0023436,Alex Smith,5,0.7125,0.17219030499700408,9,0.3020833333333333,-0.22010280012443198,0.4104166666666667,0.39229310512143606
Anthony Lynn,00-0022942,Philip Rivers,3,0.8541666666666666,0.26929338450922885,12,0.7473958333333334,0.19203991684959654,0.10677083333333326,0.07725346765963231
Anthony Lynn,00-0028118,Tyrod Taylor,1,0.78125,0.2613259013282732,3,0.375,-0.18111626993117902,0.40625,0.44244217125945223
Anthony Lynn,00-0033106,Jared Goff,1,0.28125,-0.2386740986717267,8,0.73046875,0.1966420043960675,-0.44921875,-0.4353161030677942
Anthony Lynn,00-0036355,Justin Herbert,1,0.5625,0.2426535572249226,5,0.5375,0.027019448234603522,0.025000000000000022,0.21563410899031907
Antonio Pierce,00-0035289,Gardner Minshew,1,0.0625,-0.4574240986717267,2,0.40625,-0.026121464045218,-0.34375,-0.4313026346265087
Arthur Smith,00-0023459,Aaron Rodgers,1,0.46875,-0.1588541666666666,15,0.8208333333333333,0.249868785112422,-0.3520833333333333,-0.4087229517790886
Arthur Smith,00-0026143,Matt Ryan,1,0.1875,-0.3233137829912024,14,0.6540178571428571,0.13382855830799745,-0.4665178571428571,-0.45714234129919984
Arthur Smith,00-0029263,Russell Wilson,1,0.40625,-0.175357404692082,12,0.6796875,0.16745045943534667,-0.2734375,-0.3428078641274287
Arthur Smith,00-0029701,Ryan Tannehill,2,0.90625,0.3314890742014872,8,0.40234375,-0.09709550610513162,0.50390625,0.42858458030661883
Arthur Smith,00-0032268,Marcus Mariota,1,0.4375,-0.147900182592818,4,0.328125,-0.12373215440374352,0.109375,-0.024168028189074486
Ben Johnson,00-0033106,Jared Goff,3,0.8541666666666666,0.2812413720483033,6,0.59375,0.0817896367253172,0.26041666666666663,0.1994517353229861
Ben Johnson,00-0039918,Caleb Williams,1,0.78125,0.3244155491119971,1,0.21875,-0.1010964427750773,0.5625,0.4255119918870744
Ben McAdoo,00-0022803,Eli Manning,4,0.390625,-0.14159529204521493,10,0.609375,0.07490136442766995,-0.21875,-0.21649665647288488
Bill Belichick,00-0019596,Tom Brady,18,0.8327732974910395,0.2678016013286586,3,0.7604166666666666,0.1328125,0.07235663082437283,0.1349891013286586
Bill Belichick,00-0023662,Matt Cassel,1,0.90625,0.3786002304147465,5,0.275,-0.2798100583339019,0.63125,0.6584102887486484
Bill Belichick,00-0027939,Cam Newton,1,0.34375,-0.1756094208211144,8,0.67578125,0.17241832294338222,-0.33203125,-0.34802774376449663
Bill Callahan,00-0005741,Rich Gannon,2,0.952116935483871,0.3302139037433155,1,0.9032258064516128,0.3924120234604104,0.04889112903225823,-0.06219811971709488
Bill Callahan,00-0021678,Tony Romo,2,0.71875,0.18178254317367215,6,0.8020833333333334,0.2674615762498925,-0.08333333333333337,-0.08567903307622032
Bill Callahan,00-0028986,Case Keenum,1,0.09375,-0.491650182592818,3,0.375,-0.1696915387483833,-0.28125,-0.32195864384443473
Bill Cowher,00-0015700,Kordell Stewart,1,0.9032258064516128,0.3339717741935483,2,0.38256048387096775,-0.15946239996699935,0.520665322580645,0.49343417416054763
Bill Cowher,00-0022924,Ben Roethlisberger,3,0.75,0.32340705065675973,14,0.6919642857142857,0.13275973642299368,0.0580357142857143,0.19064731423376605
Bill Lazor,00-0027973,Andy Dalton,2,0.359375,-0.21795210742544124,10,0.471875,-0.02296785620846183,-0.11249999999999999,-0.1949842512169794
Bill Lazor,00-0029701,Ryan Tannehill,1,0.6875,0.1844020456333595,9,0.4826388888888889,-0.033131994007937565,0.2048611111111111,0.21753403964129706
