coach,qb_id,qb_name,n_seasons_with,pctile_with,n_seasons_elsewhere,pctile_elsewhere,delta
Aaron Glenn,00-0028118,Tyrod Taylor,1,0.125,3,0.59375,-0.46875
Aaron Kromer,00-0020531,Drew Brees,1,0.8125,18,0.8489583333333334,-0.03645833333333337
Aaron Kromer,00-0024226,Jay Cutler,2,0.59375,8,0.38671875,0.20703125
Adam Gase,00-0010346,Peyton Manning,2,0.921875,13,0.8768610421836228,0.04501395781637718
Adam Gase,00-0024226,Jay Cutler,2,0.28125,8,0.46484375,-0.18359375
Adam Gase,00-0029701,Ryan Tannehill,2,0.328125,8,0.546875,-0.21875
Adam Gase,00-0034869,Sam Darnold,2,0.03125,4,0.3671875,-0.3359375
Adam Stenavich,00-0023459,Aaron Rodgers,1,0.6875,15,0.80625,-0.11875000000000002
Al Saunders,00-0006355,Trent Green,5,0.942741935483871,1,0.65625,0.286491935483871
Al Saunders,00-0021429,Carson Palmer,1,0.59375,11,0.5397727272727273,0.05397727272727271
Alex Van Pelt,00-0023682,Ryan Fitzpatrick,1,0.1875,9,0.3541666666666667,-0.16666666666666669
Alex Van Pelt,00-0033119,Jacoby Brissett,1,0.625,3,0.34375,0.28125
Alex Van Pelt,00-0033537,Deshaun Watson,1,0.15625,3,0.6666666666666666,-0.5104166666666666
Alex Van Pelt,00-0034855,Baker Mayfield,2,0.625,5,0.54375,0.08125000000000004
Alex Van Pelt,00-0039851,Drake Maye,1,0.1875,1,1.0,-0.8125
Alex Wood,00-0021206,Josh McCown,1,0.21875,4,0.21875,0.0
Andy Reid,00-0011022,Donovan McNabb,9,0.6476254480286738,2,0.4637096774193548,0.18391577060931902
Andy Reid,00-0020245,Michael Vick,3,0.625,4,0.5546875,0.0703125
Andy Reid,00-0023436,Alex Smith,5,0.7125,9,0.3020833333333333,0.4104166666666667
Anthony Lynn,00-0022942,Philip Rivers,3,0.8541666666666666,12,0.7473958333333334,0.10677083333333326
Anthony Lynn,00-0028118,Tyrod Taylor,1,0.78125,3,0.375,0.40625
Anthony Lynn,00-0033106,Jared Goff,1,0.28125,8,0.73046875,-0.44921875
Anthony Lynn,00-0036355,Justin Herbert,1,0.5625,5,0.5375,0.025000000000000022
Antonio Pierce,00-0035289,Gardner Minshew,1,0.0625,2,0.40625,-0.34375
Arthur Smith,00-0023459,Aaron Rodgers,1,0.46875,15,0.8208333333333333,-0.3520833333333333
Arthur Smith,00-0026143,Matt Ryan,1,0.1875,14,0.6540178571428571,-0.4665178571428571
Arthur Smith,00-0029263,Russell Wilson,1,0.40625,12,0.6796875,-0.2734375
Arthur Smith,00-0029701,Ryan Tannehill,2,0.90625,8,0.40234375,0.50390625
Arthur Smith,00-0032268,Marcus Mariota,1,0.4375,4,0.328125,0.109375
Ben Johnson,00-0033106,Jared Goff,3,0.8541666666666666,6,0.59375,0.26041666666666663
Ben Johnson,00-0039918,Caleb Williams,1,0.78125,1,0.21875,0.5625
Ben McAdoo,00-0022803,Eli Manning,4,0.390625,10,0.609375,-0.21875
Bill Belichick,00-0019596,Tom Brady,18,0.8327732974910395,3,0.7604166666666666,0.07235663082437283
Bill Belichick,00-0023662,Matt Cassel,1,0.90625,5,0.275,0.63125
Bill Belichick,00-0027939,Cam Newton,1,0.34375,8,0.67578125,-0.33203125
Bill Callahan,00-0005741,Rich Gannon,2,0.952116935483871,1,0.9032258064516128,0.04889112903225823
Bill Callahan,00-0021678,Tony Romo,2,0.71875,6,0.8020833333333334,-0.08333333333333337
Bill Callahan,00-0028986,Case Keenum,1,0.09375,3,0.375,-0.28125
Bill Cowher,00-0015700,Kordell Stewart,1,0.9032258064516128,2,0.38256048387096775,0.520665322580645
Bill Cowher,00-0022924,Ben Roethlisberger,3,0.75,14,0.6919642857142857,0.0580357142857143
Bill Lazor,00-0027973,Andy Dalton,2,0.359375,10,0.471875,-0.11249999999999999
Bill Lazor,00-0029701,Ryan Tannehill,1,0.6875,9,0.4826388888888889,0.2048611111111111
Bill Lazor,00-0033869,Mitch Trubisky,1,0.28125,3,0.3229166666666667,-0.041666666666666685
Bill Lazor,00-0036945,Justin Fields,1,0.125,2,0.34375,-0.21875
Bill Muir,00-0005755,Jeff Garcia,2,0.53125,5,0.723991935483871,-0.19274193548387097
Bill Muir,00-0006423,Brian Griese,1,0.28125,3,0.7429435483870969,-0.46169354838709686
Bill Muir,00-0008442,Brad Johnson,2,0.4375,4,0.42338709677419356,0.014112903225806439
Bill Muir,00-0023662,Matt Cassel,1,0.1875,5,0.41875,-0.23125
Bill Musgrave,00-0022177,Byron Leftwich,2,0.5,1,0.71875,-0.21875
Bill Musgrave,00-0028986,Case Keenum,1,0.34375,3,0.2916666666666667,0.052083333333333315
Bill Musgrave,00-0031280,Derek Carr,2,0.53125,9,0.4236111111111111,0.1076388888888889
Bill O'Brien,00-0019596,Tom Brady,1,0.9375,20,0.8166834677419356,0.12081653225806444
Bill O'Brien,00-0023682,Ryan Fitzpatrick,1,0.34375,9,0.3368055555555556,0.00694444444444442
Bill O'Brien,00-0026625,Brian Hoyer,1,0.3125,2,0.390625,-0.078125
Bill O'Brien,00-0033537,Deshaun Watson,3,0.6666666666666666,1,0.15625,0.5104166666666666
Bill O'Brien,00-0036972,Mac Jones,1,0.0625,2,0.5,-0.4375
Bill Parcells,00-0001361,Drew Bledsoe,1,0.5625,4,0.33795362903225806,0.22454637096774194
Bill Parcells,00-0021678,Tony Romo,1,0.90625,7,0.7633928571428571,0.1428571428571429
Bob Bratkowski,00-0009311,Jon Kitna,3,0.46102150537634407,4,0.3941532258064516,0.06686827956989244
Bob Bratkowski,00-0021429,Carson Palmer,6,0.6302083333333334,6,0.4583333333333333,0.17187500000000006
Bob Bratkowski,00-0023682,Ryan Fitzpatrick,1,0.0625,9,0.3680555555555556,-0.3055555555555556
Bob Bratkowski,00-0027948,Blaine Gabbert,1,0.09375,2,0.078125,0.015625
Bobby Jackson,00-0017200,Kurt Warner,1,1.0,6,0.59375,0.40625
Bobby Petrino,00-0002110,Mark Brunell,1,0.032258064516129,5,0.4608870967741936,-0.4286290322580646
Bobby Petrino,00-0021141,Joey Harrington,1,0.0625,5,0.19375,-0.13125
Bobby Slowik,00-0039163,C.J. Stroud,2,0.421875,1,0.34375,0.078125
Brad Childress,00-0005106,Brett Favre,2,0.46875,9,0.6858198924731183,-0.21706989247311825
Brad Childress,00-0005589,Gus Frerotte,1,0.34375,1,0.5,-0.15625
Brad Childress,00-0008442,Brad Johnson,1,0.125,5,0.4887096774193548,-0.3637096774193548
Brad Childress,00-0011022,Donovan McNabb,4,0.5859375,7,0.6303283410138248,-0.044390841013824844
Brad Childress,00-0023436,Alex Smith,1,0.5625,13,0.43990384615384615,0.12259615384615385
Brad Childress,00-0024279,Tarvaris Jackson,1,0.53125,1,0.34375,0.1875
Brad Idzik,00-0027973,Andy Dalton,1,0.3125,11,0.4659090909090909,-0.15340909090909088
Brad Idzik,00-0039150,Bryce Young,1,0.21875,1,0.125,0.09375
Brandon Staley,00-0036355,Justin Herbert,2,0.71875,4,0.453125,0.265625
Brandon Staley; fired on December 15,00-0036355,Justin Herbert,1,0.28125,5,0.59375,-0.3125
Brian Billick,00-0001335,Jeff Blake,1,0.3125,2,0.3704637096774194,-0.05796370967741937
Brian Billick,00-0006300,Elvis Grbac,1,0.2258064516129032,1,0.8064516129032258,-0.5806451612903225
Brian Billick,00-0011024,Steve McNair,1,0.625,6,0.6058467741935484,0.019153225806451624
Brian Callahan,00-0027973,Andy Dalton,1,0.125,11,0.48295454545454547,-0.35795454545454547
Brian Callahan,00-0034771,Mason Rudolph,1,0.09375,1,0.0625,0.03125
Brian Callahan,00-0036442,Joe Burrow,4,0.59375,2,0.625,-0.03125
Brian Daboll,00-0023662,Matt Cassel,1,0.0625,5,0.44375,-0.38125
Brian Daboll,00-0027688,Colt McCoy,1,0.28125,1,0.21875,0.0625
Brian Daboll,00-0034857,Josh Allen,4,0.5703125,4,0.953125,-0.3828125
Brian Daboll,00-0035710,Daniel Jones,3,0.3229166666666667,4,0.296875,0.026041666666666685
Brian Flores,00-0023682,Ryan Fitzpatrick,1,0.21875,9,0.3506944444444444,-0.13194444444444442
Brian Flores,00-0036212,Tua Tagovailoa,2,0.40625,4,0.578125,-0.171875
Brian Johnson,00-0036389,Jalen Hurts,1,0.8125,4,0.7421875,0.0703125
Brian Schottenheimer,00-0005106,Brett Favre,1,0.625,10,0.6484879032258064,-0.023487903225806406
Brian Schottenheimer,00-0019559,Chad Pennington,2,0.453125,4,0.75,-0.296875
Brian Schottenheimer,00-0020679,Shaun Hill,1,0.125,2,0.3125,-0.1875
Brian Schottenheimer,00-0026898,Mark Sanchez,3,0.375,2,0.359375,0.015625
Brian Schottenheimer,00-0027854,Sam Bradford,1,0.375,4,0.2265625,0.1484375
Brian Schottenheimer,00-0029263,Russell Wilson,3,0.7604166666666666,10,0.628125,0.13229166666666659
Brian Schottenheimer,00-0033077,Dak Prescott,3,0.6666666666666666,6,0.75,-0.08333333333333337
Bruce Arians,00-0019596,Tom Brady,2,0.9375,19,0.8103247028862479,0.12717529711375208
Bruce Arians,00-0021429,Carson Palmer,4,0.4765625,8,0.578125,-0.1015625
Bruce Arians,00-0022924,Ben Roethlisberger,5,0.7,12,0.703125,-0.0031250000000000444
Bruce Arians,00-0029668,Andrew Luck,1,0.625,4,0.703125,-0.078125
Bruce Arians,00-0031503,Jameis Winston,1,0.46875,6,0.4427083333333333,0.026041666666666685
Bruce Coslet,00-0020562,Chad Hutchinson,1,0.09375,1,0.03125,0.0625
Butch Davis,00-0003535,Tim Couch,1,0.1290322580645161,2,0.34375,-0.2147177419354839
Byron Leftwich,00-0019596,Tom Brady,3,0.7604166666666666,18,0.8327732974910395,-0.07235663082437283
Byron Leftwich,00-0031503,Jameis Winston,1,0.46875,6,0.4427083333333333,0.026041666666666685
Cam Cameron,00-0020531,Drew Brees,4,0.7421875,15,0.875,-0.1328125
Cam Cameron,00-0022942,Philip Rivers,1,0.96875,14,0.7544642857142857,0.2142857142857143
Cam Cameron,00-0026158,Joe Flacco,5,0.6375,8,0.36328125,0.27421874999999996
Carl Smith,00-0021231,David Garrard,1,0.75,4,0.6640625,0.0859375
Carl Smith,00-0022177,Byron Leftwich,1,0.71875,2,0.5,0.21875
Chad O'Shea,00-0023682,Ryan Fitzpatrick,1,0.21875,9,0.3506944444444444,-0.13194444444444442
Chan Gailey,00-0005180,Jay Fiedler,1,0.6451612903225806,3,0.4949596774193548,0.1502016129032258
Chan Gailey,00-0023682,Ryan Fitzpatrick,5,0.4,5,0.275,0.125
Chan Gailey,00-0036212,Tua Tagovailoa,1,0.46875,5,0.53125,-0.0625
Charlie Weis,00-0019596,Tom Brady,4,0.6224798387096774,17,0.8694852941176471,-0.2470054554079697
