category,rank,player,stat_value,years_active,team_clue
Points Leaders,1,Adam Vinatieri,2673,1996-2019,2TM
Points Leaders,2,Morten Andersen+,2544,1982-2007,5TM
Points Leaders,3,Gary Anderson,2434,1982-2004,5TM
Points Leaders,4,Jason Hanson,2150,1992-2012,det
Points Leaders,5,John Carney,2062,1988-2010,7TM
Points Leaders,6,Matt Stover,2004,1991-2009,3TM
Points Leaders,7,George Blanda+,2002,1949-1975,4TM
Points Leaders,8,Jason Elam,1983,1993-2009,2TM
Points Leaders,9,John Kasay,1970,1991-2011,3TM
Points Leaders,10,Robbie Gould,1961,2005-2022,3TM
Points Leaders,11,Mason Crosby,1939,2007-2023,2TM
Points Leaders,12,Sebastian Janikowski,1913,2000-2018,2TM
Points Leaders,13,Stephen Gostkowski,1875,2006-2020,2TM
Points Leaders,14,Phil Dawson,1847,1999-2018,3TM
Points Leaders,15,Matt Prater,1780,2007-2023,4TM
Points Leaders,16,Matt Bryant,1758,2002-2019,5TM
Points Leaders,17,Norm Johnson,1736,1982-1999,4TM
Points Leaders,18,David Akers,1721,1998-2013,4TM
Points Leaders,19,Nick Lowery,1711,1978-1996,3TM
Points Leaders,20,Jan Stenerud+,1699,1967-1985,3TM
Points Leaders,21,Ryan Longwell,1687,1997-2012,3TM
Points Leaders,22,Justin Tucker,1649,2012-2023,BLT
Points Leaders,23,Nick Folk,1632,2007-2023,5TM
Points Leaders,24,Lou Groza+,1608,1946-1967,CLV
Points Leaders,25,Eddie Murray,1594,1980-2000,7TM
Points Leaders,26,Al Del Greco,1584,1984-2000,3TM
Points Leaders,27,Olindo Mare,1555,1997-2012,5TM
Points Leaders,28,Steve Christie,1476,1990-2004,4TM
Points Leaders,29,Pat Leahy,1470,1974-1991,nyj
Points Leaders,30,Jay Feely,1451,2001-2014,6TM
Points Leaders,31,Jim Turner,1439,1964-1979,2TM
Points Leaders,32,Ryan Succop,1430,2009-2022,3TM
Points Leaders,33,Matt Bahr,1422,1979-1995,6TM
Points Leaders,34,Jeff Wilkins,1416,1994-2007,3TM
Points Leaders,35,Josh Brown,1395,2003-2016,4TM
Points Leaders,36,Mark Moseley,1382,1970-1986,4TM
Points Leaders,37,Jim Bakken,1380,1962-1978,crd
Points Leaders,38,Greg Zuerlein,1369,2012-2023,3TM
Points Leaders,39,Fred Cox,1365,1963-1977,min
Points Leaders,40,Graham Gano,1356,2009-2023,3TM
Points Leaders,41,Rian Lindell,1350,2000-2013,3TM
Points Leaders,42,Shayne Graham,1260,2001-2015,10T
Points Leaders,43,Jerry Rice+,1256,1985-2004,3TM
Points Leaders,44,Jim Breech,1246,1979-1992,2TM
Points Leaders,45,Pete Stoyanovich,1236,1989-2000,3TM
Points Leaders,46,Chris Bahr,1213,1976-1989,3TM
Points Leaders,47,Kevin Butler,1208,1985-1997,2TM
Points Leaders,48,Mike Nugent,1180,2005-2020,8TM
Points Leaders,49,Neil Rackers,1164,2000-2011,3TM
Points Leaders,50,Stephen Hauschka,1149,2008-2020,5TM
Official Sacks Leaders,1,Bruce Smith+,200,1985-2003,BUF
Official Sacks Leaders,2,Reggie White+,198,1985-2000,PHI
Official Sacks Leaders,3,Kevin Greene+,160,1985-1999,LA
Official Sacks Leaders,4,Julius Peppers+,159.5,2002-2018,CAR
Official Sacks Leaders,5,Chris Doleman+,150.5,1985-1999,MIN
Official Sacks Leaders,6,Michael Strahan+,141.5,1993-2007,NYG
Official Sacks Leaders,7,Jason Taylor+,139.5,1997-2011,MIA
Official Sacks Leaders,8,Terrell Suggs,139,2003-2019,BLT
Official Sacks Leaders,9,DeMarcus Ware+,138.5,2005-2016,DAL
Official Sacks Leaders,10,Richard Dent+,137.5,1983-1997,CHI
Official Sacks Leaders,11,John Randle+,137.5,1990-2003,MIN
Official Sacks Leaders,12,Jared Allen,136,2004-2015,MIN
Official Sacks Leaders,13,John Abraham,133.5,2000-2014,ATL
Official Sacks Leaders,14,Leslie O'Neal,132.5,1986-1999,SDG
Official Sacks Leaders,15,Lawrence Taylor+,132.5,1981-1993,NYG
Official Sacks Leaders,16,Rickey Jackson+,128,1981-1995,NO
Official Sacks Leaders,17,Derrick Thomas+,126.5,1989-1999,KC
Official Sacks Leaders,18,Dwight Freeney+,125.5,2002-2017,IND
Official Sacks Leaders,19,Von Miller,123.5,2011-2023,DEN
Official Sacks Leaders,20,Robert Mathis,123,2003-2016,IND
Official Sacks Leaders,21,Simeon Rice,122,1996-2007,TB
Official Sacks Leaders,22,Clyde Simmons,121.5,1986-2000,PHI
Official Sacks Leaders,23,Cameron Jordan,117.5,2011-2023,NO
Official Sacks Leaders,24,J.J. Watt,114.5,2011-2022,HST
Official Sacks Leaders,25,Sean Jones,113,1984-1996,HST
Official Sacks Leaders,26,Justin Houston,112,2011-2023,KC
Official Sacks Leaders,27,Chandler Jones,112,2012-2022,ARZ
Official Sacks Leaders,28,Aaron Donald,111,2014-2023,LA
Official Sacks Leaders,29,Greg Townsend,109.5,1983-1997,RAI
Official Sacks Leaders,30,Pat Swilling,107.5,1986-1998,NO
Official Sacks Leaders,31,Trace Armstrong,106,1989-2003,CHI
Official Sacks Leaders,32,Calais Campbell,105.5,2008-2023,ARZ
Official Sacks Leaders,33,Elvis Dumervil,105.5,2006-2017,DEN
Official Sacks Leaders,34,Kevin Carter,104.5,1995-2008,STL
Official Sacks Leaders,35,Neil Smith,104.5,1988-2000,KC
Official Sacks Leaders,36,Jim Jeffcoat,102.5,1983-1997,DAL
Official Sacks Leaders,37,Robert Quinn,102,2011-2022,STL
Official Sacks Leaders,38,Khalil Mack,101.5,2014-2023,OAK
Official Sacks Leaders,39,William Fuller,100.5,1986-1998,HST
Official Sacks Leaders,40,Charles Haley+,100.5,1986-1999,SF
Official Sacks Leaders,41,Cameron Wake,100.5,2009-2019,MIA
Official Sacks Leaders,42,Carlos Dunlap,100,2010-2022,CIN
Official Sacks Leaders,43,Andre Tippett+,100,1982-1993,NE
Official Sacks Leaders,44,Joey Porter,98,1999-2011,PIT
Official Sacks Leaders,45,Simon Fletcher,97.5,1985-1995,DEN
Official Sacks Leaders,46,Jacob Green,97.5,1980-1992,SEA
Official Sacks Leaders,47,Dexter Manley,97.5,1981-1991,WAS
Official Sacks Leaders,48,Mario Williams,97.5,2006-2016,HST
Official Sacks Leaders,49,Warren Sapp+,96.5,1995-2007,TB
Official Sacks Leaders,50,T.J. Watt,96.5,2017-2023,PIT
