league,player,position,team,dynasty_value,ecr_overall,ecr_position,age
Alumni Committee,Jaxon Smith-Njigba,WR,SEA,9854,2.7,2.3,24.5
Alumni Committee,Amon-Ra St. Brown,WR,DET,9119,6,4.7,26.8
Alumni Committee,Drake London,WR,ATL,7277,15.6,7.6,25.1
Alumni Committee,Tetairoa McMillan,WR,CAR,6992,17.3,9.9,23.4
Alumni Committee,Chris Olave,WR,NOS,6174,22.6,13.9,26.1
Alumni Committee,Breece Hall,RB,NYJ,5974,24,10.5,25.2
Alumni Committee,Drake Maye,QB,NEP,5835,25,2.1,24
Alumni Committee,Luther Burden,WR,CHI,4527,35.8,19.4,22.7
Alumni Committee,Zay Flowers,WR,BAL,4432,36.7,18.6,25.9
Alumni Committee,Sam LaPorta,TE,DET,3813,43.1,7.1,25.6
Alumni Committee,TreVeyon Henderson,RB,NEP,3328,48.9,13.1,23.8
Alumni Committee,Josh Jacobs,RB,GBP,1421,85.1,22.9,28.5
Alumni Committee,Isaiah Likely,TE,NYG,1192,92.6,12.5,26.3
Alumni Committee,Xavier Worthy,WR,KCC,944,102.5,46.5,23.3
Alumni Committee,Zach Charbonnet,RB,SEA,583,123,31.3,25.6
Alumni Committee,Jalen Coker,WR,CAR,556,125,57.7,24.8
Alumni Committee,Brandon Aiyuk,WR,SFO,469,132.3,87.2,28.4
Alumni Committee,Mark Andrews,TE,BAL,433,135.7,18.9,30.9
Alumni Committee,Juwan Johnson,TE,NOS,258,157.7,22.4,29.9
Alumni Committee,J.K. Dobbins,RB,DEN,252,158.7,41,27.7
Alumni Committee,Pat Bryant,WR,DEN,158,178.5,76.8,23.7
Alumni Committee,Elic Ayomanor,WR,TEN,95,200.1,84.7,23.2
Alumni Committee,Chimere Dike,WR,TEN,86,204.6,86.5,24.7
Alumni Committee,Tory Horton,WR,SEA,81,207.2,88.8,23.7
Alumni Committee,Jacoby Brissett,QB,ARI,63,217.7,34.2,33.7
Alumni Committee,Dont'e Thornton,WR,LVR,3,342.9,129.2,23.7
Alumni Committee,Brandon McManus,PK,FA,,,,35.1
Alumni Committee,BAL D/ST,DEF,BAL,,,,
Alumni Committee,JAX D/ST,DEF,JAX,,,,
Alumni Committee,TB D/ST,DEF,TB,,,,
Quarantine Dynasty,Ja'Marr Chase,WR,CIN,9034,6.4,1,26.5
Quarantine Dynasty,Joe Burrow,QB,CIN,8399,9.5,5.2,29.7
Quarantine Dynasty,Drake Maye,QB,NEP,6425,20.9,2.1,24
Quarantine Dynasty,Brock Purdy,QB,SFO,5835,25,12.2,26.6
Quarantine Dynasty,Christian McCaffrey,RB,SFO,3391,48.1,14.5,30.2
Quarantine Dynasty,TreVeyon Henderson,RB,NEP,2504,61,13.1,23.8
Quarantine Dynasty,Quinshon Judkins,RB,CLE,2211,66.3,14.4,22.8
Quarantine Dynasty,Kyle Pitts,TE,ATL,1832,74.3,7.9,25.9
Quarantine Dynasty,Terry McLaurin,WR,WAS,1445,84.4,32.9,30.9
Quarantine Dynasty,Alec Pierce,WR,IND,1369,86.7,34.2,26.3
Quarantine Dynasty,Omar Cooper Jr.,WR,NYJ,824,108.3,43.6,22.7
Quarantine Dynasty,Jayden Reed,WR,GBP,656,118,48.5,26.3
Quarantine Dynasty,Michael Penix Jr.,QB,ATL,585,122.9,29.6,26.3
Quarantine Dynasty,Matthew Golden,WR,GBP,576,123.5,51.8,23
Quarantine Dynasty,Khalil Shakir,WR,BUF,433,135.7,57.4,26.5
Quarantine Dynasty,Chuba Hubbard,RB,CAR,364,143.1,33.9,27.2
Quarantine Dynasty,Dallas Goedert,TE,PHI,341,145.9,19,31.6
Quarantine Dynasty,Jauan Jennings,WR,MIN,225,163.6,68.6,29.1
Quarantine Dynasty,J.K. Dobbins,RB,DEN,211,166.2,41,27.7
Quarantine Dynasty,Tyler Allgeier,RB,ARI,193,170.1,42.7,26.3
Quarantine Dynasty,Pat Bryant,WR,DEN,139,183.9,76.8,23.7
Quarantine Dynasty,Chris Brazzell II,WR,CAR,94,200.8,86,22.8
Quarantine Dynasty,Cade Otton,TE,TBB,76,209.7,32.8,27.3
Quarantine Dynasty,Tre Tucker,WR,LVR,59,220.6,92.7,25.4
Quarantine Dynasty,Bryce Lance,WR,NOS,50,227.2,97.7,24
Quarantine Dynasty,Justin Joly,TE,DEN,46,230.8,38.7,22.1
Quarantine Dynasty,LeQuint Allen,RB,JAC,13,284.6,87.8,22
Quarantine Dynasty,Joe Flacco,QB,CIN,3,344.7,53.6,41.6
(unnamed league),Patrick Mahomes,QB,KCC,8599,8.5,8,30.9
(unnamed league),Colston Loveland,TE,CHI,3175,50.9,3,22.3
(unnamed league),Kyler Murray,QB,MIN,3152,51.2,21.2,29
(unnamed league),Fernando Mendoza,QB,LVR,3001,53.3,18,22.9
(unnamed league),Terry McLaurin,WR,WAS,1445,84.4,32.9,30.9
(unnamed league),KC Concepcion,WR,CLE,1428,84.9,33.3,21.9
(unnamed league),Alec Pierce,WR,IND,1369,86.7,34.2,26.3
(unnamed league),Eli Stowers,TE,PHI,978,101,11.8,23.3
(unnamed league),D'Andre Swift,RB,CHI,935,102.9,24.6,27.6
(unnamed league),Michael Wilson,WR,ARI,890,105,41.3,26.5
(unnamed league),Isaiah Likely,TE,NYG,886,105.2,12.5,26.3
(unnamed league),Josh Downs,WR,IND,803,109.4,43.3,25
(unnamed league),Anthony Richardson,QB,IND,792,110,38.2,24.2
(unnamed league),Michael Pittman,WR,PIT,746,112.5,45.2,28.9
(unnamed league),Jonah Coleman,RB,DEN,296,151.8,37,23
