league,player,position,team,age,dynasty_value,dyn_percentile,redraft_percentile,gap,signal
Alumni Committee,Tory Horton,WR,SEA,23.7,81,0.6251090909090908,0.4966666666666667,0.12844242424242414,fairly priced
Alumni Committee,Brandon Aiyuk,WR,SFO,28.4,469,0.6337818181818182,0.5141666666666667,0.11961515151515156,fairly priced
Alumni Committee,Elic Ayomanor,WR,TEN,23.2,95,0.6379272727272727,0.5207936507936508,0.11713362193362187,fairly priced
Alumni Committee,Chimere Dike,WR,TEN,24.7,86,0.6298363636363636,0.539781746031746,0.09005461760461764,fairly priced
Alumni Committee,Pat Bryant,WR,DEN,23.7,158,0.6772363636363636,0.6009126984126985,0.07632366522366518,fairly priced
Alumni Committee,Xavier Worthy,WR,KCC,23.3,944,0.8154545454545454,0.7498611111111111,0.06559343434343434,fairly priced
Alumni Committee,Isaiah Likely,TE,NYG,26.3,1192,0.833509090909091,0.7704960317460318,0.06301305916305922,fairly priced
Alumni Committee,Zach Charbonnet,RB,SEA,25.6,583,0.7781272727272728,0.7169841269841271,0.06114314574314572,fairly priced
Alumni Committee,Sam LaPorta,TE,DET,25.6,3813,0.8907272727272727,0.838313492063492,0.05241378066378066,fairly priced
Alumni Committee,TreVeyon Henderson,RB,NEP,23.8,3328,0.9129636363636364,0.8745833333333334,0.03838030303030304,fairly priced
Alumni Committee,Tetairoa McMillan,WR,CAR,23.4,6992,0.9704181818181818,0.9351190476190476,0.03529913419913422,fairly priced
Alumni Committee,Drake Maye,QB,NEP,24,5835,0.9563090909090909,0.9242261904761905,0.03208290043290041,fairly priced
Alumni Committee,Luther Burden,WR,CHI,22.7,4527,0.9366727272727273,0.9101388888888888,0.026533838383838493,fairly priced
Alumni Committee,Dont'e Thornton,WR,LVR,23.7,3,0.37834545454545454,0.35609126984126993,0.02225418470418461,fairly priced
Alumni Committee,Jalen Coker,WR,CAR,24.8,556,0.7746,0.7533730158730159,0.021226984126984094,fairly priced
Alumni Committee,Breece Hall,RB,NYJ,25.2,5974,0.9374545454545454,0.9209722222222222,0.016482323232323237,fairly priced
Alumni Committee,Mark Andrews,TE,BAL,30.9,433,0.7551454545454546,0.749047619047619,0.006097835497835602,fairly priced
Alumni Committee,Jaxon Smith-Njigba,WR,SEA,24.5,9854,0.9969090909090909,0.9926785714285714,0.004230519480519446,fairly priced
Alumni Committee,Drake London,WR,ATL,25.1,7277,0.978909090909091,0.9774801587301587,0.0014289321789322518,fairly priced
Alumni Committee,Amon-Ra St. Brown,WR,DET,26.8,9119,0.9896909090909091,0.9907936507936508,-0.0011027417027417163,fairly priced
Alumni Committee,Juwan Johnson,TE,NOS,29.9,258,0.7150363636363637,0.716388888888889,-0.0013525252525252718,fairly priced
Alumni Committee,Zay Flowers,WR,BAL,25.9,4432,0.9401818181818182,0.9437103174603174,-0.0035284992784991864,fairly priced
Alumni Committee,Chris Olave,WR,NOS,26.1,6174,0.9550363636363637,0.9611706349206349,-0.006134271284271242,fairly priced
Alumni Committee,Jacoby Brissett,QB,ARI,33.7,63,0.6059636363636364,0.6139682539682539,-0.00800461760461757,fairly priced
Alumni Committee,Brandon McManus,PK,FA,35.1,,0.4533272727272727,0.47817460317460314,-0.02484733044733045,fairly priced
Alumni Committee,Josh Jacobs,RB,GBP,28.5,1421,0.8470363636363636,0.914345238095238,-0.06730887445887446,fairly priced
Alumni Committee,J.K. Dobbins,RB,DEN,27.7,252,0.7132727272727273,0.799484126984127,-0.08621139971139968,fairly priced
Quarantine Dynasty,Justin Joly,TE,DEN,22.1,46,0.5776102941176471,0.4096470588235295,0.1679632352941176,BUY-LOW / HOLD (dynasty market believes in him more than current production)
Quarantine Dynasty,Bryce Lance,WR,NOS,24,50,0.5842279411764706,0.4389803921568627,0.1452475490196079,fairly priced
Quarantine Dynasty,Omar Cooper Jr.,WR,NYJ,22.7,824,0.8028125,0.6697843137254902,0.13302818627450985,fairly priced
Quarantine Dynasty,Chris Brazzell II,WR,CAR,22.8,94,0.6327757352941177,0.5081764705882352,0.12459926470588245,fairly priced
Quarantine Dynasty,Michael Penix Jr.,QB,ATL,26.3,585,0.7758639705882353,0.6959607843137254,0.07990318627450987,fairly priced
Quarantine Dynasty,Kyle Pitts,TE,ATL,25.9,1832,0.8653125,0.8025882352941176,0.06272426470588244,fairly priced
Quarantine Dynasty,TreVeyon Henderson,RB,NEP,23.8,2504,0.8896507352941176,0.8366666666666667,0.052984068627450975,fairly priced
Quarantine Dynasty,Alec Pierce,WR,IND,26.3,1369,0.8425183823529412,0.7895686274509804,0.052949754901960744,fairly priced
Quarantine Dynasty,Matthew Golden,WR,GBP,23,576,0.7748713235294118,0.7250196078431372,0.049851715686274556,fairly priced
Quarantine Dynasty,Cade Otton,TE,TBB,27.3,76,0.6163051470588236,0.5732352941176471,0.04306985294117649,fairly priced
Quarantine Dynasty,Pat Bryant,WR,DEN,23.7,139,0.6637316176470588,0.6225882352941177,0.04114338235294113,fairly priced
Quarantine Dynasty,Quinshon Judkins,RB,CLE,22.8,2211,0.8800183823529412,0.8428431372549019,0.03717524509803927,fairly priced
Quarantine Dynasty,Jayden Reed,WR,GBP,26.3,656,0.7849816176470588,0.7598431372549019,0.025138480392156826,fairly priced
Quarantine Dynasty,Jauan Jennings,WR,MIN,29.1,225,0.7010661764705882,0.6847450980392157,0.016321078431372538,fairly priced
Quarantine Dynasty,Khalil Shakir,WR,BUF,26.5,433,0.7524448529411765,0.7421960784313726,0.010248774509803882,fairly priced
Quarantine Dynasty,Brock Purdy,QB,SFO,26.6,5835,0.9621323529411765,0.9555686274509804,0.006563725490196126,fairly priced
Quarantine Dynasty,Drake Maye,QB,NEP,24,6425,0.9977389705882352,0.9935686274509804,0.004170343137254839,fairly priced
Quarantine Dynasty,Ja'Marr Chase,WR,CIN,26.5,9034,0.9894669117647059,0.9874901960784314,0.001976715686274555,fairly priced
Quarantine Dynasty,Joe Burrow,QB,CIN,29.7,8399,0.9875,0.991921568627451,-0.004421568627450911,fairly priced
Quarantine Dynasty,Dallas Goedert,TE,PHI,31.6,341,0.7335845588235295,0.7396470588235294,-0.006062499999999971,fairly priced
Quarantine Dynasty,Tyler Allgeier,RB,ARI,26.3,193,0.6890992647058823,0.7103333333333334,-0.02123406862745103,fairly priced
Quarantine Dynasty,Terry McLaurin,WR,WAS,30.9,1445,0.8466360294117647,0.878313725490196,-0.031677696078431294,fairly priced
Quarantine Dynasty,Chuba Hubbard,RB,CAR,27.2,364,0.7387867647058823,0.7960980392156862,-0.05731127450980389,fairly priced
Quarantine Dynasty,LeQuint Allen,RB,JAC,22,13,0.47863970588235294,0.5363921568627451,-0.05775245098039217,fairly priced
Quarantine Dynasty,Tre Tucker,WR,LVR,25.4,59,0.5962683823529411,0.6644117647058824,-0.06814338235294126,fairly priced
Quarantine Dynasty,J.K. Dobbins,RB,DEN,27.7,211,0.6963786764705883,0.7718235294117647,-0.07544485294117642,fairly priced
Quarantine Dynasty,Christian McCaffrey,RB,SFO,30.2,3391,0.8803308823529412,0.9635294117647059,-0.08319852941176464,fairly priced
Quarantine Dynasty,Joe Flacco,QB,CIN,41.6,3,0.33272058823529416,0.5088235294117647,-0.17610294117647052,SELL-HIGH (current production is outrunning his long-term dynasty price)
(unnamed league),Eli Stowers,TE,PHI,23.3,978,0.8161764705882353,0.5242745098039215,0.29190196078431374,BUY-LOW / HOLD (dynasty market believes in him more than current production)
(unnamed league),Fernando Mendoza,QB,LVR,22.9,3001,0.903860294117647,0.7695490196078432,0.13431127450980385,fairly priced
(unnamed league),Elijah Sarratt,WR,BAL,23.2,159,0.6743198529411765,0.545078431372549,0.1292414215686275,fairly priced
(unnamed league),KC Concepcion,WR,CLE,21.9,1428,0.8458272058823529,0.7254117647058824,0.12041544117647052,fairly priced
(unnamed league),Michael Mayer,TE,LVR,25.1,43,0.5715992647058823,0.45862745098039215,0.11297181372549014,fairly priced
